IdWycieczki;IdAtrakcji
3;112
3;60
4;3
4;113
4;39
5;83
6;114
6;35
6;12
7;43
7;107
7;115
8;54
8;67
8;22
10;39
13;57
13;53
14;95
14;96
16;73
16;51
17;78
17;40
17;124
19;38
20;37
20;94
21;44
21;78
23;64
23;123
23;68
24;76
24;2
24;65
26;63
27;2
27;91
28;2
28;13
28;84
29;117
29;49
31;78
31;42
32;16
32;75
33;96
34;19
34;111
35;107
35;29
35;111
36;108
36;89
37;105
37;44
38;61
38;92
39;68
39;58
40;110
41;52
41;53
42;125
42;100
43;15
43;125
44;87
45;23
45;50
46;111
46;95
46;109
48;106
48;95
51;26
52;52
52;101
53;1
53;111
55;117
57;40
57;37
57;28
58;17
58;15
58;27
59;52
59;34
60;118
61;123
61;107
61;76
64;86
64;29
66;55
66;108
66;112
67;36
67;54
68;123
72;12
72;114
73;104
73;7
73;5
74;64
74;41
75;63
75;23
77;88
77;82
79;27
79;114
79;66
80;98
81;63
81;103
81;27
82;82
82;43
83;33
83;68
84;102
84;100
87;47
87;111
88;73
88;112
90;9
92;69
92;91
93;80
93;32
93;77
94;79
94;124
94;36
97;23
98;123
102;62
104;118
104;28
104;54
106;8
107;103
107;107
109;39
109;86
109;105
114;74
114;95
114;115
115;1
116;103
117;100
118;120
118;22
119;19
119;43
120;91
120;70
121;35
121;61
121;69
122;104
122;14
122;15
124;19
125;115
125;90
125;75
127;3
129;43
129;94
129;123
130;117
131;28
131;47
131;65
132;97
133;73
134;85
135;116
135;34
135;97
136;9
136;37
136;114
137;26
137;36
138;83
139;14
139;67
140;60
141;42
142;114
142;98
142;102
144;76
144;45
144;42
145;81
148;118
148;92
148;116
149;74
150;48
150;5
150;104
151;106
151;77
151;114
152;7
153;50
153;103
154;44
154;69
155;17
156;62
156;32
156;20
158;5
158;12
158;103
159;61
159;32
159;4
161;69
162;102
162;1
162;119
164;14
164;8
164;94
165;32
165;68
168;115
168;22
169;11
169;10
170;25
173;53
173;61
173;89
174;69
175;63
175;51
175;83
177;34
177;43
178;45
181;62
181;60
182;3
182;57
182;119
183;77
183;45
184;109
184;86
185;80
185;3
185;103
186;74
188;81
188;69
188;61
189;56
189;73
189;91
190;89
191;76
191;97
192;16
192;29
194;71
195;107
195;113
195;49
196;53
196;122
197;37
197;27
198;77
198;94
199;5
199;108
200;86
201;72
201;71
201;80
202;124
202;37
202;99
203;60
203;30
204;85
204;94
204;96
205;114
206;12
206;1
206;80
208;50
208;89
209;89
209;58
209;110
211;82
213;52
213;112
213;7
214;61
215;82
215;46
215;94
217;125
218;34
218;79
218;72
219;105
220;30
221;95
221;100
221;101
222;28
222;102
223;3
223;114
224;73
224;21
225;122
225;90
227;122
227;108
227;68
228;36
228;12
230;89
231;79
232;44
233;1
233;76
235;29
236;108
236;98
237;51
237;75
238;1
238;18
238;16
240;13
240;2
241;1
241;115
245;69
245;82
247;103
248;119
248;82
248;44
249;30
249;111
249;19
250;93
250;12
251;21
252;25
253;108
253;27
253;42
254;120
254;98
254;94
255;94
255;6
255;62
256;21
256;76
256;24
258;83
258;81
258;40
260;11
261;85
261;35
263;120
263;78
265;71
265;104
266;39
268;20
269;56
269;112
269;39
270;50
270;33
271;118
272;74
272;66
272;58
274;60
274;33
274;47
275;4
276;83
276;58
276;59
279;58
279;76
279;108
280;52
280;48
280;40
281;115
285;38
285;34
285;46
286;30
286;59
286;95
287;105
288;69
290;64
291;111
291;64
292;84
292;23
294;123
295;17
295;60
296;80
296;66
297;64
298;45
300;15
300;93
303;105
303;79
303;17
304;16
306;91
306;37
306;56
307;118
307;45
307;113
309;120
309;81
313;22
313;27
313;77
314;117
316;34
317;113
317;1
321;27
321;120
321;45
322;41
322;6
323;10
324;114
325;109
325;77
326;103
326;123
326;6
327;61
328;80
328;91
328;11
329;125
329;95
330;51
330;89
330;52
331;108
331;22
331;87
332;35
333;89
334;51
334;105
335;107
335;114
335;28
336;92
337;91
337;117
337;81
338;16
338;87
338;56
339;77
339;43
339;103
342;27
343;93
345;67
345;94
345;15
346;53
346;14
347;123
352;1
352;28
353;71
353;125
354;95
354;114
354;80
357;24
357;33
358;78
358;79
358;24
359;14
359;43
360;108
360;30
361;89
361;75
361;29
362;48
363;25
363;76
363;2
364;50
366;26
367;74
367;43
368;30
368;100
369;47
369;85
369;81
370;12
371;4
372;47
372;113
373;109
374;13
375;46
376;48
377;112
377;16
377;109
379;68
379;17
379;75
380;124
380;115
381;10
381;14
381;27
383;87
383;55
384;61
384;68
385;95
386;81
387;112
387;34
389;9
389;36
389;25
390;43
390;118
390;8
392;112
392;61
393;29
393;99
395;10
395;68
395;8
396;57
396;21
397;108
398;1
399;42
399;105
399;43
401;57
401;66
402;22
403;2
404;121
404;22
404;36
405;67
406;2
406;88
408;112
408;34
409;122
409;38
409;90
410;82
410;112
411;65
411;51
411;30
412;67
413;66
415;97
415;26
415;60
416;49
416;19
416;96
418;5
418;14
418;96
419;104
419;19
419;43
420;59
422;30
423;10
423;52
423;12
425;116
425;62
425;44
426;39
426;1
427;36
427;14
427;59
429;85
429;20
433;122
434;2
435;36
436;27
437;115
437;64
437;19
440;36
440;5
441;96
441;27
441;5
442;112
442;115
442;54
443;12
443;35
443;51
444;86
444;71
444;101
449;16
449;39
450;10
451;13
451;55
451;23
454;117
454;77
454;125
457;65
457;38
458;106
458;112
458;110
459;91
459;5
461;1
462;69
462;42
462;13
465;106
465;75
465;44
466;102
466;66
466;105
467;55
467;70
467;54
469;103
470;121
471;109
471;36
472;42
472;104
472;13
473;17
473;31
473;48
475;110
476;10
478;93
478;40
478;42
480;88
480;69
480;62
481;121
481;28
482;68
482;56
483;18
483;85
484;7
484;62
485;115
485;47
485;44
487;86
487;91
488;112
488;121
490;20
490;116
490;27
491;110
491;121
492;44
492;97
492;49
493;60
493;96
494;108
495;22
497;37
497;123
498;47
499;119
499;99
499;98
500;120
500;75
501;122
501;99
501;11
502;25
502;123
502;115
503;98
507;11
507;2
508;19
509;79
510;21
510;72
511;46
511;59
513;6
513;44
513;25
514;10
515;5
515;15
515;86
516;43
517;48
519;39
519;85
521;5
521;104
521;93
522;101
522;43
522;107
523;63
523;71
524;110
524;58
524;74
525;19
525;51
526;66
526;88
528;121
528;88
530;84
530;6
530;108
531;93
532;50
532;9
532;88
533;67
536;57
536;33
536;50
537;93
538;119
538;87
538;55
539;25
539;67
540;119
544;52
545;93
545;84
547;62
548;82
548;14
549;93
549;10
551;95
552;96
552;78
552;92
553;52
554;15
555;66
556;74
556;91
557;35
558;125
559;100
559;88
559;118
561;1
561;48
561;88
562;29
562;53
562;77
563;121
564;60
564;28
564;90
565;12
565;107
565;90
567;87
567;48
568;41
568;4
568;46
569;91
570;112
571;47
572;103
572;75
573;125
573;33
574;118
574;14
575;46
575;83
576;100
576;120
577;105
578;98
578;11
579;32
579;87
581;102
581;97
582;86
582;123
582;110
583;80
583;43
583;82
584;46
586;95
586;48
586;50
587;14
587;32
587;41
588;33
589;75
591;7
591;85
591;118
593;87
595;123
595;23
596;44
597;1
598;90
598;50
598;38
599;75
601;42
601;82
601;100
602;43
602;65
603;107
603;66
604;106
604;31
604;2
607;66
608;118
608;99
609;99
610;97
610;109
610;82
611;91
613;123
613;70
614;66
614;4
617;95
618;20
618;90
620;86
620;22
621;29
622;75
622;44
623;123
623;68
623;16
624;2
625;91
625;33
625;90
628;102
629;21
629;18
629;16
630;27
630;76
631;14
631;18
632;18
632;28
632;84
635;15
635;86
635;78
636;59
636;1
636;38
638;5
638;15
640;93
640;69
643;96
644;32
645;88
645;47
645;74
647;24
647;51
648;95
648;74
648;14
649;29
649;60
649;86
652;118
652;114
653;26
653;117
653;59
654;55
655;99
655;63
655;17
656;94
656;122
657;3
