IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
1;Hotel_Rome_1;Ul. Centralna 208, Rome, Italy;3;bez wyżywienia;111;11;7;Siłownia / centrum fitness
2;Hotel_Rome_2;Ul. Główna 191, Rome, Italy;3;bez wyżywienia;50;11;18;Udogodnienia dla rodzin
3;Hotel_Rome_3;Ul. Kwiatowa 212, Rome, Italy;4;bez wyżywienia;88;7;2;Czajnik, kawa i herbata w pokoju
4;Hotel_Rome_4;Ul. Kwiatowa 293, Rome, Italy;3;półpension;140;14;10;Centrum biznesowe / sala konferencyjna
5;Hotel_Milan_5;Ul. Kwiatowa 276, Milan, Italy;4;śniadania;71;49;13;Klimatyzacja w pokojach
6;Hotel_Milan_6;Ul. Przykładowa 265, Milan, Italy;4;śniadania;166;48;2;Parking (bezpłatny lub płatny)
7;Hotel_Milan_7;Ul. Przykładowa 19, Milan, Italy;3;bez wyżywienia;180;23;12;Restauracja lub bar hotelowy
8;Hotel_Milan_8;Ul. Plażowa 136, Milan, Italy;3;bez wyżywienia;127;3;8;Czajnik, kawa i herbata w pokoju
9;Hotel_Venice_9;Ul. Kwiatowa 177, Venice, Italy;3;śniadania;178;40;25;Śniadanie w cenie
10;Hotel_Venice_10;Ul. Główna 57, Venice, Italy;4;półpension;106;31;5;Obsługa pokojowa (room service)
11;Hotel_Paris_11;Ul. Kwiatowa 154, Paris, France;5;bez wyżywienia;24;39;9;Przechowalnia bagażu
12;Hotel_Paris_12;Ul. Główna 215, Paris, France;3;śniadania;41;19;7;Transfer z/na lotnisko
13;Hotel_Paris_13;Ul. Plażowa 103, Paris, France;3;śniadania;136;2;25;Transfer z/na lotnisko
14;Hotel_Paris_14;Ul. Plażowa 164, Paris, France;5;półpension;30;31;4;Centrum biznesowe / sala konferencyjna
15;Hotel_Nice_15;Ul. Przykładowa 292, Nice, France;4;półpension;194;18;1;Śniadanie w cenie
16;Hotel_Nice_16;Ul. Główna 271, Nice, France;3;bez wyżywienia;139;0;24;Udogodnienia dla rodzin
17;Hotel_Nice_17;Ul. Kwiatowa 273, Nice, France;3;półpension;122;26;14;Bezpłatne Wi-Fi
18;Hotel_Lyon_18;Ul. Główna 199, Lyon, France;3;śniadania;86;30;14;Klimatyzacja w pokojach
19;Hotel_Lyon_19;Ul. Przykładowa 161, Lyon, France;3;pełne wyżywienie;37;24;18;Usługa pralni i prasowania
