IdWycieczki;IdHotelu
1;226
2;195
3;118
4;160
5;214
6;58
6;55
6;57
7;79
8;19
8;20
8;18
9;162
10;86
10;85
11;231
12;56
12;55
12;58
13;137
14;201
14;203
14;204
15;44
15;46
16;206
16;209
17;191
17;192
17;193
18;140
19;151
20;108
21;57
21;55
22;205
22;204
23;86
23;87
23;85
24;199
24;200
25;130
25;131
26;180
26;178
26;182
27;129
28;204
29;108
30;195
30;196
31;132
32;182
32;179
33;45
33;44
33;46
34;53
34;52
34;54
35;202
36;49
37;67
37;65
37;66
38;15
39;102
39;103
40;131
41;138
41;135
41;136
42;134
43;176
43;177
44;13
44;11
44;14
45;222
45;225
45;221
46;177
47;51
47;49
48;61
48;60
48;59
49;196
50;143
51;4
52;163
52;162
53;149
53;150
54;196
55;213
56;3
56;1
56;4
57;232
58;224
59;129
60;143
61;63
61;64
62;6
62;7
62;8
63;40
63;41
64;146
64;148
64;147
65;163
65;162
66;229
66;228
67;11
67;12
68;120
69;41
70;93
70;94
71;161
72;54
73;162
74;8
74;6
75;139
76;152
76;155
77;150
78;36
78;38
79;175
79;177
80;223
80;225
81;41
81;40
82;114
83;171
84;196
84;195
85;74
85;75
85;73
86;119
86;121
86;120
87;118
88;162
89;26
89;22
89;25
90;183
90;184
91;219
91;220
92;95
92;93
93;7
94;127
95;106
95;108
95;107
96;57
96;58
97;196
98;219
98;220
99;23
99;22
99;26
100;128
101;93
102;60
102;59
103;103
104;89
104;92
105;17
106;2
106;1
107;116
108;94
109;40
109;41
110;156
110;158
111;102
112;169
112;170
112;167
113;14
113;13
114;12
115;184
115;183
116;160
116;161
117;220
117;219
118;112
118;115
118;113
119;107
120;94
120;95
120;93
121;178
121;181
122;162
122;163
123;124
123;122
123;123
124;23
125;117
125;118
126;178
127;117
127;116
127;118
128;189
128;187
129;104
129;105
130;18
130;19
131;57
132;9
133;93
133;95
134;16
135;52
135;54
135;53
136;211
136;210
137;85
137;87
138;218
138;216
139;208
140;45
141;96
141;98
141;97
142;36
142;38
143;65
144;149
145;21
145;20
146;25
146;22
147;53
147;54
147;52
148;128
148;129
148;127
149;32
149;31
149;33
150;62
150;61
150;60
151;220
152;2
153;107
153;110
153;106
154;100
155;196
156;144
156;145
157;136
157;137
157;138
158;215
158;212
159;100
159;101
160;13
160;12
160;14
161;210
161;211
162;83
162;82
162;84
163;161
164;4
165;156
165;158
166;60
167;9
168;136
168;138
169;85
169;86
170;179
171;59
171;62
172;178
172;182
172;179
173;103
173;102
174;140
174;139
175;176
176;27
177;11
177;13
177;12
178;148
178;146
179;148
179;146
179;147
180;33
180;32
180;34
181;109
181;108
181;106
182;81
183;148
184;228
184;229
184;230
185;7
185;8
186;190
186;191
187;192
188;208
188;209
189;200
190;5
190;8
190;7
191;162
191;163
192;220
193;189
193;185
194;19
194;20
195;198
196;171
196;173
197;161
197;160
198;34
199;164
200;200
200;198
201;48
201;49
201;51
202;217
202;216
202;218
203;119
204;26
204;22
205;82
205;83
206;85
206;87
207;157
208;102
208;103
209;161
209;160
210;105
210;104
211;122
211;126
211;124
212;105
212;104
213;188
213;189
213;187
214;134
214;135
215;140
215;139
216;150
217;102
217;103
218;76
218;77
218;80
219;67
219;66
219;65
220;115
220;113
220;112
221;94
221;95
222;206
223;209
223;206
223;207
224;73
225;163
226;146
226;148
227;107
227;108
227;110
228;16
228;15
229;49
229;48
230;2
231;207
231;208
232;96
232;98
233;34
234;78
235;64
235;63
236;220
237;197
238;66
239;145
239;144
240;196
240;195
241;226
242;18
242;21
242;20
243;147
244;121
244;119
244;120
245;121
246;149
246;150
247;134
247;137
247;138
248;88
249;204
250;171
250;172
250;174
251;202
251;203
251;205
252;67
253;156
253;159
254;86
255;86
255;87
256;216
256;218
257;152
258;131
259;143
260;119
261;182
261;179
261;178
262;22
262;25
263;211
263;210
264;146
264;147
265;133
265;132
266;208
266;207
267;121
267;119
267;120
268;2
268;1
269;58
269;57
269;55
270;232
271;145
271;144
272;179
272;181
272;180
273;38
273;36
273;39
274;21
274;19
274;20
275;133
275;132
276;147
276;146
276;148
277;217
278;52
278;53
279;180
279;178
280;161
281;145
281;144
282;231
282;232
283;132
284;12
284;14
285;176
285;175
286;23
286;26
287;184
288;12
289;85
289;86
289;87
290;83
291;161
291;160
292;209
292;208
292;206
293;86
293;87
294;75
294;74
294;73
295;161
296;9
296;10
297;56
297;55
297;57
298;9
299;63
299;64
300;207
300;208
300;206
301;90
301;89
301;91
302;111
303;229
303;228
303;230
304;182
304;181
305;211
305;210
306;81
307;145
308;90
309;48
309;49
310;41
311;111
311;115
311;114
312;231
312;232
313;75
313;74
313;73
314;52
314;53
315;218
315;217
316;183
316;184
317;195
318;80
319;73
320;113
321;106
321;109
322;12
323;51
323;48
324;99
324;101
324;100
325;231
326;187
327;9
328;65
328;66
328;67
329;13
330;61
330;62
331;226
331;227
332;74
333;2
333;1
333;3
334;54
334;53
334;52
335;150
336;102
337;172
337;173
338;158
338;156
338;159
339;133
340;218
340;217
341;190
341;192
341;191
342;104
343;188
343;186
343;189
344;171
345;147
346;171
346;172
347;22
347;25
348;27
348;28
348;29
349;226
349;227
350;160
350;161
351;196
352;101
353;15
353;17
353;16
354;101
354;100
354;99
355;195
355;196
356;139
357;10
357;9
358;103
358;102
359;210
360;176
360;175
360;177
361;201
362;132
362;133
363;43
363;44
364;150
365;228
365;229
365;230
366;219
367;70
367;72
367;69
368;95
369;224
369;223
370;192
371;153
371;155
371;152
372;189
372;187
373;220
373;219
374;138
374;136
375;205
375;204
375;203
376;63
376;64
377;144
377;145
378;199
378;200
379;83
379;84
379;82
380;150
381;216
381;218
382;181
382;179
382;180
383;7
384;20
385;145
386;65
387;113
388;163
389;208
389;209
389;207
390;201
390;203
390;205
391;66
392;98
392;96
393;103
393;102
394;67
394;66
395;212
395;215
396;224
397;147
398;215
399;137
399;134
399;136
400;68
401;105
402;92
403;143
404;150
404;149
405;210
405;211
406;129
406;128
407;26
407;23
408;160
408;161
409;97
