Miejscowosc;Termin;Cena;LiczbaOsob
Warsaw;2022-07-17;335;8
Warsaw;2022-09-03;335;18
Warsaw;2025-06-13;335;8
Osaka;2025-04-03;283;4
Osaka;2023-03-27;283;12
Osaka;2021-09-20;283;6
Prague;2020-02-22;336;14
Prague;2025-12-01;336;2
Prague;2022-05-02;336;2
Cairo;2021-04-09;357;17
Cairo;2020-10-07;357;1
Cairo;2022-06-10;357;7
Dublin;2025-10-17;275;18
Dublin;2021-12-25;275;8
Dublin;2024-03-11;275;38
Lisbon;2024-01-13;143;1
Lisbon;2021-10-20;143;12
Lisbon;2020-12-28;143;22
Berlin;2022-11-17;221;2
Berlin;2023-11-09;221;6
Berlin;2023-02-17;221;6
Lyon;2022-12-27;208;7
Lyon;2021-07-13;208;23
Lyon;2023-11-08;208;9
Hurghada;2020-02-13;54;47
Hurghada;2020-04-18;54;35
Hurghada;2025-04-03;54;25
Hamburg;2024-08-25;78;36
Hamburg;2022-12-14;78;21
Hamburg;2025-04-29;78;24
Gdansk;2023-07-10;332;13
Gdansk;2021-10-10;332;1
Gdansk;2025-06-02;332;4
Lisbon;2021-07-07;278;3
Lisbon;2020-09-17;278;4
Lisbon;2021-08-23;278;18
Copenhagen;2020-09-03;244;41
Copenhagen;2022-12-05;244;6
Copenhagen;2024-06-22;244;6
Shanghai;2023-10-18;287;6
Shanghai;2022-11-02;287;45
Shanghai;2021-03-30;287;21
Edinburgh;2020-01-10;172;6
Edinburgh;2025-09-16;172;24
Edinburgh;2021-07-24;172;11
Mumbai;2025-10-30;55;7
Mumbai;2020-02-16;55;41
Mumbai;2025-12-25;55;15
Tokyo;2021-08-31;346;4
Tokyo;2025-04-25;346;14
Tokyo;2024-12-11;346;26
Aarhus;2024-04-21;250;13
Aarhus;2025-12-07;250;3
Aarhus;2021-04-17;250;19
Tunis;2021-09-17;227;14
Tunis;2025-08-11;227;32
Tunis;2021-02-12;227;8
Vienna;2020-04-29;132;9
Vienna;2023-06-02;132;8
Vienna;2021-09-21;132;9
Lisbon;2024-11-17;81;19
Lisbon;2021-11-24;81;38
Lisbon;2020-03-22;81;12
Shanghai;2025-06-10;100;9
Shanghai;2021-01-07;100;16
Shanghai;2025-09-16;100;25
Hamburg;2024-08-30;63;1
Hamburg;2025-08-03;63;21
Hamburg;2021-08-11;63;14
Beijing;2021-10-20;283;3
Beijing;2024-11-21;283;7
Beijing;2022-04-11;283;30
Oslo;2020-10-29;167;3
Oslo;2022-11-25;167;1
Oslo;2023-01-08;167;47
Montreal;2020-05-07;129;35
Montreal;2021-08-26;129;11
Montreal;2020-12-05;129;19
Gothenburg;2025-06-09;205;6
Gothenburg;2021-08-12;205;1
Gothenburg;2023-07-25;205;17
