IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Poland;Warsaw;335;objazdowa;11
2;Japan;Osaka;283;city break;5
3;Czech Republic;Prague;336;wypoczynkowa;18
4;Egypt;Cairo;357;tematyczna;11
5;Ireland;Dublin;275;tematyczna;31
6;Portugal;Lisbon;143;city break;13
7;Germany;Berlin;221;objazdowa;45
8;France;Lyon;208;tematyczna;32
9;Egypt;Hurghada;54;city break;41
10;Germany;Hamburg;78;city break;17
11;Poland;Gdansk;332;city break;27
12;Portugal;Lisbon;278;city break;11
13;Denmark;Copenhagen;244;wypoczynkowa;2
14;China;Shanghai;287;objazdowa;5
15;United Kingdom;Edinburgh;172;city break;34
16;India;Mumbai;55;city break;25
17;Japan;Tokyo;346;tematyczna;27
18;Denmark;Aarhus;250;objazdowa;44
19;Tunisia;Tunis;227;wypoczynkowa;10
20;Austria;Vienna;132;wypoczynkowa;42
21;Portugal;Lisbon;81;objazdowa;7
22;China;Shanghai;100;objazdowa;50
23;Germany;Hamburg;63;objazdowa;40
24;China;Beijing;283;wypoczynkowa;19
25;Norway;Oslo;167;wypoczynkowa;22
26;Canada;Montreal;129;tematyczna;36
27;Sweden;Gothenburg;205;city break;19
28;China;Shanghai;135;city break;46
29;Austria;Vienna;80;objazdowa;14
30;Japan;Osaka;262;wypoczynkowa;15
31;Norway;Bergen;248;city break;41
32;Canada;Montreal;299;objazdowa;20
33;United Kingdom;Edinburgh;277;objazdowa;47
34;Greece;Thessaloniki;295;objazdowa;41
35;China;Shanghai;43;wypoczynkowa;21
36;Greece;Athens;328;objazdowa;11
37;Croatia;Split;182;wypoczynkowa;36
38;France;Nice;255;tematyczna;11
39;Switzerland;Zurich;382;tematyczna;16
40;Norway;Oslo;325;wypoczynkowa;16
41;Denmark;Copenhagen;259;city break;48
42;Denmark;Copenhagen;332;objazdowa;21
43;Canada;Toronto;148;objazdowa;29
44;France;Paris;215;tematyczna;37
45;Iceland;Akureyri;120;wypoczynkowa;28
46;Canada;Toronto;387;tematyczna;32
47;Greece;Athens;297;objazdowa;44
48;Portugal;Porto;193;objazdowa;6
49;Japan;Osaka;74;wypoczynkowa;15
50;Turkey;Istanbul;48;city break;50
51;Italy;Rome;126;tematyczna;12
52;Egypt;Hurghada;86;city break;9
53;Morocco;Casablanca;282;tematyczna;45
54;Japan;Osaka;91;tematyczna;40
55;Ireland;Dublin;291;city break;29
56;Italy;Rome;397;objazdowa;31
57;Poland;Gdansk;64;objazdowa;9
58;Iceland;Akureyri;44;wypoczynkowa;43
59;Sweden;Gothenburg;181;objazdowa;12
60;Turkey;Istanbul;312;tematyczna;31
61;Croatia;Dubrovnik;183;wypoczynkowa;11
62;Italy;Milan;336;city break;45
63;United Kingdom;Manchester;273;tematyczna;43
64;Morocco;Marrakesh;166;city break;39
65;Egypt;Hurghada;322;tematyczna;33
66;Poland;Krakow;87;tematyczna;50
67;France;Paris;279;city break;1
68;Czech Republic;Ostrava;138;city break;2
69;United Kingdom;Manchester;351;city break;12
70;Netherlands;Rotterdam;362;objazdowa;14
71;Egypt;Cairo;72;city break;37
72;Greece;Thessaloniki;174;objazdowa;42
73;Egypt;Hurghada;61;city break;30
74;Italy;Milan;162;objazdowa;45
75;Denmark;Aarhus;55;city break;9
76;Tunisia;Tunis;125;wypoczynkowa;30
77;Morocco;Casablanca;125;city break;45
78;United Kingdom;London;270;tematyczna;48
79;Canada;Toronto;376;objazdowa;32
80;Iceland;Akureyri;180;city break;32
81;United Kingdom;Manchester;107;wypoczynkowa;26
82;Austria;Salzburg;269;city break;15
83;USA;Miami;74;objazdowa;31
84;Japan;Osaka;202;tematyczna;6
85;Bulgaria;Burgas;156;city break;15
86;Czech Republic;Ostrava;390;tematyczna;13
87;Czech Republic;Prague;97;city break;19
88;Egypt;Hurghada;96;tematyczna;24
89;Spain;Barcelona;229;city break;50
90;Australia;Sydney;248;city break;27
91;Iceland;Reykjavik;60;city break;14
92;Netherlands;Rotterdam;253;objazdowa;29
93;Italy;Milan;366;objazdowa;17
94;Sweden;Gothenburg;333;tematyczna;38
95;Austria;Vienna;91;city break;21
96;Portugal;Lisbon;362;objazdowa;49
97;Japan;Osaka;190;city break;14
98;Iceland;Reykjavik;250;wypoczynkowa;4
99;Spain;Barcelona;77;wypoczynkowa;29
100;Sweden;Gothenburg;389;wypoczynkowa;46
101;Netherlands;Rotterdam;239;objazdowa;29
102;Portugal;Porto;147;objazdowa;6
103;Switzerland;Zurich;154;objazdowa;38
104;Netherlands;Amsterdam;280;city break;35
105;France;Nice;194;tematyczna;18
106;Italy;Rome;377;tematyczna;47
107;Czech Republic;Prague;352;objazdowa;31
108;Netherlands;Rotterdam;248;wypoczynkowa;9
109;United Kingdom;Manchester;61;tematyczna;19
110;Tunisia;Hammamet;122;objazdowa;3
111;Switzerland;Zurich;104;tematyczna;49
112;USA;Los Angeles;128;city break;44
113;France;Paris;182;objazdowa;44
114;France;Paris;387;objazdowa;29
115;Australia;Sydney;279;wypoczynkowa;22
116;Egypt;Cairo;340;tematyczna;4
