IdWycieczki;IdAtrakcji
1;108
1;40
5;23
5;112
8;128
8;81
9;125
9;45
11;11
11;102
12;54
13;126
13;54
13;93
14;70
14;66
15;13
15;21
16;94
16;93
18;17
20;101
20;64
21;72
21;31
21;10
22;45
23;2
26;124
28;56
28;107
28;13
29;15
30;14
30;116
31;16
31;22
34;59
34;1
34;48
35;94
36;79
37;86
38;110
38;69
39;112
39;28
39;30
41;37
42;11
42;47
42;6
44;85
44;60
44;124
45;94
46;36
47;121
48;126
48;17
49;67
49;51
50;35
50;91
52;120
53;83
54;30
54;108
54;89
55;37
55;19
57;52
57;111
57;96
59;41
59;13
59;70
60;92
60;87
60;44
61;102
62;64
62;40
62;5
63;10
63;23
63;103
64;64
64;8
64;25
65;123
68;28
68;15
68;73
69;13
71;43
71;85
74;49
77;106
77;121
77;39
78;125
78;102
78;30
79;67
79;85
80;89
83;124
83;120
84;6
84;114
84;65
85;77
85;122
87;21
88;122
88;126
88;111
89;79
90;31
90;58
92;118
93;94
93;106
93;89
94;54
94;82
95;9
95;46
96;106
96;74
96;78
97;60
97;119
97;54
98;24
98;1
98;27
99;100
99;119
100;13
100;43
100;12
101;103
101;14
101;52
102;107
102;92
102;18
103;125
104;37
104;38
105;117
106;56
106;79
108;41
108;74
110;82
110;71
110;23
112;48
113;88
114;1
114;12
115;58
116;96
116;101
117;2
117;35
117;31
119;25
119;3
120;1
120;19
123;20
123;63
124;88
124;114
124;60
125;91
127;42
128;49
129;53
129;84
129;109
130;12
130;124
130;121
131;47
133;79
133;15
133;54
135;69
135;2
136;14
136;91
137;78
139;40
140;112
140;78
140;87
141;66
141;61
141;104
142;4
142;108
142;119
143;94
143;50
145;116
145;117
145;13
147;116
147;104
147;96
148;46
148;3
151;75
151;68
151;91
152;59
152;118
152;33
153;7
154;128
155;127
155;73
156;9
157;78
158;120
159;43
159;127
160;89
162;30
162;32
164;33
164;64
164;32
166;74
166;111
166;100
167;15
167;72
171;44
171;54
171;58
173;67
174;1
174;28
177;53
177;90
177;77
178;11
178;40
180;92
181;11
181;46
181;121
182;22
182;73
182;102
183;103
183;116
183;44
184;70
185;69
186;105
186;55
186;36
187;126
187;31
187;112
188;86
188;17
188;9
189;54
190;10
191;30
191;85
191;105
193;18
197;2
197;55
198;109
198;19
200;48
200;65
201;47
201;83
201;28
202;84
202;60
203;58
203;61
203;96
204;49
204;3
204;59
205;1
205;56
205;51
206;86
206;91
207;126
208;63
208;24
209;8
210;93
210;62
211;25
212;91
213;95
214;31
214;17
214;98
215;86
216;19
216;28
216;54
218;110
218;80
219;46
219;57
219;75
220;19
220;121
222;50
222;128
223;15
223;32
224;122
224;65
225;18
226;19
226;15
226;68
227;42
227;57
227;58
229;84
229;86
229;20
230;113
230;45
231;46
233;44
233;71
233;33
234;4
234;14
235;68
235;122
236;80
236;109
237;60
237;51
237;58
239;52
239;119
239;123
240;38
240;21
240;126
243;37
243;86
243;62
244;16
244;42
244;59
245;20
245;104
245;23
247;124
247;87
247;69
248;1
248;124
249;27
249;118
251;40
251;11
254;56
256;71
257;53
258;128
258;38
258;24
260;71
260;10
261;54
261;9
261;112
262;109
262;23
262;70
263;103
263;4
263;18
266;32
266;78
267;20
268;26
268;109
268;45
271;1
271;25
271;83
272;102
272;89
275;1
276;83
276;25
276;7
278;87
278;117
278;118
279;107
279;32
279;57
280;93
281;117
281;83
283;34
283;61
283;95
285;42
288;80
288;84
288;4
289;124
289;70
289;55
290;112
290;73
291;91
293;126
293;93
293;88
295;91
295;8
296;39
296;53
296;80
297;87
297;97
297;77
298;46
298;64
298;43
300;73
300;45
301;119
301;74
302;21
302;120
302;50
303;21
306;22
306;4
307;38
308;74
309;78
310;117
310;21
311;11
311;87
311;49
312;20
313;9
313;30
313;36
314;56
314;96
316;77
316;27
