IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
1;Hotel_Rzym_1;Ul. Przykładowa 288, Rzym, Włochy;4;półpension;95;47;30;Śniadanie w cenie
2;Hotel_Rzym_2;Ul. Centralna 212, Rzym, Włochy;4;półpension;42;13;23;Śniadanie w cenie
3;Hotel_Rzym_3;Ul. Kwiatowa 175, Rzym, Włochy;3;bez wyżywienia;91;1;30;Udogodnienia dla rodzin
4;Hotel_Rzym_4;Ul. Plażowa 2, Rzym, Włochy;3;półpension;153;11;9;Całodobowa recepcja
5;Hotel_Rzym_5;Ul. Plażowa 55, Rzym, Włochy;5;półpension;193;24;7;Udogodnienia dla rodzin
6;Hotel_Mediolan_6;Ul. Główna 119, Mediolan, Włochy;3;bez wyżywienia;60;47;25;Udogodnienia dla osób niepełnosprawnych
7;Hotel_Mediolan_7;Ul. Kwiatowa 132, Mediolan, Włochy;4;półpension;15;10;9;Bezpłatne Wi-Fi
8;Hotel_Mediolan_8;Ul. Kwiatowa 118, Mediolan, Włochy;3;pełne wyżywienie;45;24;10;Bezpłatne Wi-Fi
9;Hotel_Mediolan_9;Ul. Główna 32, Mediolan, Włochy;5;śniadania;104;11;25;Bezpłatne Wi-Fi
10;Hotel_Wenecja_10;Ul. Kwiatowa 263, Wenecja, Włochy;5;bez wyżywienia;164;3;0;Mini bar lub lodówka
11;Hotel_Wenecja_11;Ul. Przykładowa 216, Wenecja, Włochy;2;półpension;98;49;21;Całodobowa recepcja
12;Hotel_Wenecja_12;Ul. Centralna 77, Wenecja, Włochy;3;półpension;90;14;6;Siłownia / centrum fitness
13;Hotel_Wenecja_13;Ul. Kwiatowa 148, Wenecja, Włochy;3;śniadania;138;44;0;Parking (bezpłatny lub płatny)
14;Hotel_Paryż_14;Ul. Plażowa 95, Paryż, Francja;5;śniadania;72;32;24;Sejf w pokoju lub w recepcji
15;Hotel_Paryż_15;Ul. Główna 236, Paryż, Francja;4;półpension;52;1;11;Transfer z/na lotnisko
16;Hotel_Nicea_16;Ul. Plażowa 92, Nicea, Francja;3;półpension;110;32;22;Telewizor z serwisami streamingowymi
17;Hotel_Nicea_17;Ul. Przykładowa 62, Nicea, Francja;3;bez wyżywienia;195;12;20;Usługa pralni i prasowania
18;Hotel_Nicea_18;Ul. Centralna 104, Nicea, Francja;5;półpension;89;36;9;Parking (bezpłatny lub płatny)
19;Hotel_Lyon_19;Ul. Przykładowa 219, Lyon, Francja;3;śniadania;166;48;2;Parking (bezpłatny lub płatny)
20;Hotel_Lyon_20;Ul. Przykładowa 19, Lyon, Francja;3;bez wyżywienia;180;23;12;Restauracja lub bar hotelowy
21;Hotel_Barcelona_21;Ul. Centralna 136, Barcelona, Hiszpania;3;bez wyżywienia;127;3;8;Czajnik, kawa i herbata w pokoju
22;Hotel_Barcelona_22;Ul. Główna 113, Barcelona, Hiszpania;3;śniadania;178;40;25;Śniadanie w cenie
23;Hotel_Barcelona_23;Ul. Główna 57, Barcelona, Hiszpania;4;półpension;106;31;5;Obsługa pokojowa (room service)
24;Hotel_Barcelona_24;Ul. Przykładowa 107, Barcelona, Hiszpania;2;pełne wyżywienie;104;4;19;Restauracja lub bar hotelowy
25;Hotel_Barcelona_25;Ul. Przykładowa 21, Barcelona, Hiszpania;4;półpension;25;9;26;Restauracja lub bar hotelowy
26;Hotel_Madryt_26;Ul. Przykładowa 218, Madryt, Hiszpania;3;półpension;34;32;1;Transfer z/na lotnisko
27;Hotel_Madryt_27;Ul. Plażowa 164, Madryt, Hiszpania;5;półpension;30;31;4;Centrum biznesowe / sala konferencyjna
28;Hotel_Madryt_28;Ul. Kwiatowa 133, Madryt, Hiszpania;4;pełne wyżywienie;45;47;9;Klimatyzacja w pokojach
29;Hotel_Walencja_29;Ul. Główna 271, Walencja, Hiszpania;3;bez wyżywienia;139;0;24;Udogodnienia dla rodzin
30;Hotel_Walencja_30;Ul. Kwiatowa 273, Walencja, Hiszpania;3;półpension;122;26;14;Bezpłatne Wi-Fi
31;Hotel_Londyn_31;Ul. Główna 199, Londyn, Wielka Brytania;3;śniadania;86;30;14;Klimatyzacja w pokojach
32;Hotel_Londyn_32;Ul. Przykładowa 161, Londyn, Wielka Brytania;3;pełne wyżywienie;37;24;18;Usługa pralni i prasowania
33;Hotel_Londyn_33;Ul. Główna 292, Londyn, Wielka Brytania;3;śniadania;29;39;5;Klimatyzacja w pokojach
34;Hotel_Londyn_34;Ul. Główna 159, Londyn, Wielka Brytania;5;śniadania;122;31;15;Klimatyzacja w pokojach
35;Hotel_Manchester_35;Ul. Kwiatowa 114, Manchester, Wielka Brytania;3;półpension;103;37;17;Spa i strefa wellness
36;Hotel_Manchester_36;Ul. Plażowa 93, Manchester, Wielka Brytania;2;półpension;45;43;23;Czajnik, kawa i herbata w pokoju
37;Hotel_Manchester_37;Ul. Główna 100, Manchester, Wielka Brytania;3;śniadania;148;7;3;Obsługa pokojowa (room service)
38;Hotel_Manchester_38;Ul. Centralna 121, Manchester, Wielka Brytania;3;pełne wyżywienie;62;31;11;Czajnik, kawa i herbata w pokoju
