IdWycieczki;IdAtrakcji
1;20
1;87
1;24
2;17
3;99
3;23
4;47
4;117
5;89
8;56
8;105
8;61
10;40
10;124
11;61
11;112
12;81
12;65
14;123
17;95
18;110
18;93
20;17
20;92
22;109
22;35
23;96
23;110
24;106
24;64
26;42
26;98
26;6
29;55
30;44
30;94
30;26
31;32
31;22
32;47
32;49
32;38
33;1
33;52
33;74
34;2
34;58
35;52
35;94
36;17
36;120
38;40
38;80
39;23
41;98
41;12
41;30
42;77
42;80
42;79
43;119
43;102
43;7
45;38
45;122
45;78
47;64
47;18
47;108
49;113
50;31
52;36
52;26
53;87
53;88
54;85
54;93
55;51
56;105
56;87
56;120
57;7
58;34
58;22
58;47
59;35
61;76
61;114
63;16
63;108
63;125
64;55
65;18
66;30
67;99
68;6
68;104
68;72
69;97
69;4
69;117
71;123
71;25
71;106
74;54
75;81
75;39
75;78
77;29
78;108
78;30
78;53
79;20
79;109
79;25
80;8
80;17
81;119
81;59
82;89
83;38
83;57
83;87
84;27
84;96
85;116
85;106
87;17
88;54
89;14
90;29
91;43
92;73
92;88
93;111
93;82
95;19
99;23
99;30
99;111
101;24
102;39
102;17
102;100
104;123
105;70
105;20
106;47
108;28
110;107
110;3
110;97
111;23
111;88
111;124
112;73
112;80
112;2
113;124
114;115
115;42
116;44
116;26
117;1
118;22
119;41
119;48
120;17
122;47
122;75
123;50
123;69
123;43
124;99
124;62
126;118
126;7
127;112
127;46
128;21
129;39
130;81
130;125
130;57
131;22
131;59
131;18
132;106
132;111
132;109
133;105
133;27
133;89
134;42
135;15
135;24
136;12
136;102
136;48
137;82
137;22
138;14
140;54
141;65
141;114
142;55
143;107
143;16
144;50
144;12
144;58
146;62
147;93
147;27
147;3
148;48
148;53
149;5
149;64
150;85
151;29
151;111
151;4
152;84
152;4
152;47
153;117
154;44
157;74
157;116
160;10
160;18
160;117
162;101
164;89
165;102
165;71
166;76
166;23
167;106
167;96
169;66
169;58
170;122
170;9
171;20
171;16
172;80
172;24
172;30
173;111
173;29
174;9
175;105
178;88
178;65
178;26
179;10
179;84
179;20
180;11
180;39
181;92
182;14
184;101
185;80
187;13
189;119
190;69
191;6
192;18
193;1
193;78
193;65
194;102
195;59
195;69
195;92
