Miejscowosc;Termin;Cena;LiczbaOsob
Warsaw;2022-12-27;335;22
Warsaw;2022-11-18;335;39
Warsaw;2024-09-05;335;16
Warsaw;2021-04-04;335;16
Warsaw;2025-06-02;335;9
Warsaw;2021-10-21;335;2
Warsaw;2024-04-05;335;6
Warsaw;2022-05-02;335;8
Warsaw;2025-12-21;335;10
Osaka;2023-10-28;283;16
Osaka;2020-01-04;283;9
Osaka;2022-04-30;283;9
Osaka;2022-06-06;283;17
Osaka;2020-02-13;283;26
Osaka;2022-07-15;283;5
Osaka;2025-07-24;283;20
Osaka;2020-06-27;283;43
Osaka;2025-07-08;283;5
Osaka;2022-05-30;283;23
Prague;2023-08-09;336;22
Prague;2023-02-28;336;13
Prague;2020-05-13;336;13
Prague;2023-06-15;336;20
Prague;2025-01-27;336;31
Prague;2022-04-30;336;11
Prague;2025-02-05;336;29
Prague;2020-03-04;336;5
Prague;2023-09-30;336;14
Prague;2023-04-06;336;44
Prague;2025-05-17;336;39
Prague;2023-04-16;336;7
Prague;2021-01-01;336;15
Prague;2022-11-15;336;8
Prague;2025-01-18;336;21
Cairo;2020-10-14;357;7
Dublin;2022-10-23;275;8
Dublin;2024-12-25;275;39
Dublin;2021-10-02;275;23
Dublin;2024-08-29;275;9
Dublin;2021-12-18;275;8
Dublin;2023-05-16;275;17
Dublin;2022-02-02;275;15
Dublin;2022-02-23;275;19
Dublin;2020-12-17;275;24
Dublin;2020-03-08;275;29
Lisbon;2025-05-13;143;35
Berlin;2025-01-06;221;27
Berlin;2020-09-29;221;44
Berlin;2025-08-28;221;25
Berlin;2021-09-01;221;22
Berlin;2022-01-07;221;25
Berlin;2022-05-18;221;24
Berlin;2022-06-29;221;9
Berlin;2024-06-19;221;11
Berlin;2020-04-15;221;13
Berlin;2021-06-09;221;25
Berlin;2020-11-10;221;27
Lyon;2021-01-20;208;23
Hurghada;2024-10-20;54;16
Hurghada;2023-10-06;54;10
Hurghada;2022-04-07;54;5
Hurghada;2025-10-23;54;9
Hurghada;2021-02-05;54;12
Hurghada;2025-11-17;54;19
Hurghada;2022-03-19;54;8
Hurghada;2024-06-13;54;34
Hurghada;2021-10-29;54;9
Hurghada;2024-04-20;54;29
Hamburg;2025-12-04;78;12
Gdansk;2024-10-08;332;22
Gdansk;2025-01-20;332;29
Gdansk;2025-02-26;332;13
Gdansk;2022-12-13;332;13
