IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Poland;Warsaw;335;objazdowa;4
2;Japan;Osaka;283;city break;32
3;Czech Republic;Prague;336;wypoczynkowa;13
4;Egypt;Cairo;357;tematyczna;25
5;Ireland;Dublin;275;tematyczna;20
6;Portugal;Lisbon;143;city break;17
7;Germany;Berlin;221;objazdowa;3
8;France;Lyon;208;tematyczna;32
9;Egypt;Hurghada;54;city break;11
10;Germany;Hamburg;78;city break;2
11;Poland;Gdansk;332;city break;2
12;Portugal;Lisbon;278;city break;45
13;Denmark;Copenhagen;244;wypoczynkowa;12
14;China;Shanghai;287;objazdowa;14
15;United Kingdom;Edinburgh;172;city break;39
16;India;Mumbai;55;city break;35
17;Japan;Tokyo;346;tematyczna;43
18;Denmark;Aarhus;250;objazdowa;33
19;Tunisia;Tunis;227;wypoczynkowa;41
20;Austria;Vienna;132;wypoczynkowa;42
21;Portugal;Lisbon;81;objazdowa;8
22;China;Shanghai;100;objazdowa;36
23;Germany;Hamburg;63;objazdowa;29
24;China;Beijing;283;wypoczynkowa;15
25;Norway;Oslo;167;wypoczynkowa;30
26;Canada;Montreal;129;tematyczna;23
27;Sweden;Gothenburg;205;city break;45
28;China;Shanghai;135;city break;9
29;Austria;Vienna;80;objazdowa;11
30;Japan;Osaka;262;wypoczynkowa;1
31;Norway;Bergen;248;city break;44
32;Canada;Montreal;299;objazdowa;26
33;United Kingdom;Edinburgh;277;objazdowa;29
34;Greece;Thessaloniki;295;objazdowa;23
35;China;Shanghai;43;wypoczynkowa;43
36;Greece;Athens;328;objazdowa;50
37;Croatia;Split;182;wypoczynkowa;33
38;France;Nice;255;tematyczna;5
39;Switzerland;Zurich;382;tematyczna;48
40;Norway;Oslo;325;wypoczynkowa;47
41;Denmark;Copenhagen;259;city break;16
42;Denmark;Copenhagen;332;objazdowa;19
43;Canada;Toronto;148;objazdowa;31
44;France;Paris;215;tematyczna;22
45;Iceland;Akureyri;120;wypoczynkowa;11
46;Canada;Toronto;387;tematyczna;15
47;Greece;Athens;297;objazdowa;26
48;Portugal;Porto;193;objazdowa;27
49;Japan;Osaka;74;wypoczynkowa;1
50;Turkey;Istanbul;48;city break;27
51;Italy;Rome;126;tematyczna;41
52;Egypt;Hurghada;86;city break;7
53;Morocco;Casablanca;282;tematyczna;39
54;Japan;Osaka;91;tematyczna;40
55;Ireland;Dublin;291;city break;37
56;Italy;Rome;397;objazdowa;32
57;Poland;Gdansk;64;objazdowa;18
58;Iceland;Akureyri;44;wypoczynkowa;48
59;Sweden;Gothenburg;181;objazdowa;31
60;Turkey;Istanbul;312;tematyczna;36
61;Croatia;Dubrovnik;183;wypoczynkowa;19
62;Italy;Milan;336;city break;20
63;United Kingdom;Manchester;273;tematyczna;44
64;Morocco;Marrakesh;166;city break;12
65;Egypt;Hurghada;322;tematyczna;6
66;Poland;Krakow;87;tematyczna;20
67;France;Paris;279;city break;34
68;Czech Republic;Ostrava;138;city break;12
69;United Kingdom;Manchester;351;city break;49
70;Netherlands;Rotterdam;362;objazdowa;48
71;Egypt;Cairo;72;city break;20
72;Greece;Thessaloniki;174;objazdowa;28
73;Egypt;Hurghada;61;city break;22
74;Italy;Milan;162;objazdowa;25
75;Denmark;Aarhus;55;city break;9
76;Tunisia;Tunis;125;wypoczynkowa;42
77;Morocco;Casablanca;125;city break;25
78;United Kingdom;London;270;tematyczna;35
79;Canada;Toronto;376;objazdowa;37
80;Iceland;Akureyri;180;city break;48
81;United Kingdom;Manchester;107;wypoczynkowa;42
82;Austria;Salzburg;269;city break;17
83;USA;Miami;74;objazdowa;49
84;Japan;Osaka;202;tematyczna;1
85;Bulgaria;Burgas;156;city break;23
86;Czech Republic;Ostrava;390;tematyczna;29
87;Czech Republic;Prague;97;city break;33
88;Egypt;Hurghada;96;tematyczna;16
89;Spain;Barcelona;229;city break;46
90;Australia;Sydney;248;city break;14
91;Iceland;Reykjavik;60;city break;30
92;Netherlands;Rotterdam;253;objazdowa;28
93;Italy;Milan;366;objazdowa;48
94;Sweden;Gothenburg;333;tematyczna;3
95;Austria;Vienna;91;city break;15
96;Portugal;Lisbon;362;objazdowa;14
97;Japan;Osaka;190;city break;41
98;Iceland;Reykjavik;250;wypoczynkowa;21
99;Spain;Barcelona;77;wypoczynkowa;42
100;Sweden;Gothenburg;389;wypoczynkowa;19
101;Netherlands;Rotterdam;239;objazdowa;31
102;Portugal;Porto;147;objazdowa;22
103;Switzerland;Zurich;154;objazdowa;28
104;Netherlands;Amsterdam;280;city break;4
105;France;Nice;194;tematyczna;21
106;Italy;Rome;377;tematyczna;16
107;Czech Republic;Prague;352;objazdowa;10
108;Netherlands;Rotterdam;248;wypoczynkowa;27
109;United Kingdom;Manchester;61;tematyczna;10
110;Tunisia;Hammamet;122;objazdowa;24
111;Switzerland;Zurich;104;tematyczna;15
112;USA;Los Angeles;128;city break;34
113;France;Paris;182;objazdowa;39
114;France;Paris;387;objazdowa;38
115;Australia;Sydney;279;wypoczynkowa;43
116;Egypt;Cairo;340;tematyczna;44
117;Iceland;Reykjavik;226;city break;25
118;Austria;Salzburg;300;objazdowa;41
119;Austria;Vienna;300;tematyczna;46
120;Netherlands;Rotterdam;378;objazdowa;31
121;Canada;Montreal;74;city break;47
122;Egypt;Hurghada;193;wypoczynkowa;17
123;Sweden;Stockholm;82;wypoczynkowa;38
124;Spain;Barcelona;170;city break;16
125;Czech Republic;Prague;385;wypoczynkowa;31
126;Canada;Montreal;54;wypoczynkowa;46
127;Czech Republic;Prague;372;objazdowa;7
128;Australia;Melbourne;144;tematyczna;46
129;Switzerland;Geneva;135;wypoczynkowa;30
130;France;Lyon;257;wypoczynkowa;6
131;Portugal;Lisbon;75;tematyczna;22
132;Italy;Venice;355;city break;35
133;Netherlands;Rotterdam;296;city break;17
134;France;Nice;344;city break;13
135;Greece;Thessaloniki;99;city break;2
136;India;Delhi;315;wypoczynkowa;24
137;Germany;Hamburg;128;tematyczna;49
