Miejscowosc;Termin;Cena;LiczbaOsob
Warsaw;2022-12-27;335;27
Warsaw;2022-11-18;335;29
Warsaw;2024-09-05;335;15
Warsaw;2021-04-04;335;19
Warsaw;2025-06-02;335;10
Warsaw;2021-10-21;335;3
Warsaw;2024-04-05;335;7
Warsaw;2022-05-02;335;11
Warsaw;2025-12-21;335;12
Osaka;2023-10-28;283;18
Osaka;2020-01-04;283;11
Osaka;2022-04-30;283;11
Osaka;2022-06-06;283;16
Osaka;2020-02-13;283;23
Osaka;2022-07-15;283;4
Osaka;2025-07-24;283;20
Osaka;2020-06-27;283;34
Osaka;2025-07-08;283;3
Osaka;2022-05-30;283;29
Prague;2023-08-09;336;23
Prague;2023-02-28;336;14
Prague;2020-05-13;336;14
Prague;2023-06-15;336;16
Prague;2025-01-27;336;29
Prague;2022-04-30;336;14
Prague;2025-02-05;336;17
Prague;2020-03-04;336;4
Prague;2023-09-30;336;17
Prague;2023-04-06;336;40
Prague;2025-05-17;336;47
Prague;2023-04-16;336;4
Prague;2021-01-01;336;23
Prague;2022-11-15;336;8
Prague;2025-01-18;336;27
Cairo;2020-10-14;357;11
Dublin;2022-10-23;275;10
Dublin;2024-12-25;275;29
Dublin;2021-10-02;275;33
Dublin;2024-08-29;275;11
Dublin;2021-12-18;275;10
Dublin;2023-05-16;275;19
Dublin;2022-02-02;275;22
Dublin;2022-02-23;275;13
Dublin;2020-12-17;275;47
Dublin;2020-03-08;275;26
Lisbon;2025-05-13;143;31
Berlin;2025-01-06;221;45
Berlin;2020-09-29;221;29
Berlin;2025-08-28;221;24
Berlin;2021-09-01;221;16
Berlin;2022-01-07;221;33
Berlin;2022-05-18;221;24
Berlin;2022-06-29;221;9
Berlin;2024-06-19;221;13
Berlin;2020-04-15;221;15
Berlin;2021-06-09;221;28
Berlin;2020-11-10;221;32
Lyon;2021-01-20;208;28
Hurghada;2024-10-20;54;18
Hurghada;2023-10-06;54;11
Hurghada;2022-04-07;54;6
Hurghada;2025-10-23;54;14
Hurghada;2021-02-05;54;7
Hurghada;2025-11-17;54;38
Hurghada;2022-03-19;54;10
Hurghada;2024-06-13;54;20
Hurghada;2021-10-29;54;9
Hurghada;2024-04-20;54;33
Hamburg;2025-12-04;78;14
Gdansk;2024-10-08;332;19
Gdansk;2025-01-20;332;33
Gdansk;2025-02-26;332;15
Gdansk;2022-12-13;332;16
Gdansk;2020-04-10;332;21
Gdansk;2020-01-12;332;42
Gdansk;2024-01-10;332;12
Gdansk;2025-07-24;332;35
Gdansk;2024-06-30;332;16
Lisbon;2022-10-31;278;26
Lisbon;2024-05-16;278;24
Lisbon;2022-03-21;278;19
Lisbon;2024-12-26;278;3
Lisbon;2020-11-28;278;17
Lisbon;2024-05-09;278;3
Lisbon;2023-05-24;278;35
Lisbon;2021-06-27;278;18
Lisbon;2020-04-23;278;9
Lisbon;2025-12-10;278;19
Lisbon;2024-05-07;278;12
Lisbon;2024-01-25;278;16
Lisbon;2024-09-23;278;10
Copenhagen;2021-07-30;244;6
Copenhagen;2025-04-23;244;22
Copenhagen;2023-08-31;244;14
Copenhagen;2025-10-21;244;8
Shanghai;2025-12-28;287;15
Shanghai;2022-09-28;287;13
Shanghai;2021-04-30;287;39
Shanghai;2025-02-20;287;13
Shanghai;2024-08-26;287;39
Edinburgh;2025-01-12;172;5
Edinburgh;2022-01-31;172;19
Edinburgh;2024-03-30;172;28
Edinburgh;2020-03-06;172;7
Mumbai;2022-07-15;55;21
Mumbai;2023-04-12;55;29
Mumbai;2022-05-01;55;17
Mumbai;2024-10-10;55;21
Mumbai;2025-11-30;55;12
Mumbai;2025-09-08;55;18
Mumbai;2022-05-07;55;3
Mumbai;2021-03-10;55;17
Tokyo;2025-04-02;346;33
Tokyo;2020-02-01;346;19
Aarhus;2020-05-10;250;15
Aarhus;2024-03-18;250;17
Aarhus;2022-03-25;250;34
Aarhus;2020-11-06;250;24
Aarhus;2022-08-10;250;32
Aarhus;2025-06-21;250;15
Tunis;2024-12-26;227;5
Tunis;2024-10-27;227;4
Tunis;2024-03-23;227;18
Tunis;2025-12-08;227;18
Tunis;2020-04-13;227;30
Tunis;2021-10-22;227;2
Tunis;2024-03-15;227;5
Tunis;2024-07-12;227;18
Tunis;2022-02-12;227;5
Vienna;2025-10-12;132;34
Vienna;2020-11-08;132;3
Lisbon;2024-02-04;81;21
Lisbon;2025-01-20;81;19
Lisbon;2022-05-25;81;19
Lisbon;2020-08-12;81;17
Lisbon;2020-05-21;81;15
Lisbon;2022-09-10;81;11
Lisbon;2023-11-11;81;21
Lisbon;2022-10-29;81;37
Shanghai;2025-09-13;100;12
Shanghai;2025-09-22;100;16
Hamburg;2025-11-02;63;18
Hamburg;2024-06-19;63;32
Hamburg;2024-03-26;63;28
Hamburg;2025-09-13;63;18
Hamburg;2024-08-12;63;43
Hamburg;2023-02-19;63;23
Hamburg;2021-12-25;63;10
Hamburg;2023-03-21;63;16
Hamburg;2025-02-17;63;7
Hamburg;2025-08-11;63;9
Hamburg;2025-12-30;63;17
Beijing;2020-02-20;283;6
Beijing;2022-05-22;283;19
Oslo;2022-06-26;167;34
Oslo;2024-09-18;167;5
Montreal;2022-02-09;129;31
Montreal;2025-08-02;129;21
Montreal;2025-08-21;129;44
Gothenburg;2024-03-26;205;42
Gothenburg;2022-12-28;205;6
Gothenburg;2022-07-16;205;21
Gothenburg;2023-06-19;205;19
Gothenburg;2025-03-20;205;8
Gothenburg;2025-09-23;205;7
Gothenburg;2021-07-18;205;8
Gothenburg;2021-02-03;205;31
Gothenburg;2021-11-11;205;27
Shanghai;2024-09-12;135;27
Shanghai;2025-12-16;135;31
Shanghai;2025-01-03;135;30
Shanghai;2025-08-01;135;9
Shanghai;2022-01-01;135;10
Shanghai;2021-06-13;135;30
Shanghai;2022-06-21;135;11
Shanghai;2022-05-01;135;6
Shanghai;2020-01-14;135;38
Vienna;2022-05-21;80;9
Vienna;2022-01-20;80;14
Vienna;2025-07-24;80;4
Osaka;2020-12-16;262;35
Osaka;2020-01-22;262;6
Osaka;2025-02-14;262;33
Osaka;2020-06-06;262;19
Osaka;2024-10-28;262;24
Osaka;2024-05-06;262;15
Osaka;2023-01-06;262;35
Bergen;2023-09-18;248;19
Bergen;2025-03-12;248;32
Bergen;2020-07-28;248;23
Bergen;2022-09-12;248;22
Bergen;2025-07-27;248;24
Bergen;2022-01-30;248;21
Bergen;2022-08-26;248;24
Montreal;2025-01-17;299;24
Montreal;2025-06-17;299;15
Montreal;2024-10-01;299;6
Montreal;2023-06-11;299;28
Montreal;2022-02-13;299;20
Montreal;2023-01-11;299;31
Montreal;2023-07-14;299;40
Montreal;2022-07-10;299;7
Montreal;2021-05-21;299;39
Montreal;2021-04-12;299;8
Montreal;2020-09-10;299;24
Montreal;2025-12-17;299;10
Montreal;2025-04-23;299;18
Montreal;2024-09-18;299;9
Edinburgh;2023-08-30;277;25
Thessaloniki;2021-03-27;295;12
Thessaloniki;2023-11-17;295;7
Thessaloniki;2020-12-03;295;12
Thessaloniki;2022-11-15;295;26
Thessaloniki;2020-03-15;295;21
Thessaloniki;2022-08-26;295;8
Thessaloniki;2024-01-02;295;20
Thessaloniki;2022-12-08;295;14
Thessaloniki;2021-09-03;295;3
Thessaloniki;2022-04-05;295;18
Thessaloniki;2024-03-19;295;22
Thessaloniki;2021-07-06;295;24
Thessaloniki;2020-03-29;295;25
Thessaloniki;2024-11-09;295;12
Shanghai;2023-04-19;43;27
Athens;2022-04-18;328;10
Athens;2023-07-19;328;5
Athens;2021-04-22;328;28
Athens;2023-09-26;328;34
Athens;2021-09-28;328;31
Athens;2025-01-26;328;30
Athens;2025-01-28;328;21
Athens;2021-03-21;328;19
Athens;2022-02-17;328;25
Athens;2025-10-25;328;10
Athens;2021-02-20;328;7
Athens;2023-06-17;328;8
Split;2025-02-11;182;4
Split;2023-01-27;182;24
Split;2023-08-26;182;8
Nice;2025-11-20;255;13
Nice;2024-09-29;255;18
Nice;2025-01-31;255;34
Nice;2024-07-30;255;32
Nice;2023-12-30;255;10
Nice;2022-01-23;255;18
Nice;2023-02-20;255;21
Nice;2025-07-27;255;19
Nice;2021-09-15;255;8
Nice;2025-11-08;255;16
Nice;2024-09-12;255;25
Nice;2024-12-08;255;18
Nice;2020-01-15;255;24
Nice;2022-01-07;255;25
Zurich;2023-01-01;382;17
Zurich;2023-04-04;382;34
Zurich;2022-12-22;382;23
Zurich;2022-03-28;382;15
Zurich;2022-09-14;382;13
Zurich;2020-05-28;382;5
Zurich;2021-05-05;382;16
Zurich;2024-02-04;382;28
Zurich;2024-03-06;382;47
Oslo;2022-05-06;325;44
Oslo;2023-10-27;325;28
Oslo;2024-11-25;325;9
Oslo;2021-07-08;325;17
Oslo;2020-10-22;325;13
Oslo;2022-11-28;325;5
Oslo;2025-02-05;325;9
Oslo;2021-09-09;325;22
Oslo;2024-09-12;325;16
Copenhagen;2020-03-21;259;10
Copenhagen;2020-03-26;259;25
Copenhagen;2023-08-30;259;42
Copenhagen;2024-06-23;259;20
Copenhagen;2023-03-26;259;6
Copenhagen;2025-02-22;259;43
Copenhagen;2023-03-31;259;7
Copenhagen;2025-11-15;259;7
Copenhagen;2025-06-17;259;3
Copenhagen;2025-12-20;259;7
Copenhagen;2025-05-27;332;2
Copenhagen;2020-04-22;332;32
Copenhagen;2023-06-28;332;43
Copenhagen;2023-07-29;332;13
Copenhagen;2023-07-26;332;6
Copenhagen;2020-11-17;332;16
Copenhagen;2024-07-07;332;25
Copenhagen;2024-01-03;332;8
Copenhagen;2023-04-13;332;15
Copenhagen;2021-07-31;332;34
Copenhagen;2024-02-20;332;17
Copenhagen;2024-12-04;332;14
Toronto;2025-06-28;148;5
Toronto;2024-02-28;148;25
Toronto;2022-07-24;148;23
Paris;2021-03-14;215;40
Paris;2023-10-19;215;35
Paris;2024-08-13;215;20
Akureyri;2023-03-01;120;34
Akureyri;2020-12-28;120;5
Akureyri;2021-04-24;120;11
Akureyri;2023-04-24;120;19
Akureyri;2025-01-01;120;12
Akureyri;2021-08-10;120;29
Akureyri;2022-01-28;120;35
Akureyri;2023-02-14;120;5
Akureyri;2023-01-22;120;30
Toronto;2021-01-20;387;11
Toronto;2022-09-19;387;6
Toronto;2024-11-08;387;31
Toronto;2023-12-20;387;13
Toronto;2022-04-23;387;23
Toronto;2023-11-13;387;31
Toronto;2025-06-16;387;5
Toronto;2025-11-11;387;33
Toronto;2021-11-01;387;15
Toronto;2021-03-16;387;34
Toronto;2021-06-21;387;5
Toronto;2021-08-06;387;36
Toronto;2025-08-13;387;11
Toronto;2021-08-21;387;4
Toronto;2022-11-16;387;26
Athens;2021-06-27;297;3
Porto;2022-05-05;193;25
Porto;2021-01-25;193;27
Porto;2024-07-01;193;34
Osaka;2022-11-13;74;10
Osaka;2021-07-12;74;5
Osaka;2024-07-05;74;37
Osaka;2024-10-15;74;11
Osaka;2025-01-09;74;7
Osaka;2025-09-25;74;31
Osaka;2021-11-26;74;14
Osaka;2021-06-17;74;10
Istanbul;2021-09-24;48;13
Istanbul;2023-01-31;48;17
Istanbul;2022-05-28;48;45
Istanbul;2020-12-28;48;13
Istanbul;2022-07-30;48;16
Istanbul;2020-07-26;48;18
Rome;2021-12-20;126;22
Hurghada;2020-01-20;86;36
Hurghada;2021-07-03;86;24
Hurghada;2020-09-11;86;8
Casablanca;2022-11-23;282;23
Casablanca;2021-02-07;282;28
Casablanca;2022-03-14;282;27
Casablanca;2020-08-05;282;15
Casablanca;2025-11-14;282;39
Casablanca;2025-12-18;282;30
Casablanca;2022-08-26;282;40
Casablanca;2024-07-03;282;17
Casablanca;2025-02-11;282;9
Casablanca;2025-09-25;282;23
Osaka;2023-09-10;91;8
Osaka;2021-09-30;91;18
Osaka;2023-02-13;91;23
Osaka;2024-04-16;91;22
Osaka;2022-05-31;91;9
Osaka;2021-09-22;91;48
Osaka;2021-11-27;91;3
Osaka;2022-08-10;91;19
Osaka;2023-01-15;91;17
Osaka;2024-11-14;91;20
Osaka;2021-10-16;91;5
Osaka;2022-02-16;91;26
Dublin;2025-11-19;291;27
Rome;2023-05-26;397;39
Gdansk;2025-09-24;64;6
Gdansk;2024-11-28;64;27
Gdansk;2022-09-11;64;10
Gdansk;2025-10-12;64;11
Gdansk;2024-07-21;64;10
Gdansk;2025-11-30;64;5
Gdansk;2025-01-04;64;32
Gdansk;2024-09-18;64;33
Gdansk;2025-01-07;64;11
Gdansk;2025-03-06;64;11
Gdansk;2022-05-31;64;10
Akureyri;2025-03-15;44;8
Gothenburg;2025-12-17;181;25
Gothenburg;2025-08-10;181;9
Gothenburg;2024-10-08;181;11
Gothenburg;2023-10-01;181;11
Gothenburg;2021-04-03;181;7
Istanbul;2022-08-29;312;28
Istanbul;2024-08-08;312;24
Istanbul;2022-04-16;312;12
Istanbul;2021-01-24;312;31
Istanbul;2022-09-12;312;14
Istanbul;2024-12-10;312;27
Istanbul;2025-06-22;312;22
Istanbul;2020-03-27;312;30
Istanbul;2025-02-23;312;30
Istanbul;2021-10-26;312;28
Dubrovnik;2021-04-30;183;30
Dubrovnik;2022-07-06;183;18
Dubrovnik;2021-02-27;183;7
Dubrovnik;2024-08-29;183;6
Dubrovnik;2023-10-17;183;27
Dubrovnik;2025-10-20;183;14
Milan;2025-02-13;336;12
Milan;2025-01-12;336;10
Manchester;2024-01-12;273;37
Manchester;2023-11-04;273;13
Manchester;2021-12-06;273;16
Manchester;2024-08-12;273;44
Manchester;2024-10-11;273;13
Manchester;2022-10-01;273;28
Manchester;2024-09-05;273;41
Manchester;2023-02-18;273;16
Manchester;2024-07-30;273;22
Manchester;2024-12-17;273;26
Manchester;2024-05-21;273;46
Manchester;2021-05-01;273;15
Manchester;2023-08-02;273;25
Manchester;2020-01-26;273;4
Marrakesh;2025-02-15;166;11
Marrakesh;2025-10-06;166;24
Marrakesh;2023-08-24;166;21
Marrakesh;2023-10-12;166;25
Marrakesh;2025-01-18;166;14
Marrakesh;2023-07-16;166;24
Hurghada;2025-10-21;322;40
Hurghada;2020-06-25;322;11
Hurghada;2021-04-28;322;15
Hurghada;2025-07-22;322;8
Hurghada;2025-05-20;322;7
Hurghada;2023-03-12;322;36
Hurghada;2021-07-05;322;27
Krakow;2020-08-02;87;5
Paris;2025-03-26;279;17
Paris;2024-04-11;279;20
Paris;2020-04-24;279;8
Paris;2025-01-15;279;12
Paris;2022-07-29;279;16
Paris;2021-09-09;279;33
Paris;2024-08-21;279;2
Paris;2020-08-17;279;36
Paris;2021-11-19;279;2
Paris;2020-02-04;279;7
Paris;2020-04-27;279;21
Paris;2021-03-02;279;21
Ostrava;2024-10-15;138;11
Ostrava;2025-03-20;138;24
Ostrava;2025-06-06;138;6
Ostrava;2022-03-01;138;39
Ostrava;2020-12-30;138;8
Ostrava;2022-06-14;138;39
Ostrava;2022-01-02;138;34
Ostrava;2023-04-19;138;39
Ostrava;2023-08-10;138;27
Ostrava;2022-02-26;138;5
Ostrava;2025-06-04;138;8
Ostrava;2023-12-28;138;9
Manchester;2023-07-04;351;10
Manchester;2022-05-15;351;7
Manchester;2024-12-29;351;26
Manchester;2020-09-28;351;16
Manchester;2022-05-16;351;38
Manchester;2021-06-08;351;24
Manchester;2020-09-17;351;35
Manchester;2025-09-05;351;19
Manchester;2023-07-18;351;27
Manchester;2020-04-26;351;7
Manchester;2024-01-21;351;29
Manchester;2024-09-22;351;17
