IdTerminu;DataWyjazdu;DlugoscPobytu;IloscMiejsc;IdWycieczki
1;2022-12-27;21;49;1
2;2022-11-18;14;42;1
3;2024-09-05;5;24;1
4;2021-04-04;7;32;1
5;2025-06-02;21;10;1
6;2021-10-21;21;6;1
7;2024-04-05;5;9;1
8;2022-05-02;3;22;1
9;2025-12-21;7;19;1
10;2023-10-28;18;21;2
11;2020-01-04;18;23;2
12;2022-04-30;5;16;2
13;2022-06-06;5;17;2
14;2020-02-13;21;33;2
15;2022-07-15;21;5;2
16;2025-07-24;10;30;2
17;2020-06-27;7;48;2
18;2025-07-08;14;5;2
19;2022-05-30;14;38;2
20;2023-08-09;18;42;3
21;2023-02-28;5;27;3
22;2020-05-13;3;18;3
23;2023-06-15;5;24;3
24;2025-01-27;3;31;3
25;2022-04-30;7;27;3
26;2025-02-05;5;31;3
27;2020-03-04;18;5;3
28;2023-09-30;10;17;3
29;2023-04-06;21;45;3
30;2025-05-17;18;50;3
31;2023-04-16;21;9;3
32;2021-01-01;5;33;3
33;2022-11-15;7;14;3
34;2025-01-18;7;48;3
35;2020-10-14;14;15;4
36;2022-10-23;21;11;5
37;2024-12-25;10;49;5
38;2021-10-02;7;45;5
39;2024-08-29;7;12;5
40;2021-12-18;21;11;5
41;2023-05-16;14;19;5
42;2022-02-02;3;27;5
43;2022-02-23;14;22;5
44;2020-12-17;5;48;5
45;2020-03-08;3;43;5
46;2025-05-13;14;38;6
47;2025-01-06;3;50;7
48;2020-09-29;14;45;7
49;2025-08-28;18;46;7
50;2021-09-01;10;30;7
51;2022-01-07;10;43;7
52;2022-05-18;21;45;7
53;2022-06-29;21;10;7
54;2024-06-19;21;20;7
55;2020-04-15;10;17;7
56;2021-06-09;10;29;7
57;2020-11-10;3;48;7
58;2021-01-20;7;42;8
59;2024-10-20;3;20;9
60;2023-10-06;7;12;9
61;2022-04-07;14;6;9
62;2025-10-23;10;16;9
63;2021-02-05;21;12;9
64;2025-11-17;18;44;9
65;2022-03-19;3;19;9
66;2024-06-13;10;35;9
67;2021-10-29;7;9;9
68;2024-04-20;5;40;9
69;2025-12-04;7;27;10
70;2024-10-08;21;26;11
71;2025-01-20;7;38;11
72;2025-02-26;5;23;11
73;2022-12-13;14;33;11
74;2020-04-10;5;37;11
75;2020-01-12;10;50;11
76;2024-01-10;10;12;11
77;2025-07-24;10;50;11
78;2024-06-30;18;24;11
79;2022-10-31;14;43;12
80;2024-05-16;14;49;12
81;2022-03-21;14;22;12
82;2024-12-26;21;6;12
83;2020-11-28;21;26;12
84;2024-05-09;14;5;12
85;2023-05-24;18;49;12
86;2021-06-27;18;21;12
87;2020-04-23;21;18;12
88;2025-12-10;14;28;12
89;2024-05-07;5;25;12
90;2024-01-25;5;22;12
91;2024-09-23;10;15;12
92;2021-07-30;14;10;13
93;2025-04-23;5;41;13
94;2023-08-31;10;15;13
95;2025-10-21;10;13;13
96;2025-12-28;10;17;14
97;2022-09-28;5;23;14
98;2021-04-30;7;46;14
99;2025-02-20;14;14;14
100;2024-08-26;14;45;14
101;2025-01-12;14;7;15
102;2022-01-31;10;19;15
103;2024-03-30;5;35;15
104;2020-03-06;21;7;15
105;2022-07-15;5;37;16
106;2023-04-12;21;45;16
107;2022-05-01;5;25;16
108;2024-10-10;5;29;16
109;2025-11-30;10;19;16
110;2025-09-08;18;33;16
111;2022-05-07;14;6;16
112;2021-03-10;7;30;16
113;2025-04-02;21;46;17
114;2020-02-01;7;23;17
115;2020-05-10;14;23;18
116;2024-03-18;14;20;18
117;2022-03-25;3;34;18
118;2020-11-06;7;27;18
119;2022-08-10;7;34;18
120;2025-06-21;14;17;18
121;2024-12-26;14;8;19
122;2024-10-27;14;9;19
123;2024-03-23;7;24;19
124;2025-12-08;10;25;19
125;2020-04-13;18;32;19
126;2021-10-22;18;5;19
127;2024-03-15;5;5;19
128;2024-07-12;3;31;19
129;2022-02-12;3;8;19
130;2025-10-12;5;34;20
131;2020-11-08;21;5;20
132;2024-02-04;3;33;21
133;2025-01-20;3;25;21
134;2022-05-25;7;34;21
135;2020-08-12;14;29;21
136;2020-05-21;21;15;21
137;2022-09-10;14;21;21
138;2023-11-11;3;33;21
139;2022-10-29;7;44;21
140;2025-09-13;3;18;22
141;2025-09-22;21;31;22
142;2025-11-02;18;24;23
143;2024-06-19;7;40;23
144;2024-03-26;21;28;23
145;2025-09-13;14;28;23
146;2024-08-12;14;43;23
147;2023-02-19;3;27;23
148;2021-12-25;10;17;23
149;2023-03-21;3;24;23
150;2025-02-17;18;15;23
151;2025-08-11;5;9;23
152;2025-12-30;18;33;23
153;2020-02-20;3;13;24
154;2022-05-22;18;21;24
155;2022-06-26;21;37;25
156;2024-09-18;21;9;25
157;2022-02-09;21;31;26
158;2025-08-02;3;32;26
159;2025-08-21;7;50;26
160;2024-03-26;3;42;27
161;2022-12-28;18;6;27
162;2022-07-16;14;24;27
163;2023-06-19;10;20;27
164;2025-03-20;5;17;27
165;2025-09-23;10;13;27
166;2021-07-18;3;8;27
167;2021-02-03;21;31;27
168;2021-11-11;21;27;27
169;2024-09-12;14;42;28
170;2025-12-16;10;42;28
171;2025-01-03;5;45;28
172;2025-08-01;18;15;28
173;2022-01-01;18;11;28
174;2021-06-13;21;32;28
175;2022-06-21;3;20;28
176;2022-05-01;21;6;28
177;2020-01-14;5;40;28
178;2022-05-21;5;17;29
179;2022-01-20;7;22;29
180;2025-07-24;14;5;29
181;2020-12-16;14;48;30
182;2020-01-22;3;11;30
183;2025-02-14;7;49;30
184;2020-06-06;21;25;30
185;2024-10-28;18;30;30
186;2024-05-06;3;15;30
187;2023-01-06;14;36;30
188;2023-09-18;10;32;31
189;2025-03-12;10;49;31
190;2020-07-28;18;40;31
191;2022-09-12;10;37;31
192;2025-07-27;5;30;31
193;2022-01-30;7;30;31
194;2022-08-26;5;36;31
195;2025-01-17;7;33;32
196;2025-06-17;18;17;32
197;2024-10-01;3;13;32
198;2023-06-11;3;31;32
199;2022-02-13;21;38;32
200;2023-01-11;14;43;32
201;2023-07-14;10;40;32
202;2022-07-10;7;12;32
203;2021-05-21;14;44;32
204;2021-04-12;21;9;32
205;2020-09-10;18;42;32
206;2025-12-17;21;16;32
207;2025-04-23;3;34;32
208;2024-09-18;18;14;32
209;2023-08-30;7;43;33
210;2021-03-27;21;16;34
211;2023-11-17;5;15;34
212;2020-12-03;5;19;34
213;2022-11-15;3;38;34
214;2020-03-15;10;36;34
215;2022-08-26;10;8;34
216;2024-01-02;18;23;34
217;2022-12-08;5;23;34
218;2021-09-03;21;5;34
219;2022-04-05;3;37;34
220;2024-03-19;14;23;34
221;2021-07-06;5;24;34
222;2020-03-29;7;27;34
223;2024-11-09;14;12;34
224;2023-04-19;18;38;35
225;2022-04-18;18;19;36
226;2023-07-19;5;10;36
227;2021-04-22;7;42;36
228;2023-09-26;21;40;36
229;2021-09-28;7;44;36
230;2025-01-26;7;47;36
231;2025-01-28;18;22;36
232;2021-03-21;10;27;36
233;2022-02-17;5;35;36
234;2025-10-25;14;13;36
235;2021-02-20;3;7;36
236;2023-06-17;3;8;36
237;2025-02-11;5;9;37
238;2023-01-27;5;32;37
239;2023-08-26;7;9;37
240;2025-11-20;3;27;38
241;2024-09-29;21;19;38
242;2025-01-31;3;47;38
