IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienia
1;Hotel_Rzym_1;Ul. Centralna 208, Rzym, Rzym, Włochy;3;bez wyżywienia;111;11;7;"spa;basen"
2;Hotel_Rzym_2;Ul. Główna 191, Rzym, Rzym, Włochy;3;bez wyżywienia;50;11;18;"basen;siłownia;spa"
3;Hotel_Mediolan_3;Ul. Plażowa 263, Mediolan, Mediolan, Włochy;4;pełne wyżywienie;35;4;20;brak
4;Hotel_Wenecja_4;Ul. Kwiatowa 293, Wenecja, Wenecja, Włochy;3;półpension;140;14;10;"basen;siłownia;spa"
5;Hotel_Wenecja_5;Ul. Przykładowa 65, Wenecja, Wenecja, Włochy;4;śniadania;71;49;13;"basen;wifi"
6;Hotel_Wenecja_6;Ul. Przykładowa 265, Wenecja, Wenecja, Włochy;4;śniadania;166;48;2;"spa;basen"
7;Hotel_Paryż_7;Ul. Główna 141, Paryż, Paryż, Francja;5;pełne wyżywienie;107;19;14;"basen;siłownia;spa"
8;Hotel_Paryż_8;Ul. Przykładowa 160, Paryż, Paryż, Francja;5;bez wyżywienia;17;16;14;"basen;wifi"
9;Hotel_Nicea_9;Ul. Przykładowa 70, Nicea, Nicea, Francja;2;śniadania;12;7;19;"spa;basen"
10;Hotel_Lyon_10;Ul. Plażowa 94, Lyon, Lyon, Francja;3;półpension;81;46;10;brak
11;Hotel_Lyon_11;Ul. Główna 155, Lyon, Lyon, Francja;3;śniadania;112;12;5;"basen;wifi"
12;Hotel_Barcelona_12;Ul. Przykładowa 119, Barcelona, Barcelona, Hiszpania;3;półpension;8;9;3;"basen;siłownia;spa"
13;Hotel_Madryt_13;Ul. Przykładowa 201, Madryt, Madryt, Hiszpania;3;śniadania;66;6;15;"spa;basen"
14;Hotel_Walencja_14;Ul. Kwiatowa 133, Walencja, Walencja, Hiszpania;4;pełne wyżywienie;45;47;9;"basen;wifi"
15;Hotel_Walencja_15;Ul. Główna 49, Walencja, Walencja, Hiszpania;4;bez wyżywienia;139;0;24;"basen;siłownia;spa"
16;Hotel_Walencja_16;Ul. Kwiatowa 273, Walencja, Walencja, Hiszpania;3;półpension;122;26;14;"basen;wifi"
17;Hotel_Londyn_17;Ul. Główna 199, Londyn, Londyn, Wielka Brytania;3;śniadania;86;30;14;"basen;wifi"
18;Hotel_Londyn_18;Ul. Przykładowa 161, Londyn, Londyn, Wielka Brytania;3;pełne wyżywienie;37;24;18;"basen;siłownia;spa"
19;Hotel_Manchester_19;Ul. Centralna 57, Manchester, Manchester, Wielka Brytania;4;śniadania;29;39;5;"basen;wifi"
20;Hotel_Edynburg_20;Ul. Przykładowa 111, Edynburg, Edynburg, Wielka Brytania;4;bez wyżywienia;132;30;1;brak
21;Hotel_Ateny_21;Ul. Kwiatowa 169, Ateny, Ateny, Grecja;5;półpension;103;37;17;"spa;basen"
22;Hotel_Saloniki_22;Ul. Plażowa 93, Saloniki, Saloniki, Grecja;2;półpension;45;43;23;brak
23;Hotel_Saloniki_23;Ul. Główna 100, Saloniki, Saloniki, Grecja;3;śniadania;148;7;3;"wifi;parking"
24;Hotel_Saloniki_24;Ul. Centralna 121, Saloniki, Saloniki, Grecja;3;pełne wyżywienie;62;31;11;brak
25;Hotel_Lizbona_25;Ul. Plażowa 288, Lizbona, Lizbona, Portugalia;3;bez wyżywienia;134;6;16;"basen;wifi"
26;Hotel_Lizbona_26;Ul. Centralna 277, Lizbona, Lizbona, Portugalia;2;pełne wyżywienie;66;25;15;"basen;wifi"
27;Hotel_Lizbona_27;Ul. Plażowa 239, Lizbona, Lizbona, Portugalia;3;półpension;118;19;13;"basen;siłownia;spa"
28;Hotel_Porto_28;Ul. Kwiatowa 112, Porto, Porto, Portugalia;5;bez wyżywienia;72;36;28;"spa;basen"
29;Hotel_Dubrownik_29;Ul. Główna 265, Dubrownik, Dubrownik, Chorwacja;5;pełne wyżywienie;11;30;28;"wifi;parking"
30;Hotel_Dubrownik_30;Ul. Kwiatowa 155, Dubrownik, Dubrownik, Chorwacja;3;bez wyżywienia;98;13;29;"basen;siłownia;spa"
31;Hotel_Dubrownik_31;Ul. Przykładowa 118, Dubrownik, Dubrownik, Chorwacja;3;półpension;69;35;0;"basen;wifi"
32;Hotel_Split_32;Ul. Centralna 299, Split, Split, Chorwacja;5;półpension;89;13;4;"basen;siłownia;spa"
33;Hotel_Sofia_33;Ul. Przykładowa 262, Sofia, Sofia, Bułgaria;3;półpension;114;25;29;"basen;siłownia;spa"
34;Hotel_Sofia_34;Ul. Plażowa 226, Sofia, Sofia, Bułgaria;4;pełne wyżywienie;133;18;17;"basen;wifi"
35;Hotel_Sofia_35;Ul. Plażowa 248, Sofia, Sofia, Bułgaria;2;półpension;113;3;22;"basen;wifi"
36;Hotel_Burgas_36;Ul. Główna 137, Burgas, Burgas, Bułgaria;4;bez wyżywienia;192;25;15;"basen;wifi"
37;Hotel_Burgas_37;Ul. Plażowa 63, Burgas, Burgas, Bułgaria;5;półpension;163;0;24;brak
38;Hotel_Burgas_38;Ul. Kwiatowa 8, Burgas, Burgas, Bułgaria;3;pełne wyżywienie;41;24;5;"wifi;parking"
39;Hotel_Berlin_39;Ul. Centralna 162, Berlin, Berlin, Niemcy;4;pełne wyżywienie;67;44;19;brak
40;Hotel_Berlin_40;Ul. Główna 178, Berlin, Berlin, Niemcy;4;bez wyżywienia;40;38;24;"wifi;parking"
41;Hotel_Monachium_41;Ul. Centralna 153, Monachium, Monachium, Niemcy;5;półpension;132;28;22;"basen;wifi"
42;Hotel_Monachium_42;Ul. Plażowa 189, Monachium, Monachium, Niemcy;3;bez wyżywienia;62;39;16;"wifi;parking"
43;Hotel_Monachium_43;Ul. Plażowa 152, Monachium, Monachium, Niemcy;5;półpension;111;20;29;"basen;wifi"
44;Hotel_Hamburg_44;Ul. Kwiatowa 274, Hamburg, Hamburg, Niemcy;3;śniadania;104;8;11;"basen;wifi"
45;Hotel_Amsterdam_45;Ul. Kwiatowa 1, Amsterdam, Amsterdam, Holandia;3;pełne wyżywienie;155;15;20;"basen;siłownia;spa"
46;Hotel_Rotterdam_46;Ul. Przykładowa 294, Rotterdam, Rotterdam, Holandia;3;pełne wyżywienie;105;1;18;"basen;wifi"
47;Hotel_Rotterdam_47;Ul. Centralna 225, Rotterdam, Rotterdam, Holandia;4;pełne wyżywienie;65;16;3;"spa;basen"
48;Hotel_Rotterdam_48;Ul. Przykładowa 32, Rotterdam, Rotterdam, Holandia;4;półpension;140;12;22;"wifi;parking"
49;Hotel_Bruksela_49;Ul. Przykładowa 184, Bruksela, Bruksela, Belgia;3;półpension;194;14;22;"basen;wifi"
50;Hotel_Antwerpia_50;Ul. Główna 19, Antwerpia, Antwerpia, Belgia;3;bez wyżywienia;153;26;0;"spa;basen"
51;Hotel_Zurych_51;Ul. Centralna 265, Zurych, Zurych, Szwajcaria;3;śniadania;96;47;2;"spa;basen"
52;Hotel_Genewa_52;Ul. Główna 182, Genewa, Genewa, Szwajcaria;3;pełne wyżywienie;92;13;9;"spa;basen"
53;Hotel_Wiedeń_53;Ul. Przykładowa 208, Wiedeń, Wiedeń, Austria;3;półpension;69;30;29;"basen;siłownia;spa"
54;Hotel_Wiedeń_54;Ul. Kwiatowa 286, Wiedeń, Wiedeń, Austria;5;bez wyżywienia;11;28;4;"wifi;parking"
