IdWycieczki;IdHotelu
1;16
2;50
3;16
3;14
4;24
5;63
6;21
7;126
8;124
9;89
10;28
11;26
12;79
12;81
13;29
13;31
14;89
15;123
15;122
16;120
16;119
17;104
17;106
18;90
18;91
19;10
20;40
20;39
21;129
21;128
22;102
23;22
24;29
24;30
24;31
25;5
25;6
26;92
27;43
28;53
28;55
29;39
29;40
30;50
31;103
31;102
32;126
33;102
34;15
34;14
35;113
35;114
36;97
37;19
38;112
38;113
38;114
39;115
40;130
41;90
41;91
42;126
43;72
44;64
44;65
45;37
45;38
46;106
46;105
46;104
47;92
48;67
49;21
50;104
50;106
50;105
51;21
52;100
53;14
53;16
53;15
54;20
55;91
55;90
56;10
57;104
57;105
58;127
59;8
59;7
60;94
60;93
61;80
62;51
63;103
64;91
64;90
65;91
66;29
66;30
67;84
68;29
68;31
68;30
69;47
70;127
71;28
72;129
72;128
73;17
73;18
74;116
75;9
76;51
77;70
78;122
79;76
80;83
80;82
81;122
81;123
82;115
83;85
84;27
85;24
85;22
85;23
86;109
86;107
87;77
87;78
88;53
88;55
89;86
89;85
90;87
91;45
92;88
93;13
94;49
95;67
96;17
96;18
97;101
98;114
99;32
100;52
