IdTerminu;DataWyjazdu;DlugoscPobytu;IloscMiejsc;IdWycieczki
1;2026-03-29;14;12;1
2;2026-03-24;3;33;1
3;2026-07-06;5;38;1
4;2026-06-09;5;45;2
5;2026-10-03;3;43;2
6;2025-12-19;7;48;2
7;2025-11-13;10;43;3
8;2026-04-14;7;40;3
9;2026-09-19;3;24;3
10;2026-09-29;7;22;4
11;2025-11-25;21;36;4
12;2025-12-13;14;22;4
13;2026-07-07;3;13;5
14;2026-05-27;10;20;5
15;2026-01-31;14;46;5
16;2026-09-12;3;27;6
17;2026-09-01;10;34;6
18;2026-09-22;10;20;6
19;2025-12-02;18;33;7
20;2026-10-08;21;23;7
21;2026-04-06;7;47;7
22;2026-10-18;14;16;8
23;2026-08-28;10;22;8
24;2026-05-10;21;9;8
25;2026-07-05;18;45;9
26;2026-03-31;10;7;9
27;2026-08-27;5;45;9
28;2025-11-19;7;43;10
29;2026-10-17;14;50;10
30;2026-08-14;3;43;10
31;2026-03-16;10;16;11
32;2025-12-14;3;44;11
33;2026-09-17;14;34;11
34;2026-07-25;5;32;12
35;2026-09-26;7;37;12
36;2026-02-28;18;41;12
37;2026-07-06;21;47;13
38;2026-03-04;10;37;13
39;2026-05-14;3;8;13
40;2026-03-12;3;36;14
41;2026-09-11;18;21;14
42;2026-04-10;21;43;14
43;2026-05-11;5;46;15
44;2026-02-27;10;21;15
45;2026-06-21;7;48;15
46;2026-06-27;7;41;16
47;2026-06-30;10;20;16
48;2025-12-25;18;24;16
49;2026-09-12;21;45;17
50;2025-12-24;7;49;17
51;2026-05-15;10;15;17
52;2026-10-08;3;49;18
53;2026-09-04;10;9;18
54;2026-04-23;18;23;18
55;2026-09-04;7;13;19
56;2026-03-20;3;25;19
57;2026-10-19;7;39;19
58;2026-04-01;7;34;20
59;2026-04-21;18;48;20
60;2026-03-20;3;43;20
61;2026-10-23;21;50;21
62;2026-10-23;5;23;21
63;2026-09-21;14;28;21
64;2026-05-31;3;47;22
65;2026-03-19;7;46;22
66;2026-01-19;10;37;22
67;2026-08-26;10;8;23
68;2026-01-25;18;30;23
69;2026-01-07;18;37;23
70;2026-05-19;5;35;24
71;2026-06-25;5;31;24
72;2026-07-07;7;21;24
73;2026-06-11;14;20;25
74;2026-05-01;18;20;25
75;2026-08-19;21;32;25
76;2026-04-26;5;11;26
77;2026-10-25;3;5;26
78;2026-02-03;18;23;26
79;2026-10-21;5;31;27
80;2026-06-28;21;40;27
81;2026-08-14;5;42;27
82;2026-07-17;3;40;28
83;2025-12-26;14;49;28
84;2026-08-11;3;27;28
85;2026-07-01;14;33;29
86;2026-06-21;18;28;29
87;2025-12-26;5;49;29
88;2026-10-28;3;12;30
89;2025-11-14;3;18;30
90;2026-04-08;5;10;30
91;2026-04-13;3;45;31
92;2026-02-19;10;22;31
93;2026-03-29;5;26;31
94;2026-10-16;18;50;32
95;2025-11-08;5;25;32
96;2026-02-25;7;49;32
97;2025-11-16;18;18;33
98;2026-02-19;5;47;33
99;2026-07-08;21;46;33
100;2025-11-04;21;15;34
101;2026-02-21;7;22;34
102;2026-04-11;10;42;34
103;2026-06-16;14;29;35
104;2026-06-21;10;15;35
105;2026-07-19;18;21;35
106;2026-10-28;10;31;36
107;2026-10-07;3;42;36
108;2025-12-29;10;27;36
109;2026-07-15;3;43;37
110;2025-12-11;3;31;37
111;2026-03-01;21;29;37
112;2026-10-27;18;31;38
113;2025-12-17;14;48;38
114;2026-01-01;14;42;38
115;2026-04-14;3;23;39
116;2026-06-12;3;41;39
117;2026-01-16;5;9;39
118;2026-07-30;18;50;40
119;2026-07-14;7;15;40
120;2026-05-26;10;49;40
121;2026-07-29;14;5;41
122;2026-03-27;14;11;41
123;2026-03-30;18;19;41
124;2026-08-31;14;42;42
125;2026-10-21;3;22;42
126;2026-01-14;21;16;42
127;2026-08-18;14;32;43
128;2026-03-19;7;32;43
129;2026-03-19;14;40;43
130;2026-03-28;18;11;44
131;2025-12-23;14;15;44
132;2026-03-07;5;11;44
133;2026-09-06;21;14;45
134;2026-09-03;7;23;45
135;2026-10-15;14;29;45
136;2026-07-16;18;30;46
137;2026-03-06;21;7;46
138;2026-04-10;7;16;46
