IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Czechy;Ostrawa;2381;city break;5
2;Chorwacja;Split;652;tematyczna;4
3;Chorwacja;Split;1148;objazdowa;2
4;Portugalia;Lizbona;1823;objazdowa;1
5;Chiny;Pekin;1426;wypoczynkowa;1
6;Belgia;Bruksela;2373;tematyczna;5
7;Japonia;Tokio;1386;city break;2
8;Norwegia;Bergen;301;city break;4
9;Irlandia;Dublin;1798;wypoczynkowa;3
10;Włochy;Rzym;1005;wypoczynkowa;5
11;Szwajcaria;Genewa;2137;tematyczna;2
12;Francja;Paryż;2421;objazdowa;3
13;Maroko;Marrakesz;1613;wypoczynkowa;1
14;Maroko;Casablanca;1629;objazdowa;4
15;Maroko;Marrakesz;1123;city break;2
16;Grecja;Ateny;2022;wypoczynkowa;1
17;Japonia;Osaka;1650;wypoczynkowa;3
18;Czechy;Ostrawa;839;city break;5
19;Polska;Warszawa;2130;tematyczna;1
20;Australia;Melbourne;1536;wypoczynkowa;1
21;Czechy;Praga;1311;tematyczna;4
22;Irlandia;Dublin;2397;objazdowa;4
23;Tunezja;Hammamet;1426;tematyczna;5
24;Włochy;Wenecja;1582;tematyczna;4
25;Niemcy;Monachium;745;city break;2
26;Belgia;Bruksela;330;objazdowa;6
27;Egipt;Hurghada;850;wypoczynkowa;4
28;Portugalia;Porto;1949;objazdowa;2
29;Szwecja;Sztokholm;1769;tematyczna;4
30;Polska;Gdańsk;749;tematyczna;7
31;Hiszpania;Walencja;744;wypoczynkowa;5
32;Polska;Warszawa;969;city break;1
33;Francja;Paryż;1318;wypoczynkowa;2
34;Egipt;Kair;1938;wypoczynkowa;4
35;USA;Los Angeles;1852;city break;6
36;USA;Nowy Jork;401;city break;4
37;Belgia;Antwerpia;710;city break;2
38;Włochy;Rzym;1433;city break;6
39;Australia;Sydney;1394;city break;6
40;Polska;Gdańsk;325;tematyczna;3
41;Czechy;Ostrawa;348;objazdowa;1
42;Hiszpania;Walencja;687;tematyczna;7
43;Japonia;Osaka;719;city break;7
44;Australia;Melbourne;680;city break;7
45;Czechy;Praga;1647;objazdowa;8
46;Tunezja;Hammamet;379;wypoczynkowa;6
47;Czechy;Praga;1592;city break;6
48;Chiny;Szanghaj;1528;objazdowa;8
49;Norwegia;Oslo;500;tematyczna;8
50;Irlandia;Cork;1044;objazdowa;9
