IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
1;Hotel_Rome_1;Ul. Centralna 208, Rome, Italy;3;bez wyzywienia;111;11;7;Silownia / centrum fitness
2;Hotel_Rome_2;Ul. Glowna 191, Rome, Italy;3;bez wyzywienia;50;11;18;Udogodnienia dla rodzin
3;Hotel_Rome_3;Ul. Kwiatowa 212, Rome, Italy;4;bez wyzywienia;88;7;2;Czajnik, kawa i herbata w pokoju
4;Hotel_Rome_4;Ul. Kwiatowa 293, Rome, Italy;3;polpension;140;14;10;Centrum biznesowe / sala konferencyjna
5;Hotel_Milan_5;Ul. Kwiatowa 276, Milan, Italy;4;sniadania;71;49;13;Klimatyzacja w pokojach
6;Hotel_Milan_6;Ul. Przykladowa 265, Milan, Italy;4;sniadania;166;48;2;Parking (bezplatny lub platny)
7;Hotel_Milan_7;Ul. Przykladowa 19, Milan, Italy;3;bez wyzywienia;180;23;12;Restauracja lub bar hotelowy
8;Hotel_Milan_8;Ul. Plazowa 136, Milan, Italy;3;bez wyzywienia;127;3;8;Czajnik, kawa i herbata w pokoju
9;Hotel_Venice_9;Ul. Kwiatowa 177, Venice, Italy;3;sniadania;178;40;25;sniadanie w cenie
10;Hotel_Venice_10;Ul. Glowna 57, Venice, Italy;4;polpension;106;31;5;Obsluga pokojowa (room service)
11;Hotel_Paris_11;Ul. Kwiatowa 154, Paris, France;5;bez wyzywienia;24;39;9;Przechowalnia bagazu
12;Hotel_Paris_12;Ul. Glowna 215, Paris, France;3;sniadania;41;19;7;Transfer z/na lotnisko
13;Hotel_Paris_13;Ul. Plazowa 103, Paris, France;3;sniadania;136;2;25;Transfer z/na lotnisko
14;Hotel_Paris_14;Ul. Plazowa 164, Paris, France;5;polpension;30;31;4;Centrum biznesowe / sala konferencyjna
15;Hotel_Nice_15;Ul. Przykladowa 292, Nice, France;4;polpension;194;18;1;sniadanie w cenie
16;Hotel_Nice_16;Ul. Glowna 271, Nice, France;3;bez wyzywienia;139;0;24;Udogodnienia dla rodzin
17;Hotel_Nice_17;Ul. Kwiatowa 273, Nice, France;3;polpension;122;26;14;Bezplatne Wi-Fi
18;Hotel_Lyon_18;Ul. Glowna 199, Lyon, France;3;sniadania;86;30;14;Klimatyzacja w pokojach
19;Hotel_Lyon_19;Ul. Przykladowa 161, Lyon, France;3;pelne wyzywienie;37;24;18;Usluga pralni i prasowania
20;Hotel_Lyon_20;Ul. Glowna 292, Lyon, France;3;sniadania;29;39;5;Klimatyzacja w pokojach
21;Hotel_Lyon_21;Ul. Glowna 159, Lyon, France;5;sniadania;122;31;15;Klimatyzacja w pokojach
22;Hotel_Barcelona_22;Ul. Kwiatowa 114, Barcelona, Spain;3;polpension;103;37;17;Spa i strefa wellness
23;Hotel_Barcelona_23;Ul. Plazowa 93, Barcelona, Spain;2;polpension;45;43;23;Czajnik, kawa i herbata w pokoju
24;Hotel_Barcelona_24;Ul. Glowna 100, Barcelona, Spain;3;sniadania;148;7;3;Obsluga pokojowa (room service)
25;Hotel_Barcelona_25;Ul. Centralna 121, Barcelona, Spain;3;pelne wyzywienie;62;31;11;Czajnik, kawa i herbata w pokoju
26;Hotel_Barcelona_26;Ul. Plazowa 288, Barcelona, Spain;3;bez wyzywienia;134;6;16;Bezplatne Wi-Fi
27;Hotel_Madrid_27;Ul. Kwiatowa 205, Madrid, Spain;4;sniadania;112;29;3;Transfer z/na lotnisko
28;Hotel_Madrid_28;Ul. Kwiatowa 228, Madrid, Spain;3;sniadania;48;13;23;Usluga pralni i prasowania
29;Hotel_Madrid_29;Ul. Plazowa 135, Madrid, Spain;4;polpension;166;0;16;Obsluga pokojowa (room service)
30;Hotel_Madrid_30;Ul. Glowna 246, Madrid, Spain;5;polpension;165;19;0;Sejf w pokoju lub w recepcji
31;Hotel_Valencia_31;Ul. Kwiatowa 288, Valencia, Spain;1;polpension;28;50;6;Obsluga pokojowa (room service)
32;Hotel_Valencia_32;Ul. Centralna 3, Valencia, Spain;3;polpension;89;13;4;Usluga pralni i prasowania
33;Hotel_Valencia_33;Ul. Centralna 157, Valencia, Spain;4;sniadania;58;27;12;Centrum biznesowe / sala konferencyjna
34;Hotel_Valencia_34;Ul. Plazowa 226, Valencia, Spain;4;pelne wyzywienie;133;18;17;sniadanie w cenie
35;Hotel_London_35;Ul. Plazowa 82, London, United Kingdom;5;sniadania;185;6;23;Calodobowa recepcja
36;Hotel_London_36;Ul. Przykladowa 162, London, United Kingdom;5;bez wyzywienia;127;5;12;Calodobowa recepcja
37;Hotel_London_37;Ul. Plazowa 118, London, United Kingdom;1;sniadania;197;29;4;Bezplatne Wi-Fi
38;Hotel_London_38;Ul. Przykladowa 82, London, United Kingdom;5;pelne wyzywienie;41;24;5;Restauracja lub bar hotelowy
39;Hotel_London_39;Ul. Przykladowa 162, London, United Kingdom;4;pelne wyzywienie;67;44;19;Czajnik, kawa i herbata w pokoju
40;Hotel_Manchester_40;Ul. Przykladowa 201, Manchester, United Kingdom;4;pelne wyzywienie;181;36;26;Restauracja lub bar hotelowy
41;Hotel_Manchester_41;Ul. Centralna 68, Manchester, United Kingdom;4;sniadania;124;48;11;Spa i strefa wellness
42;Hotel_Edinburgh_42;Ul. Plazowa 116, Edinburgh, United Kingdom;4;pelne wyzywienie;130;18;26;Usluga pralni i prasowania
43;Hotel_Edinburgh_43;Ul. Kwiatowa 213, Edinburgh, United Kingdom;3;sniadania;43;11;17;Klimatyzacja w pokojach
44;Hotel_Edinburgh_44;Ul. Glowna 199, Edinburgh, United Kingdom;3;sniadania;56;42;6;Bezplatne Wi-Fi
45;Hotel_Edinburgh_45;Ul. Glowna 173, Edinburgh, United Kingdom;3;polpension;172;34;19;Obsluga pokojowa (room service)
46;Hotel_Edinburgh_46;Ul. Centralna 294, Edinburgh, United Kingdom;3;pelne wyzywienie;105;1;18;Calodobowa recepcja
47;Hotel_Athens_47;Ul. Plazowa 162, Athens, Greece;3;sniadania;48;43;9;Klimatyzacja w pokojach
48;Hotel_Athens_48;Ul. Centralna 66, Athens, Greece;3;polpension;184;17;6;Obsluga pokojowa (room service)
49;Hotel_Athens_49;Ul. Przykladowa 25, Athens, Greece;3;polpension;194;14;22;Klimatyzacja w pokojach
50;Hotel_Athens_50;Ul. Kwiatowa 11, Athens, Greece;3;bez wyzywienia;113;37;13;Bezplatne Wi-Fi
51;Hotel_Athens_51;Ul. Kwiatowa 80, Athens, Greece;4;polpension;130;6;11;sniadanie w cenie
52;Hotel_Thessaloniki_52;Ul. Glowna 37, Thessaloniki, Greece;5;pelne wyzywienie;38;23;10;Basen (kryty lub odkryty)
53;Hotel_Thessaloniki_53;Ul. Przykladowa 101, Thessaloniki, Greece;4;bez wyzywienia;23;21;5;Obsluga pokojowa (room service)
54;Hotel_Thessaloniki_54;Ul. Plazowa 283, Thessaloniki, Greece;3;polpension;103;1;14;Parking (bezplatny lub platny)
55;Hotel_Lisbon_55;Ul. Kwiatowa 80, Lisbon, Portugal;4;pelne wyzywienie;182;16;9;Bezplatne Wi-Fi
