IdTerminu;DataWyjazdu;DlugoscPobytu;IloscMiejsc;IdWycieczki
1;2022-07-17;18;49;1
2;2022-09-03;18;43;1
3;2025-06-13;5;24;1
4;2025-04-03;21;20;2
5;2023-03-27;7;13;2
6;2021-09-20;21;38;2
7;2020-02-22;7;23;3
8;2025-12-01;14;35;3
9;2022-05-02;3;6;3
10;2021-04-09;5;27;4
11;2020-10-07;7;8;4
12;2022-06-10;10;25;4
13;2025-10-17;14;19;5
14;2021-12-25;7;22;5
15;2024-03-11;21;48;5
16;2024-01-13;14;23;6
17;2021-10-20;5;15;6
18;2020-12-28;5;50;6
19;2022-11-17;3;7;7
20;2023-11-09;7;11;7
21;2023-02-17;3;48;7
22;2022-12-27;18;41;8
23;2021-07-13;3;40;8
24;2023-11-08;3;21;8
25;2020-02-13;3;50;9
26;2020-04-18;14;42;9
27;2025-04-03;18;46;9
28;2024-08-25;7;44;10
29;2022-12-14;5;22;10
30;2025-04-29;5;46;10
31;2023-07-10;14;44;11
32;2021-10-10;14;7;11
33;2025-06-02;10;8;11
34;2021-07-07;14;26;12
35;2020-09-17;14;18;12
36;2021-08-23;21;40;12
37;2020-09-03;21;47;13
38;2022-12-05;7;17;13
39;2024-06-22;14;8;13
40;2023-10-18;18;7;14
41;2022-11-02;14;46;14
42;2021-03-30;5;23;14
43;2020-01-10;5;18;15
44;2025-09-16;10;31;15
45;2021-07-24;10;35;15
46;2025-10-30;10;15;16
47;2020-02-16;3;44;16
48;2025-12-25;10;44;16
49;2021-08-31;14;34;17
50;2025-04-25;10;15;17
51;2024-12-11;5;31;17
52;2024-04-21;5;26;18
53;2025-12-07;5;23;18
54;2021-04-17;5;26;18
55;2021-09-17;14;48;19
56;2025-08-11;5;34;19
57;2021-02-12;21;9;19
58;2020-04-29;7;27;20
59;2023-06-02;10;21;20
60;2021-09-21;14;11;20
61;2024-11-17;3;21;21
62;2021-11-24;21;48;21
63;2020-03-22;18;16;21
64;2025-06-10;5;37;22
65;2021-01-07;7;18;22
66;2025-09-16;10;27;22
67;2024-08-30;5;5;23
68;2025-08-03;18;23;23
69;2021-08-11;7;20;23
70;2021-10-20;7;24;24
71;2024-11-21;7;8;24
72;2022-04-11;18;32;24
73;2020-10-29;3;5;25
74;2022-11-25;3;8;25
75;2023-01-08;3;48;25
76;2020-05-07;10;40;26
77;2021-08-26;18;18;26
78;2020-12-05;5;41;26
79;2025-06-09;21;22;27
80;2021-08-12;5;46;27
81;2023-07-25;14;28;27
82;2024-12-25;18;20;28
83;2025-05-26;7;14;28
84;2021-07-13;7;16;28
85;2022-02-23;10;14;29
86;2020-04-20;7;50;29
87;2021-01-13;18;15;29
88;2024-08-05;14;22;30
89;2020-04-28;14;36;30
90;2024-03-14;10;44;30
91;2023-05-27;18;10;31
92;2024-10-24;5;15;31
93;2022-07-03;3;21;31
94;2021-06-05;5;9;32
95;2024-09-04;18;31;32
96;2020-09-08;10;47;32
97;2024-04-15;14;44;33
98;2021-11-18;3;42;33
99;2022-09-02;18;45;33
100;2024-11-08;7;22;34
101;2020-07-27;10;20;34
102;2022-02-04;7;7;34
103;2024-08-09;5;29;35
104;2024-11-11;3;50;35
105;2024-04-15;18;17;35
106;2023-04-26;3;26;36
107;2023-01-14;21;30;36
108;2020-01-22;21;29;36
109;2024-10-03;3;48;37
110;2020-09-08;3;8;37
111;2021-03-16;18;10;37
112;2024-11-28;18;7;38
113;2022-03-24;21;10;38
114;2023-06-12;21;30;38
115;2020-11-01;3;13;39
116;2020-03-20;14;15;39
117;2024-10-11;14;10;39
118;2024-04-06;10;40;40
119;2023-05-02;7;21;40
120;2021-04-30;5;22;40
121;2020-03-15;18;10;41
122;2024-10-20;18;22;41
123;2024-09-20;7;21;41
124;2024-01-17;21;36;42
125;2022-03-08;3;11;42
126;2025-11-06;3;27;42
127;2023-09-27;7;43;43
128;2021-05-23;10;24;43
129;2025-06-16;3;42;43
130;2020-02-12;7;18;44
131;2025-10-16;7;42;44
132;2021-06-28;18;17;44
133;2022-08-15;5;47;45
134;2022-07-16;10;50;45
135;2024-05-11;5;10;45
136;2020-11-07;14;46;46
137;2025-10-23;10;31;46
138;2025-02-19;5;40;46
139;2023-09-05;14;33;47
140;2025-07-14;21;39;47
141;2025-12-13;10;25;47
142;2024-08-19;5;39;48
143;2024-08-13;18;12;48
144;2022-11-08;21;7;48
145;2021-01-06;14;47;49
146;2024-09-03;14;11;49
147;2021-04-27;7;18;49
148;2025-11-21;3;33;50
149;2025-08-12;21;13;50
150;2023-10-22;18;24;50
