Miejscowosc;Termin;Cena;LiczbaOsob
Warsaw;2022-12-27;335;29
Warsaw;2022-11-18;335;31
Warsaw;2024-09-05;335;16
Warsaw;2021-04-04;335;20
Warsaw;2025-06-02;335;10
Warsaw;2021-10-21;335;3
Warsaw;2024-04-05;335;7
Warsaw;2022-05-02;335;12
Warsaw;2025-12-21;335;13
Osaka;2023-10-28;283;19
Osaka;2020-01-04;283;12
Osaka;2022-04-30;283;11
Osaka;2022-06-06;283;17
Osaka;2020-02-13;283;25
Osaka;2022-07-15;283;4
Osaka;2025-07-24;283;28
Osaka;2020-06-27;283;48
Osaka;2025-07-08;283;4
Osaka;2022-05-30;283;24
Prague;2023-08-09;336;33
Prague;2023-02-28;336;15
Prague;2020-05-13;336;10
Prague;2023-06-15;336;18
Prague;2025-01-27;336;21
Prague;2022-04-30;336;25
Prague;2025-02-05;336;25
Prague;2020-03-04;336;5
Prague;2023-09-30;336;17
Prague;2023-04-06;336;44
Prague;2025-05-17;336;38
Prague;2023-04-16;336;5
Prague;2021-01-01;336;19
Prague;2022-11-15;336;10
Prague;2025-01-18;336;28
Cairo;2020-10-14;357;9
Dublin;2022-10-23;275;8
Dublin;2024-12-25;275;46
Dublin;2021-10-02;275;29
Dublin;2024-08-29;275;8
Dublin;2021-12-18;275;11
Dublin;2023-05-16;275;11
Dublin;2022-02-02;275;24
Dublin;2022-02-23;275;20
Dublin;2020-12-17;275;31
Dublin;2020-03-08;275;35
Lisbon;2025-05-13;143;37
Berlin;2025-01-06;221;48
Berlin;2020-09-29;221;25
Berlin;2025-08-28;221;26
Berlin;2021-09-01;221;22
Berlin;2022-01-07;221;25
Berlin;2022-05-18;221;42
Berlin;2022-06-29;221;6
Berlin;2024-06-19;221;18
Berlin;2020-04-15;221;16
Berlin;2021-06-09;221;19
Berlin;2020-11-10;221;33
Lyon;2021-01-20;208;40
Hurghada;2024-10-20;54;20
Hurghada;2023-10-06;54;10
Hurghada;2022-04-07;54;5
Hurghada;2025-10-23;54;10
Hurghada;2021-02-05;54;9
Hurghada;2025-11-17;54;25
Hurghada;2022-03-19;54;12
Hurghada;2024-06-13;54;24
Hurghada;2021-10-29;54;7
Hurghada;2024-04-20;54;24
Hamburg;2025-12-04;78;20
Gdansk;2024-10-08;332;21
Gdansk;2025-01-20;332;28
Gdansk;2025-02-26;332;12
Gdansk;2022-12-13;332;21
Gdansk;2020-04-10;332;37
Gdansk;2020-01-12;332;47
Gdansk;2024-01-10;332;6
Gdansk;2025-07-24;332;40
Gdansk;2024-06-30;332;20
Lisbon;2022-10-31;278;31
Lisbon;2024-05-16;278;31
Lisbon;2022-03-21;278;13
Lisbon;2024-12-26;278;5
Lisbon;2020-11-28;278;22
Lisbon;2024-05-09;278;3
Lisbon;2023-05-24;278;37
Lisbon;2021-06-27;278;19
Lisbon;2020-04-23;278;9
Lisbon;2025-12-10;278;20
Lisbon;2024-05-07;278;13
Lisbon;2024-01-25;278;17
Lisbon;2024-09-23;278;11
Copenhagen;2021-07-30;244;6
Copenhagen;2025-04-23;244;24
Copenhagen;2023-08-31;244;15
Copenhagen;2025-10-21;244;13
Shanghai;2025-12-28;287;11
Shanghai;2022-09-28;287;22
Shanghai;2021-04-30;287;42
Shanghai;2025-02-20;287;11
Shanghai;2024-08-26;287;43
Edinburgh;2025-01-12;172;4
Edinburgh;2022-01-31;172;13
Edinburgh;2024-03-30;172;31
Edinburgh;2020-03-06;172;5
Mumbai;2022-07-15;55;36
Mumbai;2023-04-12;55;27
Mumbai;2022-05-01;55;16
Mumbai;2024-10-10;55;20
Mumbai;2025-11-30;55;19
Mumbai;2025-09-08;55;25
Mumbai;2022-05-07;55;4
Mumbai;2021-03-10;55;17
Tokyo;2025-04-02;346;26
Tokyo;2020-02-01;346;13
Aarhus;2020-05-10;250;17
Aarhus;2024-03-18;250;19
Aarhus;2022-03-25;250;26
Aarhus;2020-11-06;250;21
Aarhus;2022-08-10;250;22
Aarhus;2025-06-21;250;16
Tunis;2024-12-26;227;7
Tunis;2024-10-27;227;5
Tunis;2024-03-23;227;14
Tunis;2025-12-08;227;19
Tunis;2020-04-13;227;30
Tunis;2021-10-22;227;5
Tunis;2024-03-15;227;2
Tunis;2024-07-12;227;23
Tunis;2022-02-12;227;4
Vienna;2025-10-12;132;24
Vienna;2020-11-08;132;5
Lisbon;2024-02-04;81;31
Lisbon;2025-01-20;81;17
Lisbon;2022-05-25;81;25
Lisbon;2020-08-12;81;22
Lisbon;2020-05-21;81;9
Lisbon;2022-09-10;81;21
Lisbon;2023-11-11;81;18
Lisbon;2022-10-29;81;31
Shanghai;2025-09-13;100;15
Shanghai;2025-09-22;100;24
Hamburg;2025-11-02;63;19
Hamburg;2024-06-19;63;27
Hamburg;2024-03-26;63;15
Hamburg;2025-09-13;63;19
Hamburg;2024-08-12;63;32
Hamburg;2023-02-19;63;25
Hamburg;2021-12-25;63;16
Hamburg;2023-03-21;63;16
Hamburg;2025-02-17;63;11
Hamburg;2025-08-11;63;8
Hamburg;2025-12-30;63;19
Beijing;2020-02-20;283;7
Beijing;2022-05-22;283;20
Oslo;2022-06-26;167;36
Oslo;2024-09-18;167;5
Montreal;2022-02-09;129;25
Montreal;2025-08-02;129;22
Montreal;2025-08-21;129;46
Gothenburg;2024-03-26;205;30
Gothenburg;2022-12-28;205;3
Gothenburg;2022-07-16;205;16
Gothenburg;2023-06-19;205;20
Gothenburg;2025-03-20;205;10
Gothenburg;2025-09-23;205;12
Gothenburg;2021-07-18;205;8
