IdAtrakcji;Nazwa;Typ
1;Atrakcja_1;koncert
2;Atrakcja_2;spotkanie lokalne
3;Atrakcja_3;spotkanie lokalne
4;Atrakcja_4;koncert
5;Atrakcja_5;koncert
6;Atrakcja_6;wycieczka
7;Atrakcja_7;degustacja
8;Atrakcja_8;spotkanie lokalne
9;Atrakcja_9;wycieczka
10;Atrakcja_10;wystawa
11;Atrakcja_11;degustacja
12;Atrakcja_12;wystawa
13;Atrakcja_13;koncert
14;Atrakcja_14;koncert
15;Atrakcja_15;wystawa
16;Atrakcja_16;degustacja
17;Atrakcja_17;degustacja
18;Atrakcja_18;spotkanie lokalne
19;Atrakcja_19;spotkanie lokalne
20;Atrakcja_20;koncert
