IdWycieczki;IdAtrakcji
1;81
1;17
1;76
2;110
2;8
2;94
3;2
3;106
4;37
4;106
4;7
5;108
6;32
6;83
7;20
7;8
7;122
8;4
9;24
10;77
10;70
10;75
11;10
11;95
11;46
12;56
12;39
13;7
13;65
13;79
14;65
14;84
14;86
15;67
15;38
16;11
16;27
17;55
17;34
18;7
18;31
19;58
20;5
20;33
21;67
21;26
22;120
23;45
23;74
24;32
24;95
25;125
25;120
26;8
26;73
28;64
29;26
29;41
29;123
31;9
31;108
32;89
32;24
34;20
36;105
39;96
39;80
39;98
40;121
40;70
41;35
41;23
42;70
42;54
45;39
45;101
45;8
46;6
46;84
47;96
47;9
47;65
48;30
48;34
51;52
52;14
52;31
52;30
54;95
56;97
57;125
57;16
57;75
58;1
59;45
60;1
61;53
61;88
62;75
63;48
67;47
67;62
67;53
69;4
70;13
70;94
70;29
71;33
71;90
72;53
72;82
72;88
73;78
74;14
75;41
76;26
77;28
78;112
80;58
80;112
80;57
83;16
83;5
84;6
84;83
85;106
85;63
85;66
86;43
86;57
86;77
87;85
87;38
89;29
89;106
89;16
90;41
90;105
90;47
91;39
91;9
91;30
92;7
92;109
93;34
93;74
94;11
95;67
96;76
96;34
96;52
97;122
97;87
97;109
98;96
98;49
98;66
99;47
100;72
100;30
102;54
104;10
104;12
104;122
105;49
106;16
107;108
107;58
108;11
109;12
109;24
109;18
110;100
111;51
112;23
113;7
113;101
113;100
114;104
115;78
116;111
116;27
116;109
117;42
118;45
119;18
121;36
121;105
122;27
123;20
124;8
124;11
125;115
125;61
125;120
126;109
127;124
128;42
128;94
129;3
129;54
130;53
131;3
131;104
134;118
134;96
134;120
135;103
136;5
136;110
137;35
137;65
137;76
138;17
138;94
138;59
139;123
139;57
140;32
140;47
141;17
141;91
145;44
145;90
145;100
146;57
146;23
146;14
147;62
148;104
148;79
148;41
150;76
151;36
151;101
152;124
152;66
152;104
153;97
153;24
153;93
154;86
154;10
155;105
155;37
157;31
158;23
158;44
158;97
159;90
160;50
161;30
161;120
163;124
164;61
164;113
165;74
165;105
165;2
166;48
166;6
168;67
169;64
169;50
169;110
170;91
170;72
171;34
171;20
172;99
174;38
174;46
175;33
175;87
175;104
177;6
177;116
178;35
179;9
179;119
180;39
181;110
181;97
182;12
184;30
184;19
185;23
185;58
185;116
186;121
186;112
186;4
187;68
187;116
188;95
188;93
189;81
189;115
190;30
190;49
190;29
191;100
192;80
192;21
193;10
193;70
193;71
194;27
194;117
194;18
196;106
196;74
197;43
197;74
198;39
199;29
199;113
199;28
200;92
202;31
203;35
203;20
204;102
205;41
206;56
207;12
207;100
207;104
208;1
210;122
210;62
210;84
215;21
217;116
217;69
217;109
218;98
221;102
221;81
221;71
222;62
224;109
225;25
225;111
225;4
227;68
229;94
229;123
229;48
230;109
230;99
230;40
231;12
231;43
231;59
232;78
232;22
234;65
234;63
235;93
236;6
236;74
237;114
237;1
237;81
239;39
239;60
240;98
241;7
241;86
242;81
243;82
243;31
243;109
244;59
245;43
245;117
245;107
246;83
246;30
246;85
247;8
248;12
248;28
248;49
249;69
249;41
249;118
250;102
252;24
252;83
252;112
253;88
253;81
253;82
254;68
254;102
255;2
255;100
256;70
257;27
258;110
261;79
262;80
262;48
262;105
264;107
264;94
264;24
265;83
265;104
266;74
270;52
272;67
273;102
274;104
274;6
275;20
276;121
277;51
277;98
277;38
278;28
278;7
278;97
279;23
279;69
280;123
281;58
282;101
282;109
283;122
283;99
283;115
284;79
284;17
285;10
286;103
286;7
286;16
287;15
288;109
288;123
289;90
289;45
289;121
292;69
292;42
293;80
293;29
294;43
294;72
294;100
296;32
296;124
296;95
297;7
297;101
298;92
298;75
301;39
302;61
302;57
304;43
304;71
305;4
305;17
307;109
307;21
308;25
308;14
308;54
309;60
310;17
310;3
311;49
312;64
312;92
312;39
314;10
314;59
314;22
315;4
315;120
315;107
316;24
316;107
316;44
317;115
319;42
320;70
321;53
321;55
321;17
323;52
323;104
324;120
325;85
325;115
326;68
326;44
327;32
329;51
329;20
330;35
330;121
330;18
331;95
331;76
332;47
332;90
332;15
334;89
335;116
335;17
335;82
336;94
338;96
338;79
338;80
339;5
339;40
339;112
340;12
340;102
341;85
342;58
343;64
344;100
344;80
345;24
345;38
346;57
349;53
349;115
350;47
350;37
351;111
351;118
352;1
352;18
353;115
354;53
354;104
355;5
355;106
356;2
357;44
357;29
357;41
358;73
358;71
358;124
359;120
360;9
361;42
361;68
362;56
363;71
363;9
364;102
364;92
365;64
365;89
365;42
366;55
367;122
368;83
368;81
368;87
369;25
371;36
371;106
371;76
372;97
373;56
373;62
373;44
374;107
374;88
375;53
376;30
376;71
377;86
377;64
378;101
378;108
379;92
381;72
382;123
382;10
383;88
383;95
385;45
386;104
387;34
387;112
388;91
389;42
389;75
389;86
390;16
390;34
391;94
393;8
395;67
396;118
396;47
398;79
398;123
398;121
399;80
399;9
400;69
400;5
401;90
402;72
403;88
403;35
403;52
405;26
405;63
406;91
406;84
407;114
408;15
408;125
409;52
409;108
410;16
410;82
413;107
414;121
414;76
414;54
415;6
415;94
415;19
416;48
416;104
417;79
417;61
420;69
422;116
422;60
423;23
423;118
423;93
424;121
424;23
425;53
426;123
427;123
427;39
427;58
428;118
428;62
428;115
430;97
430;96
430;32
431;11
431;103
431;35
432;113
432;125
432;56
433;51
434;40
434;102
434;64
436;116
437;79
438;51
438;43
438;23
440;107
440;4
440;99
441;67
441;50
441;3
442;41
442;31
443;19
444;17
444;58
445;105
446;11
446;20
446;112
447;53
447;82
447;37
448;80
449;4
450;108
451;70
452;21
453;62
455;99
456;48
456;59
456;103
457;115
457;80
459;64
459;62
459;86
460;88
461;27
461;44
461;50
462;49
462;52
462;106
465;5
465;38
465;95
466;19
466;30
468;4
468;90
468;26
469;110
470;74
470;103
470;43
472;54
472;85
473;101
474;50
474;95
474;22
476;49
476;31
476;35
477;5
477;61
477;89
479;123
479;29
480;25
481;59
481;78
481;29
482;112
482;88
484;55
486;118
486;74
486;99
487;114
487;118
487;32
488;68
488;116
489;93
489;102
490;86
492;82
492;66
492;80
493;62
493;43
493;61
494;84
494;26
494;71
495;39
495;58
497;93
497;24
498;83
498;85
500;68
502;22
502;21
503;103
504;34
504;7
505;12
505;89
505;13
507;107
507;95
508;55
508;61
509;25
509;67
511;7
512;61
513;23
515;93
515;61
515;72
516;46
516;122
518;105
518;125
520;110
520;48
520;15
522;91
522;2
523;35
524;117
524;113
525;94
525;66
525;13
526;74
527;75
528;2
528;7
531;120
532;57
532;9
532;43
533;17
533;65
534;50
534;60
536;120
536;14
536;40
537;113
537;9
541;72
541;75
541;21
544;3
544;41
544;86
545;29
548;25
548;9
548;13
549;52
550;3
551;53
551;2
551;73
552;4
555;117
555;85
555;45
557;102
557;93
557;42
558;46
558;45
559;102
560;81
560;124
561;67
561;95
563;12
564;82
564;28
564;111
566;6
568;50
568;64
568;7
569;20
569;81
571;31
572;118
572;20
572;85
573;71
573;88
573;92
574;25
575;6
575;9
575;4
577;34
578;44
578;83
578;48
579;12
579;40
580;84
581;28
581;115
582;49
582;84
583;93
584;99
584;108
585;13
585;63
585;39
586;108
586;60
586;23
587;33
587;115
587;85
588;77
591;64
591;51
592;34
592;103
593;70
593;74
593;61
596;84
596;32
596;8
597;45
599;91
599;107
600;113
600;92
600;29
601;68
603;105
603;97
604;88
604;62
604;94
605;12
605;117
606;94
606;117
606;63
607;33
607;15
609;104
609;3
611;48
611;58
611;104
612;112
613;114
613;102
614;87
614;32
615;59
615;76
616;2
617;21
618;39
619;125
619;87
620;38
620;60
621;62
623;65
624;36
624;82
626;64
627;13
627;69
627;113
630;40
630;11
630;49
631;84
632;12
633;113
634;42
635;91
636;67
636;7
636;17
638;116
638;19
639;89
639;107
639;36
640;30
641;97
642;106
643;53
643;40
645;65
645;42
646;86
646;50
646;48
648;121
648;77
648;38
649;62
649;38
650;65
651;18
651;2
652;103
653;53
653;29
653;24
654;64
656;122
656;91
657;55
658;2
658;62
658;48
659;29
659;111
659;71
660;77
661;33
663;29
663;6
664;67
665;115
665;66
666;19
667;68
667;49
667;27
668;96
669;110
670;61
670;95
671;74
671;110
671;17
672;75
672;43
672;1
673;76
673;27
676;82
677;101
679;94
679;54
679;91
680;56
680;36
680;113
681;37
681;78
683;125
683;38
683;74
684;85
684;95
684;66
685;39
685;19
685;59
686;10
686;25
686;90
688;30
688;39
688;106
689;8
689;106
689;5
690;55
690;110
690;16
691;38
693;73
693;54
693;11
694;110
695;94
695;97
695;96
696;99
698;106
698;59
699;66
700;47
700;43
700;97
701;96
702;12
705;44
705;105
705;55
707;53
707;52
707;25
708;42
708;104
708;24
711;100
712;6
713;36
713;13
713;22
715;92
715;59
716;21
717;43
717;30
717;29
718;110
718;119
719;32
720;37
720;63
721;75
721;88
721;108
722;73
726;95
726;68
727;33
727;81
727;8
728;44
728;12
729;19
729;81
729;72
730;82
730;61
730;116
731;37
732;88
733;99
734;86
734;43
734;9
735;82
735;47
736;124
736;106
736;52
737;64
737;95
738;65
738;82
738;39
739;88
739;5
739;80
740;22
740;29
740;108
742;120
742;95
744;54
744;89
746;77
746;81
746;70
747;10
748;90
749;2
749;123
750;45
751;48
751;70
751;123
752;85
752;41
752;25
753;22
753;60
753;23
754;124
754;88
754;21
755;76
756;56
757;112
759;77
759;6
759;102
760;56
760;74
760;41
761;51
761;56
762;100
762;12
762;119
763;86
763;38
763;14
765;88
765;125
765;23
766;115
766;83
766;118
768;112
770;30
770;52
770;45
771;22
773;105
773;40
773;25
776;85
776;48
776;44
777;105
777;42
777;123
778;95
779;11
780;8
780;6
780;122
781;60
782;41
782;104
784;77
785;25
785;3
786;82
789;117
789;45
789;25
790;75
790;116
790;109
791;120
791;68
791;46
792;84
792;93
793;123
793;120
793;52
794;56
794;34
794;111
796;78
796;35
796;104
797;79
797;18
797;118
798;67
798;63
798;69
799;5
799;71
800;107
800;81
800;4
804;114
805;41
806;51
806;77
807;38
807;67
807;52
810;74
810;121
810;78
811;36
811;4
811;2
812;115
812;28
813;48
813;122
813;75
815;61
815;109
815;122
816;56
816;80
817;55
817;101
817;79
818;27
818;8
818;24
819;96
819;114
820;106
820;23
823;118
823;89
825;44
825;46
827;33
827;113
827;46
828;97
828;111
828;12
829;101
829;4
829;79
831;70
831;68
831;109
832;102
832;32
835;57
835;123
836;111
837;82
837;108
839;96
839;40
840;61
841;57
841;77
842;9
843;57
843;124
844;82
844;51
845;34
845;7
845;116
847;77
847;73
847;104
848;84
850;120
850;60
851;69
856;67
857;42
857;111
857;9
858;97
858;39
859;60
859;3
860;109
861;97
861;35
861;96
863;72
863;28
863;42
864;63
864;110
867;62
868;122
868;108
868;56
871;51
872;61
872;25
873;6
873;8
873;100
874;43
874;91
875;22
875;84
876;54
876;51
876;113
877;42
877;16
878;40
878;98
878;57
879;67
881;120
881;89
882;29
883;71
883;44
884;46
884;94
884;34
885;46
886;59
887;106
887;80
888;13
888;108
888;122
889;113
890;84
890;85
891;52
892;68
893;97
893;106
894;4
897;74
897;13
898;68
898;59
898;125
900;39
901;117
902;17
902;117
903;68
903;27
903;51
905;32
905;110
905;29
906;100
907;61
907;71
908;36
908;94
908;45
909;10
910;81
910;30
911;30
911;14
912;32
913;17
913;106
913;23
915;35
915;92
916;122
918;28
918;14
919;86
919;90
919;31
921;11
923;60
923;124
923;67
924;6
924;58
924;122
926;8
926;31
926;113
927;58
927;99
927;95
928;27
928;34
928;61
930;110
930;66
930;102
933;116
938;107
938;104
940;107
940;120
940;119
941;23
943;85
944;89
945;24
945;115
945;114
946;3
948;62
950;23
950;72
952;110
953;33
953;60
953;24
954;67
954;28
954;16
955;29
956;49
956;5
957;114
958;104
958;34
959;36
959;51
960;38
960;70
960;30
961;116
962;124
963;80
963;71
963;33
964;61
964;16
965;120
965;91
965;4
966;40
966;7
966;71
967;48
967;10
967;26
968;14
968;73
969;67
969;105
971;108
971;27
972;51
972;88
973;58
973;18
973;36
974;93
974;16
974;108
975;42
975;103
976;57
976;82
976;119
977;107
978;52
978;71
978;86
979;93
979;41
980;25
981;82
983;39
984;23
984;60
985;18
985;59
985;34
986;1
986;18
986;42
987;71
987;55
988;56
988;15
989;63
990;96
990;19
990;61
991;42
991;123
992;12
992;73
992;116
993;103
993;77
993;75
994;80
996;35
998;65
999;19
1001;26
1002;60
1002;64
1002;22
1003;16
1003;63
1003;90
1005;31
1005;81
1005;95
1006;84
1006;72
1006;118
1007;16
1007;26
1010;23
1010;91
1010;17
1011;118
1011;33
1011;94
1015;61
1016;27
1016;50
1017;6
1018;113
1018;37
1018;6
1020;47
1020;50
1020;120
1021;125
1021;10
1021;58
1022;121
1022;95
1022;61
1023;85
1024;60
1024;41
1024;94
1026;93
1026;54
1028;14
1028;6
1030;71
1030;74
1030;18
1033;106
1033;105
1033;59
1034;8
1034;74
1034;121
1035;43
1035;114
1035;9
1037;55
1037;17
1037;79
1038;34
1039;29
1040;105
1042;99
1043;22
1043;80
1045;41
1045;125
1045;80
1046;73
1046;122
1046;86
1048;1
1048;69
1048;98
1049;62
1049;4
1049;100
1051;31
1052;12
1052;41
1052;24
1053;76
1053;113
1054;97
1054;78
1054;89
1056;66
1056;82
1057;117
1057;22
1058;112
1058;122
1058;28
1059;53
1059;125
1060;68
1061;56
1061;103
1061;39
1062;51
1062;25
1062;71
1063;11
1064;6
1065;48
1066;95
1066;7
1066;107
1067;12
1067;10
1067;65
1068;103
1069;61
1070;125
1070;18
1071;111
1071;83
1072;18
1072;53
1073;2
1073;15
1074;1
1074;74
1075;97
1076;5
1076;63
1079;94
1080;88
1080;43
1080;48
1081;69
1081;23
1083;22
1083;61
1084;2
1084;75
1085;40
1086;20
1087;8
1087;56
1088;33
1088;95
1088;49
1090;45
1090;15
