IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienie
1;Hotel_Rome_1;Ul. Plazowa 164, Rome, Italy;4;pelne wyzywienie;188;34;2;Udogodnienia dla osob niepelnosprawnych
2;Hotel_Rome_2;Ul. Przykladowa 215, Rome, Italy;4;bez wyzywienia;22;26;21;Udogodnienia dla osob niepelnosprawnych
3;Hotel_Rome_3;Ul. Przykladowa 44, Rome, Italy;4;sniadania;137;15;23;Przechowalnia bagazu
4;Hotel_Rome_4;Ul. Kwiatowa 68, Rome, Italy;3;polpension;132;49;6;Usluga pralni i prasowania
5;Hotel_Milan_5;Ul. Przykladowa 300, Milan, Italy;4;bez wyzywienia;50;43;11;Udogodnienia dla osob niepelnosprawnych
6;Hotel_Milan_6;Ul. Przykladowa 167, Milan, Italy;4;pelne wyzywienie;93;38;24;Przechowalnia bagazu
7;Hotel_Milan_7;Ul. Plazowa 113, Milan, Italy;3;sniadania;136;26;10;Spa i strefa wellness
8;Hotel_Venice_8;Ul. Centralna 157, Venice, Italy;5;bez wyzywienia;62;40;17;Klimatyzacja w pokojach
9;Hotel_Venice_9;Ul. Glowna 164, Venice, Italy;4;pelne wyzywienie;154;34;30;Sejf w pokoju lub w recepcji
10;Hotel_Venice_10;Ul. Plazowa 133, Venice, Italy;3;sniadania;47;24;22;Klimatyzacja w pokojach
11;Hotel_Venice_11;Ul. Przykladowa 98, Venice, Italy;5;pelne wyzywienie;177;15;16;Usluga pralni i prasowania
12;Hotel_Venice_12;Ul. Glowna 63, Venice, Italy;5;polpension;6;10;23;Udogodnienia dla osob niepelnosprawnych
13;Hotel_Paris_13;Ul. Kwiatowa 166, Paris, France;5;sniadania;15;34;24;Telewizor z serwisami streamingowymi
14;Hotel_Paris_14;Ul. Kwiatowa 210, Paris, France;4;pelne wyzywienie;96;46;2;Bezplatne Wi-Fi
15;Hotel_Paris_15;Ul. Centralna 131, Paris, France;3;bez wyzywienia;33;30;23;Calodobowa recepcja
16;Hotel_Paris_16;Ul. Glowna 110, Paris, France;2;pelne wyzywienie;62;44;1;Udogodnienia dla osob niepelnosprawnych
17;Hotel_Paris_17;Ul. Centralna 181, Paris, France;2;pelne wyzywienie;12;50;1;Telewizor z serwisami streamingowymi
18;Hotel_Nice_18;Ul. Kwiatowa 255, Nice, France;3;pelne wyzywienie;109;34;12;Spa i strefa wellness
19;Hotel_Nice_19;Ul. Centralna 244, Nice, France;2;bez wyzywienia;80;41;17;sniadanie w cenie
20;Hotel_Nice_20;Ul. Glowna 5, Nice, France;4;polpension;11;19;24;Basen (kryty lub odkryty)
21;Hotel_Nice_21;Ul. Glowna 3, Nice, France;3;polpension;44;1;0;Silownia / centrum fitness
22;Hotel_Lyon_22;Ul. Glowna 118, Lyon, France;3;polpension;102;42;30;Klimatyzacja w pokojach
23;Hotel_Lyon_23;Ul. Centralna 273, Lyon, France;4;pelne wyzywienie;83;50;3;Spa i strefa wellness
24;Hotel_Lyon_24;Ul. Kwiatowa 27, Lyon, France;5;bez wyzywienia;101;3;2;Silownia / centrum fitness
25;Hotel_Lyon_25;Ul. Kwiatowa 5, Lyon, France;5;sniadania;74;39;10;Czajnik, kawa i herbata w pokoju
26;Hotel_Barcelona_26;Ul. Plazowa 285, Barcelona, Spain;3;polpension;107;6;21;Basen (kryty lub odkryty)
27;Hotel_Barcelona_27;Ul. Glowna 181, Barcelona, Spain;3;pelne wyzywienie;83;50;0;Usluga pralni i prasowania
28;Hotel_Barcelona_28;Ul. Kwiatowa 11, Barcelona, Spain;1;polpension;175;9;12;Spa i strefa wellness
29;Hotel_Madrid_29;Ul. Centralna 243, Madrid, Spain;5;pelne wyzywienie;151;38;22;Parking (bezplatny lub platny)
30;Hotel_Madrid_30;Ul. Przykladowa 248, Madrid, Spain;5;polpension;53;24;12;Transfer z/na lotnisko
31;Hotel_Valencia_31;Ul. Kwiatowa 250, Valencia, Spain;3;sniadania;53;16;5;Usluga pralni i prasowania
32;Hotel_Valencia_32;Ul. Plazowa 130, Valencia, Spain;3;bez wyzywienia;128;8;16;Parking (bezplatny lub platny)
33;Hotel_Valencia_33;Ul. Centralna 23, Valencia, Spain;4;pelne wyzywienie;120;2;17;Klimatyzacja w pokojach
34;Hotel_Valencia_34;Ul. Przykladowa 33, Valencia, Spain;3;pelne wyzywienie;142;20;7;sniadanie w cenie
35;Hotel_Valencia_35;Ul. Plazowa 198, Valencia, Spain;4;sniadania;37;22;14;Usluga pralni i prasowania
36;Hotel_London_36;Ul. Glowna 133, London, United Kingdom;5;pelne wyzywienie;170;30;11;Calodobowa recepcja
37;Hotel_London_37;Ul. Przykladowa 163, London, United Kingdom;5;sniadania;197;46;30;Sejf w pokoju lub w recepcji
38;Hotel_London_38;Ul. Przykladowa 284, London, United Kingdom;5;bez wyzywienia;148;22;30;Przechowalnia bagazu
39;Hotel_London_39;Ul. Przykladowa 218, London, United Kingdom;4;bez wyzywienia;157;1;19;Udogodnienia dla osob niepelnosprawnych
40;Hotel_London_40;Ul. Plazowa 16, London, United Kingdom;3;bez wyzywienia;93;41;11;Usluga pralni i prasowania
41;Hotel_Manchester_41;Ul. Centralna 100, Manchester, United Kingdom;4;pelne wyzywienie;193;22;5;Basen (kryty lub odkryty)
42;Hotel_Manchester_42;Ul. Centralna 220, Manchester, United Kingdom;5;polpension;182;46;0;Usluga pralni i prasowania
43;Hotel_Manchester_43;Ul. Centralna 156, Manchester, United Kingdom;4;polpension;116;5;24;Klimatyzacja w pokojach
44;Hotel_Edinburgh_44;Ul. Centralna 81, Edinburgh, United Kingdom;3;sniadania;145;26;3;Spa i strefa wellness
45;Hotel_Edinburgh_45;Ul. Kwiatowa 282, Edinburgh, United Kingdom;3;sniadania;23;43;2;Usluga pralni i prasowania
46;Hotel_Edinburgh_46;Ul. Glowna 203, Edinburgh, United Kingdom;3;bez wyzywienia;42;34;1;Spa i strefa wellness
47;Hotel_Edinburgh_47;Ul. Glowna 77, Edinburgh, United Kingdom;5;polpension;76;32;3;Udogodnienia dla rodzin
48;Hotel_Athens_48;Ul. Kwiatowa 65, Athens, Greece;5;polpension;183;4;11;Udogodnienia dla rodzin
49;Hotel_Athens_49;Ul. Plazowa 172, Athens, Greece;3;polpension;77;45;18;Parking (bezplatny lub platny)
50;Hotel_Thessaloniki_50;Ul. Centralna 26, Thessaloniki, Greece;3;sniadania;9;9;28;Bezplatne Wi-Fi
51;Hotel_Thessaloniki_51;Ul. Przykladowa 7, Thessaloniki, Greece;3;bez wyzywienia;148;14;24;Silownia / centrum fitness
52;Hotel_Thessaloniki_52;Ul. Kwiatowa 94, Thessaloniki, Greece;3;bez wyzywienia;185;29;3;Restauracja lub bar hotelowy
53;Hotel_Thessaloniki_53;Ul. Glowna 31, Thessaloniki, Greece;4;pelne wyzywienie;179;17;20;Mini bar lub lodowka
54;Hotel_Thessaloniki_54;Ul. Glowna 258, Thessaloniki, Greece;4;pelne wyzywienie;39;42;19;Sejf w pokoju lub w recepcji
55;Hotel_Lisbon_55;Ul. Przykladowa 27, Lisbon, Portugal;4;polpension;71;49;21;Spa i strefa wellness
56;Hotel_Lisbon_56;Ul. Plazowa 163, Lisbon, Portugal;3;sniadania;170;25;29;Calodobowa recepcja
57;Hotel_Porto_57;Ul. Glowna 109, Porto, Portugal;3;sniadania;72;15;19;Sejf w pokoju lub w recepcji
58;Hotel_Porto_58;Ul. Plazowa 83, Porto, Portugal;5;pelne wyzywienie;100;24;11;Centrum biznesowe / sala konferencyjna
59;Hotel_Dubrovnik_59;Ul. Przykladowa 167, Dubrovnik, Croatia;3;pelne wyzywienie;66;8;16;Telewizor z serwisami streamingowymi
60;Hotel_Dubrovnik_60;Ul. Kwiatowa 53, Dubrovnik, Croatia;4;polpension;51;31;18;Przechowalnia bagazu
61;Hotel_Dubrovnik_61;Ul. Plazowa 91, Dubrovnik, Croatia;2;bez wyzywienia;153;2;21;Czajnik, kawa i herbata w pokoju
62;Hotel_Dubrovnik_62;Ul. Centralna 200, Dubrovnik, Croatia;4;bez wyzywienia;140;0;24;Mini bar lub lodowka
63;Hotel_Split_63;Ul. Przykladowa 4, Split, Croatia;3;sniadania;135;24;20;Spa i strefa wellness
64;Hotel_Split_64;Ul. Kwiatowa 241, Split, Croatia;4;polpension;14;6;20;Restauracja lub bar hotelowy
