IdWycieczki;IdHotelu
1;185
2;153
3;91
4;100
4;98
4;99
5;110
5;111
5;109
6;97
7;232
7;230
7;229
8;228
8;227
9;178
10;9
10;10
11;154
12;52
12;54
12;50
13;217
13;216
14;175
14;174
15;77
16;5
17;190
18;69
18;71
19;62
20;142
20;139
20;140
21;180
22;156
22;154
23;153
24;170
24;171
25;117
25;119
26;61
27;159
27;160
28;168
29;70
30;205
31;136
31;135
32;85
32;84
32;86
33;136
33;137
33;135
34;148
34;149
34;147
35;22
35;23
35;24
36;8
36;12
36;9
37;155
37;156
37;154
38;211
38;210
39;32
40;177
40;178
40;176
41;179
41;181
41;183
42;85
43;143
43;145
43;144
44;174
45;41
45;43
46;210
46;211
47;100
48;60
48;62
49;19
49;20
50;137
50;135
51;234
52;137
53;35
53;31
53;34
54;133
55;199
55;200
56;70
57;91
58;93
58;94
59;191
59;194
60;126
60;125
61;37
62;139
63;221
63;222
63;224
64;121
65;135
66;112
67;141
67;140
67;139
68;121
68;122
68;120
69;124
69;123
70;125
71;97
71;96
72;118
72;119
73;181
73;182
73;180
74;11
74;9
75;122
75;121
75;120
76;121
76;120
76;122
77;216
77;215
78;118
78;116
78;117
79;134
80;109
81;221
82;153
82;152
83;183
84;176
85;39
85;36
86;139
86;138
87;11
87;12
88;206
89;3
90;40
90;36
90;38
91;25
92;175
92;174
93;18
94;123
94;124
95;37
95;40
95;36
96;93
96;95
97;77
98;224
98;222
99;120
99;121
99;122
100;183
101;126
101;128
101;125
102;134
103;63
103;65
103;64
104;176
105;182
106;173
107;131
107;129
107;130
108;133
109;206
110;184
110;185
111;88
112;41
112;42
113;192
114;173
115;48
115;49
116;7
117;125
117;126
117;127
118;154
118;156
118;155
119;156
120;74
120;72
121;186
121;187
122;96
122;97
123;210
124;234
125;223
125;221
125;224
126;154
127;233
127;234
128;53
128;54
128;50
129;50
130;166
131;57
132;36
132;38
132;39
133;81
133;82
134;89
135;31
135;35
135;32
136;58
136;57
137;182
137;179
138;119
138;118
138;116
139;233
140;109
141;82
142;68
142;70
142;71
143;92
143;94
143;93
144;48
145;74
146;1
146;4
146;2
147;134
147;132
148;185
148;184
149;74
149;75
150;19
150;21
151;189
151;187
152;173
152;172
153;222
153;223
153;224
154;72
155;133
155;134
156;121
156;120
157;73
157;75
158;148
158;151
159;56
159;55
160;168
160;165
161;48
161;49
162;39
163;189
163;190
163;186
164;114
165;18
165;21
165;19
166;228
166;225
166;226
167;123
168;77
168;79
169;214
170;35
170;33
171;15
171;16
172;102
172;106
172;104
173;100
174;113
174;112
175;145
175;143
175;146
176;221
176;224
177;62
177;61
178;55
178;56
179;213
179;214
180;88
180;89
181;152
182;207
182;206
182;209
183;85
184;150
185;93
185;92
185;94
186;179
186;183
186;180
187;134
187;132
187;133
188;176
188;178
188;177
189;234
189;233
190;156
190;155
191;27
191;28
191;26
192;158
192;157
193;27
193;26
194;152
195;1
196;56
196;55
197;120
197;122
197;121
198;44
198;47
199;122
199;120
199;121
200;35
200;31
200;32
201;157
201;161
201;158
202;107
203;73
203;74
204;102
205;90
205;91
206;75
206;74
206;73
207;117
207;119
208;162
208;164
209;115
210;88
210;87
210;89
211;2
211;1
211;4
212;228
212;226
213;7
213;5
213;6
214;26
214;28
214;27
215;21
215;18
215;20
216;56
216;55
217;137
217;135
217;136
218;60
219;197
219;195
219;198
220;114
221;96
222;51
222;52
223;74
224;210
224;211
225;85
225;84
225;83
226;164
226;162
227;190
228;6
229;135
230;74
230;72
230;75
231;62
232;165
232;167
233;169
233;166
234;227
234;226
234;228
235;168
235;169
235;167
236;207
236;209
237;211
238;174
239;234
239;233
240;121
240;122
241;186
241;188
241;189
242;221
243;49
243;48
244;173
244;172
245;119
246;96
246;97
247;121
247;122
248;38
249;115
250;95
250;94
251;72
252;166
253;69
254;60
255;229
255;230
256;62
257;140
258;9
258;11
258;10
259;90
259;91
260;137
260;135
260;136
261;32
261;35
261;33
262;178
262;176
263;23
264;151
264;150
264;148
265;176
265;178
266;173
266;172
267;92
267;95
268;75
268;72
269;85
269;83
269;86
270;142
270;140
271;105
271;102
271;106
272;23
273;124
274;197
274;196
275;80
276;13
277;233
277;234
278;94
278;92
279;192
279;191
280;48
280;49
281;215
281;216
282;147
283;104
283;106
284;180
285;231
286;117
286;116
287;179
287;180
287;183
288;146
289;88
290;165
291;68
291;71
292;72
292;74
293;3
293;4
293;1
294;123
295;153
295;152
296;137
296;135
297;55
298;153
299;69
299;70
300;17
300;14
300;13
301;130
301;131
301;129
302;97
303;61
303;59
303;62
304;97
304;96
305;173
305;172
306;156
306;154
306;155
307;180
308;225
309;55
309;56
310;140
311;178
312;180
312;179
313;75
313;74
314;187
314;188
314;189
315;213
315;214
316;217
317;17
317;14
317;16
318;92
319;200
320;197
321;185
321;184
322;123
322;124
323;115
324;175
325;8
325;12
325;11
326;18
326;21
327;127
327;128
328;5
328;6
328;7
329;1
329;2
329;3
330;116
330;119
330;117
331;185
332;115
333;122
333;120
334;55
334;56
335;122
335;120
335;121
336;166
336;168
336;165
337;28
337;27
337;26
338;154
338;156
338;155
339;58
339;57
340;178
340;176
341;45
342;49
343;53
343;50
344;79
345;51
346;124
347;217
347;216
347;215
348;172
348;173
349;136
349;137
349;135
350;152
351;219
351;218
351;220
352;210
353;119
353;118
353;116
354;166
354;168
354;165
355;104
355;106
356;57
356;58
357;99
358;134
358;133
358;132
359;216
360;1
361;223
361;224
362;197
362;196
363;55
364;87
364;89
364;88
365;104
366;159
366;161
367;31
367;35
367;32
368;153
369;220
369;218
370;209
371;213
372;88
372;89
372;87
373;113
374;179
374;182
375;18
375;21
376;228
377;138
378;126
379;69
379;71
379;68
