IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Australia;Sydney;107;objazdowa;473
2;Morocco;Casablanca;252;city break;887
3;Netherlands;Rotterdam;137;city break;3681
4;Switzerland;Zurich;239;city break;2617
5;Austria;Vienna;181;objazdowa;3267
6;Belgium;Antwerp;382;wypoczynkowa;2731
7;Poland;Krakow;124;wypoczynkowa;2320
8;Poland;Warsaw;223;tematyczna;1285
9;Canada;Toronto;305;objazdowa;580
10;Italy;Venice;56;wypoczynkowa;3629
11;Tunisia;Tunis;255;tematyczna;3106
12;Greece;Thessaloniki;315;city break;318
13;Ireland;Cork;82;tematyczna;3820
14;USA;Miami;78;tematyczna;2895
15;Germany;Berlin;267;tematyczna;4622
16;Italy;Milan;327;city break;916
17;Australia;Melbourne;200;city break;1613
18;Bulgaria;Sofia;396;objazdowa;2569
19;Croatia;Dubrovnik;215;city break;3045
20;Turkey;Istanbul;112;city break;2230
21;Canada;Montreal;271;city break;3660
22;Tunisia;Tunis;192;wypoczynkowa;1624
23;Morocco;Casablanca;146;city break;3351
24;USA;New York;329;wypoczynkowa;1455
25;Czech Republic;Ostrava;225;city break;859
26;Croatia;Dubrovnik;227;wypoczynkowa;4770
27;Tunisia;Hammamet;126;city break;4921
28;Egypt;Hurghada;43;tematyczna;2517
29;Bulgaria;Sofia;102;tematyczna;4611
30;China;Shanghai;237;tematyczna;1873
31;Denmark;Aarhus;315;city break;3905
32;Germany;Hamburg;84;city break;1200
33;Denmark;Aarhus;124;city break;1349
34;Morocco;Marrakesh;258;wypoczynkowa;1414
35;France;Lyon;353;wypoczynkowa;2840
36;Italy;Venice;75;city break;3281
37;Tunisia;Tunis;115;city break;1164
38;India;Delhi;60;tematyczna;2195
39;Spain;Valencia;99;city break;4677
40;Canada;Toronto;230;objazdowa;4502
41;Canada;Montreal;212;tematyczna;2768
42;Germany;Hamburg;321;tematyczna;1817
43;Turkey;Antalya;224;city break;820
44;USA;Miami;217;city break;1042
45;United Kingdom;Manchester;369;objazdowa;4378
46;India;Delhi;379;tematyczna;1842
47;Switzerland;Zurich;198;tematyczna;3860
48;Croatia;Dubrovnik;92;tematyczna;4105
49;France;Nice;193;tematyczna;2803
50;Denmark;Aarhus;287;wypoczynkowa;2202
51;Poland;Gdansk;298;tematyczna;2183
52;Denmark;Aarhus;139;tematyczna;724
53;Spain;Valencia;47;tematyczna;451
54;Denmark;Copenhagen;149;wypoczynkowa;3207
55;China;Beijing;107;city break;1914
56;Bulgaria;Sofia;250;wypoczynkowa;1707
57;Netherlands;Rotterdam;78;wypoczynkowa;858
58;Belgium;Brussels;74;wypoczynkowa;4120
59;Japan;Tokyo;49;city break;3121
60;Norway;Oslo;260;wypoczynkowa;2261
61;United Kingdom;London;274;wypoczynkowa;4317
62;Turkey;Istanbul;58;wypoczynkowa;3077
63;Iceland;Akureyri;396;tematyczna;4632
64;Sweden;Stockholm;141;objazdowa;4073
65;Denmark;Aarhus;218;wypoczynkowa;2067
66;Austria;Salzburg;182;wypoczynkowa;4538
67;Turkey;Istanbul;169;tematyczna;843
68;Sweden;Stockholm;79;city break;3937
69;Sweden;Gothenburg;40;tematyczna;2612
70;Norway;Oslo;350;city break;4146
71;Belgium;Antwerp;234;objazdowa;1301
72;Czech Republic;Ostrava;227;tematyczna;3536
73;Canada;Montreal;362;wypoczynkowa;3011
74;Italy;Venice;214;wypoczynkowa;919
75;Sweden;Stockholm;321;tematyczna;2827
76;Sweden;Stockholm;177;tematyczna;2936
77;Ireland;Cork;235;city break;405
78;Czech Republic;Ostrava;74;tematyczna;291
79;Denmark;Copenhagen;171;tematyczna;3097
80;Austria;Vienna;289;tematyczna;2165
81;Iceland;Akureyri;386;wypoczynkowa;4013
82;Morocco;Casablanca;160;wypoczynkowa;1743
83;Canada;Montreal;50;tematyczna;453
84;Canada;Toronto;338;city break;1511
85;United Kingdom;London;50;city break;46
86;Turkey;Istanbul;219;objazdowa;2206
87;Italy;Venice;120;tematyczna;3449
88;India;Mumbai;113;wypoczynkowa;4665
89;Italy;Rome;134;tematyczna;2001
90;United Kingdom;London;80;city break;3135
91;France;Lyon;266;wypoczynkowa;347
92;USA;Miami;333;wypoczynkowa;2059
93;France;Nice;374;objazdowa;198
94;Sweden;Gothenburg;295;city break;2832
95;United Kingdom;London;262;objazdowa;1106
96;Belgium;Brussels;57;wypoczynkowa;2955
97;Germany;Berlin;225;city break;3254
98;Iceland;Akureyri;266;objazdowa;2974
99;Sweden;Stockholm;390;wypoczynkowa;2100
100;Canada;Montreal;114;objazdowa;1636
101;Norway;Oslo;146;objazdowa;1304
102;Denmark;Copenhagen;188;wypoczynkowa;3708
103;Croatia;Split;230;wypoczynkowa;2876
104;Canada;Toronto;351;city break;4676
105;Canada;Montreal;68;city break;2592
106;USA;Los Angeles;100;wypoczynkowa;3510
107;Norway;Bergen;92;wypoczynkowa;1403
108;Denmark;Copenhagen;295;tematyczna;3360
109;India;Mumbai;398;city break;4997
110;Australia;Sydney;266;tematyczna;3468
111;Netherlands;Amsterdam;339;city break;3876
112;United Kingdom;Manchester;219;city break;2360
113;Japan;Tokyo;309;city break;568
114;USA;Los Angeles;379;tematyczna;4787
115;Greece;Athens;43;wypoczynkowa;2665
116;Italy;Milan;170;wypoczynkowa;2049
117;Norway;Oslo;110;objazdowa;2945
118;Tunisia;Tunis;297;tematyczna;4088
119;Tunisia;Tunis;292;wypoczynkowa;211
120;Bulgaria;Burgas;307;objazdowa;2883
121;Australia;Melbourne;85;city break;2470
122;Belgium;Antwerp;256;tematyczna;1660
123;India;Delhi;390;wypoczynkowa;4199
124;Poland;Gdansk;192;wypoczynkowa;1766
125;Iceland;Akureyri;122;tematyczna;3637
126;Tunisia;Tunis;212;city break;3670
127;Poland;Gdansk;166;city break;4104
128;Greece;Thessaloniki;83;tematyczna;2462
129;Greece;Thessaloniki;400;objazdowa;2433
130;Egypt;Hurghada;173;city break;4008
131;Portugal;Porto;226;objazdowa;1663
132;United Kingdom;London;125;wypoczynkowa;4785
133;Germany;Munich;136;tematyczna;158
134;Netherlands;Amsterdam;196;city break;630
135;Spain;Valencia;302;wypoczynkowa;524
136;Portugal;Porto;147;wypoczynkowa;1604
137;Canada;Montreal;321;wypoczynkowa;1685
138;Czech Republic;Ostrava;228;wypoczynkowa;361
139;Poland;Gdansk;243;wypoczynkowa;1775
140;Austria;Vienna;106;tematyczna;1773
141;Germany;Munich;99;wypoczynkowa;4398
142;Bulgaria;Sofia;124;city break;2793
143;Belgium;Brussels;306;city break;3019
144;Greece;Athens;42;wypoczynkowa;264
145;Bulgaria;Burgas;340;city break;792
146;Italy;Rome;120;tematyczna;2765
147;Denmark;Copenhagen;219;city break;3874
148;Australia;Sydney;55;city break;3457
149;Bulgaria;Burgas;340;city break;2423
150;France;Nice;123;tematyczna;2071
151;Australia;Melbourne;320;city break;3146
152;USA;Los Angeles;201;wypoczynkowa;3321
153;Iceland;Akureyri;381;city break;351
154;Bulgaria;Burgas;261;objazdowa;1846
155;Denmark;Copenhagen;366;objazdowa;4757
156;Sweden;Stockholm;317;tematyczna;2976
157;Bulgaria;Burgas;46;tematyczna;4209
158;Morocco;Marrakesh;101;wypoczynkowa;3754
159;Portugal;Lisbon;289;wypoczynkowa;3772
160;Egypt;Hurghada;398;wypoczynkowa;30
161;Greece;Athens;225;tematyczna;17
162;United Kingdom;London;255;tematyczna;4837
163;Australia;Melbourne;295;wypoczynkowa;1842
164;Czech Republic;Prague;262;objazdowa;324
165;France;Nice;338;tematyczna;1581
166;Poland;Warsaw;264;wypoczynkowa;1327
167;Sweden;Gothenburg;297;wypoczynkowa;4473
168;Germany;Berlin;260;objazdowa;1538
169;Ireland;Dublin;261;objazdowa;2745
170;Spain;Valencia;345;objazdowa;3311
171;France;Paris;181;city break;4456
172;Switzerland;Geneva;257;wypoczynkowa;3206
173;Switzerland;Zurich;118;tematyczna;2273
174;Austria;Salzburg;264;tematyczna;4746
175;Turkey;Antalya;236;tematyczna;2147
176;Iceland;Akureyri;68;wypoczynkowa;1163
177;Croatia;Dubrovnik;110;tematyczna;4579
178;Portugal;Lisbon;207;tematyczna;911
179;Ireland;Dublin;143;tematyczna;1935
180;Netherlands;Amsterdam;245;city break;3667
181;Morocco;Casablanca;267;wypoczynkowa;3295
182;India;Mumbai;166;tematyczna;2699
183;Germany;Hamburg;316;tematyczna;4102
184;Morocco;Marrakesh;280;city break;3789
185;Belgium;Brussels;216;objazdowa;3825
186;Canada;Montreal;186;objazdowa;1522
187;Denmark;Copenhagen;342;wypoczynkowa;3959
188;Canada;Toronto;109;objazdowa;3937
189;Poland;Gdansk;266;city break;419
190;Tunisia;Tunis;134;objazdowa;285
191;Spain;Barcelona;61;wypoczynkowa;1371
192;Tunisia;Hammamet;64;tematyczna;4490
193;Spain;Barcelona;268;objazdowa;1559
194;Morocco;Casablanca;269;objazdowa;2990
195;Italy;Rome;394;objazdowa;1143
196;Portugal;Lisbon;78;wypoczynkowa;2815
197;Sweden;Stockholm;279;wypoczynkowa;3802
198;United Kingdom;Edinburgh;331;wypoczynkowa;879
199;Sweden;Stockholm;131;wypoczynkowa;1944
200;Spain;Valencia;265;objazdowa;2743
201;Tunisia;Hammamet;318;tematyczna;2611
202;Austria;Vienna;254;objazdowa;4269
203;Bulgaria;Burgas;289;wypoczynkowa;1895
204;Switzerland;Geneva;97;wypoczynkowa;908
205;Netherlands;Rotterdam;325;objazdowa;413
206;Bulgaria;Burgas;97;wypoczynkowa;2288
207;Czech Republic;Ostrava;150;objazdowa;2606
208;Egypt;Cairo;112;wypoczynkowa;2634
209;Czech Republic;Prague;259;city break;2513
210;Netherlands;Amsterdam;229;city break;4486
211;Italy;Rome;365;city break;2739
212;Poland;Warsaw;275;tematyczna;4602
213;Italy;Milan;238;wypoczynkowa;27
214;Spain;Barcelona;358;objazdowa;2973
215;France;Nice;169;wypoczynkowa;1422
216;Portugal;Lisbon;204;objazdowa;542
217;Denmark;Aarhus;108;tematyczna;1122
218;Croatia;Dubrovnik;232;wypoczynkowa;3616
219;Japan;Osaka;50;city break;2876
220;Czech Republic;Prague;127;wypoczynkowa;2371
221;Belgium;Antwerp;378;tematyczna;4539
222;Greece;Thessaloniki;212;wypoczynkowa;3500
223;Bulgaria;Burgas;136;city break;3871
224;India;Delhi;224;city break;1237
225;Germany;Hamburg;43;objazdowa;931
226;Egypt;Cairo;151;wypoczynkowa;4879
227;Australia;Melbourne;176;tematyczna;814
228;Italy;Milan;322;city break;3897
229;Denmark;Aarhus;110;tematyczna;4706
230;Bulgaria;Burgas;317;city break;4416
231;Croatia;Dubrovnik;253;wypoczynkowa;2509
232;Egypt;Hurghada;153;tematyczna;2667
233;Egypt;Hurghada;274;city break;1500
234;Poland;Warsaw;323;objazdowa;656
235;Egypt;Hurghada;102;wypoczynkowa;4985
236;India;Mumbai;144;objazdowa;1390
237;India;Delhi;291;city break;85
238;USA;Miami;133;wypoczynkowa;1368
239;Poland;Gdansk;117;tematyczna;4166
240;Sweden;Stockholm;396;wypoczynkowa;3547
241;Australia;Melbourne;51;tematyczna;1083
242;Iceland;Akureyri;108;tematyczna;2673
243;Greece;Athens;183;wypoczynkowa;3320
244;USA;Los Angeles;285;objazdowa;2876
245;Czech Republic;Ostrava;60;objazdowa;3594
246;Belgium;Antwerp;185;wypoczynkowa;107
247;Sweden;Stockholm;299;objazdowa;3733
248;United Kingdom;London;376;wypoczynkowa;2257
249;Czech Republic;Prague;298;tematyczna;4391
250;Belgium;Brussels;341;tematyczna;1222
