IdWycieczki;IdAtrakcji
1;18
1;7
2;16
2;6
2;19
5;17
7;11
7;10
7;3
8;17
8;10
8;12
10;16
12;8
12;15
12;18
14;4
14;19
14;6
15;1
16;18
16;3
17;2
18;11
19;16
19;20
19;10
20;4
20;12
20;15
21;15
22;8
22;5
25;17
26;12
26;3
26;10
27;6
28;16
28;3
29;6
29;2
31;20
31;11
31;10
33;19
33;20
33;2
34;6
34;20
34;15
36;10
38;20
38;13
38;5
40;9
41;19
44;13
46;14
46;17
46;15
47;14
48;17
48;16
49;1
49;9
51;7
51;14
53;8
53;16
54;1
54;2
55;12
56;17
56;4
57;1
57;4
57;16
58;2
59;3
59;9
60;4
60;6
61;13
62;2
63;9
64;6
65;8
65;15
66;1
66;3
66;15
67;17
67;2
67;18
72;2
73;15
73;16
73;3
74;13
74;14
74;15
75;13
75;19
75;7
76;13
76;5
76;3
77;19
78;10
78;13
78;8
80;19
80;9
81;3
82;11
82;15
83;19
84;18
84;1
85;16
85;13
86;15
86;8
87;6
87;5
87;17
88;7
89;4
89;13
90;12
90;7
91;12
91;19
92;12
94;13
94;4
94;6
95;5
95;1
96;11
96;6
97;9
97;19
97;8
98;13
98;20
99;9
99;7
99;12
100;4
102;11
103;10
103;13
104;14
104;5
104;12
105;1
106;1
106;4
107;10
107;15
110;11
110;15
111;13
112;9
113;6
113;7
113;2
114;2
114;15
114;11
117;3
120;10
121;2
121;13
122;11
122;7
123;6
123;7
123;3
124;14
124;4
124;18
126;19
126;2
127;1
127;7
127;19
128;14
128;18
128;20
130;6
130;4
130;1
131;6
131;15
132;19
132;2
132;20
135;14
135;2
135;10
136;10
136;13
137;13
138;11
138;4
138;8
140;6
141;15
141;11
141;14
142;4
142;15
143;8
143;4
144;11
144;19
145;5
145;4
147;12
148;10
148;6
149;1
149;17
149;19
150;15
150;3
151;13
151;4
152;10
152;6
152;8
153;9
154;15
154;3
156;3
157;7
158;9
158;20
159;8
161;4
162;5
162;3
163;3
163;1
163;16
165;11
165;9
166;11
169;3
169;9
169;5
170;14
170;3
172;11
172;14
173;7
174;10
175;12
175;10
175;2
176;2
177;7
178;6
178;17
178;15
180;8
180;10
180;11
181;14
181;12
181;19
182;14
182;13
184;1
184;2
185;11
186;12
186;8
186;7
187;8
190;11
191;14
191;7
191;20
192;16
192;20
194;2
194;11
195;17
195;16
196;15
197;13
198;17
199;5
199;10
202;1
202;9
204;11
205;14
205;17
205;6
207;20
209;17
210;3
212;5
212;15
213;10
213;12
215;9
216;14
216;13
216;6
218;17
218;4
218;14
219;12
219;18
219;8
220;8
220;20
220;3
221;15
221;19
222;14
224;9
224;13
224;15
225;9
226;11
226;8
226;4
227;19
227;6
227;18
228;14
228;15
230;13
232;11
234;17
236;20
236;6
238;16
238;1
239;4
239;18
240;13
241;5
241;12
241;11
242;8
242;5
242;18
243;1
244;15
244;17
244;12
247;20
247;7
248;10
249;12
249;20
249;18
250;1
250;3
252;5
252;14
253;7
253;9
253;16
254;19
256;19
256;7
257;13
257;7
258;3
259;12
259;15
260;14
260;3
261;11
262;6
262;12
262;13
263;1
263;19
263;16
266;11
267;8
268;17
268;5
269;13
269;3
270;18
271;4
271;19
271;1
273;3
273;5
273;20
274;19
274;7
276;8
276;7
277;12
277;13
279;18
279;2
279;5
280;1
280;18
281;3
281;10
281;15
283;5
283;18
284;18
284;12
285;17
285;6
285;8
286;16
287;20
287;8
288;2
288;4
290;8
290;14
292;4
292;3
292;6
293;2
294;1
294;11
294;18
296;6
299;19
299;18
301;8
301;15
301;2
302;17
302;3
304;20
304;4
304;15
305;18
305;20
305;12
307;5
308;6
308;7
308;17
309;3
310;13
311;7
311;19
311;3
314;10
314;13
314;18
315;11
316;10
317;13
317;6
317;12
318;17
318;12
320;1
320;5
321;20
321;10
321;13
322;17
322;10
322;2
323;7
323;2
326;19
326;4
326;15
327;7
330;16
330;3
330;2
331;7
332;9
332;17
332;15
333;12
333;2
334;1
334;2
337;16
340;3
340;5
341;2
341;3
341;15
342;9
342;6
342;4
343;5
343;13
344;7
344;19
345;15
345;4
347;17
348;14
348;8
349;19
349;2
350;14
351;10
351;1
351;19
352;8
352;6
352;18
353;11
356;12
356;19
356;13
357;19
358;8
358;2
359;12
359;4
360;20
361;12
361;2
362;9
363;3
363;7
363;2
364;16
364;18
364;10
366;2
366;19
367;1
368;3
368;18
368;17
369;19
369;1
370;3
370;13
371;10
371;8
371;3
372;6
372;14
376;10
376;5
377;19
377;13
377;5
381;20
381;1
381;12
384;17
385;12
387;16
387;4
389;8
389;11
389;1
390;18
390;20
390;9
392;6
392;8
394;11
394;9
394;6
395;6
395;13
395;9
396;18
396;16
398;3
398;11
398;7
399;15
399;16
401;20
401;13
403;19
404;19
405;4
408;12
408;11
409;2
409;11
409;6
410;9
411;8
412;13
412;8
413;15
414;12
414;5
415;3
415;16
417;5
417;8
417;12
418;12
419;6
419;12
419;18
421;10
421;13
422;12
422;18
422;17
424;13
425;14
425;10
425;7
426;7
428;17
430;14
430;12
432;12
432;4
433;17
433;19
434;8
434;2
434;15
435;6
437;11
437;15
437;7
438;1
440;7
440;1
440;13
441;13
442;10
442;4
443;19
443;5
444;4
444;11
445;5
445;4
445;10
446;17
446;16
446;15
447;2
448;20
448;7
449;18
449;7
449;3
450;15
450;10
452;8
452;1
453;20
453;17
453;6
454;16
455;7
456;19
457;19
459;2
459;14
459;4
460;8
460;2
461;4
461;11
461;20
462;15
462;7
463;18
464;10
465;16
465;8
465;2
466;17
466;14
466;4
467;5
467;4
468;18
468;6
468;17
469;18
469;19
469;20
472;4
472;11
473;19
473;14
473;1
475;4
475;1
476;11
476;14
477;8
477;5
477;2
478;15
478;7
478;8
479;3
479;12
480;7
481;6
481;7
481;15
483;5
483;6
483;19
484;14
485;17
487;20
487;7
487;4
488;20
489;2
489;11
489;10
490;17
490;16
490;7
491;16
491;17
492;3
494;3
494;9
496;3
497;8
498;2
498;8
498;1
499;10
499;13
500;10
502;16
502;1
502;19
503;6
503;12
504;6
504;11
504;10
505;4
506;13
506;12
506;16
508;16
508;13
509;7
509;6
509;5
511;13
511;15
512;11
512;4
512;12
514;18
515;14
515;18
516;17
517;11
517;12
517;10
519;3
521;20
521;3
522;3
522;5
523;2
523;3
524;19
524;9
524;20
525;3
525;7
526;9
526;20
526;15
529;4
531;13
532;1
532;8
532;11
533;12
533;15
533;13
536;20
536;8
537;5
537;17
538;4
538;15
538;19
541;17
542;6
542;2
542;10
543;15
543;5
543;3
544;7
544;1
544;14
545;15
547;15
547;10
547;20
548;8
548;20
548;4
549;2
551;6
552;18
552;8
553;1
554;11
554;6
554;14
556;13
556;4
557;6
557;10
558;13
558;20
559;19
559;15
560;15
561;3
561;2
561;17
562;9
562;17
563;14
564;8
564;14
565;9
567;2
567;17
568;7
569;10
569;9
569;8
570;6
570;18
571;18
572;3
572;13
572;19
573;19
576;20
576;18
578;5
578;7
580;5
581;12
581;9
582;19
584;16
585;7
585;16
585;1
586;14
588;8
590;2
590;12
591;10
591;7
592;10
593;14
595;8
595;17
596;13
596;18
596;12
598;16
598;19
598;17
599;8
600;18
601;16
602;19
602;8
603;12
603;9
603;13
604;9
607;19
607;5
608;18
608;9
608;20
609;2
610;20
610;14
611;19
612;4
613;6
614;6
