IdWycieczki;IdHotelu
1;45
1;47
2;82
3;79
4;97
4;95
5;14
6;110
7;128
7;129
8;48
8;50
9;5
9;4
10;50
10;49
10;48
11;24
11;23
11;22
12;6
12;7
13;49
13;50
14;36
15;110
16;98
17;61
17;62
18;129
18;128
19;29
19;28
20;20
20;21
21;76
22;22
23;65
24;107
25;21
26;93
26;92
27;56
28;100
28;99
29;9
30;8
30;9
31;70
32;129
33;63
34;61
34;62
35;49
36;15
36;16
37;102
37;101
37;103
38;111
38;110
39;14
40;64
41;126
42;27
42;28
43;130
44;27
45;36
46;62
46;61
47;90
47;89
47;88
48;10
48;12
48;11
49;120
50;125
51;98
52;123
52;124
53;25
54;53
55;19
56;35
57;89
58;81
59;32
59;30
60;130
60;131
61;73
62;93
62;92
63;135
64;128
65;1
65;2
66;62
67;55
68;116
68;118
69;108
69;109
70;114
71;53
71;51
72;91
73;106
74;41
75;94
76;1
77;92
78;83
78;82
78;84
79;6
80;78
80;79
80;77
81;44
81;43
82;109
82;107
83;31
84;109
84;107
84;108
85;57
85;56
86;80
87;104
88;16
89;9
89;8
90;87
91;116
91;118
92;61
92;62
93;41
94;87
95;135
96;125
97;115
97;114
98;115
98;114
99;124
99;123
100;119
101;4
102;51
103;98
104;62
105;119
106;94
107;18
108;98
109;119
110;25
111;127
112;68
112;69
112;67
113;14
114;41
115;42
115;43
116;92
116;93
117;57
117;56
118;94
119;52
119;51
120;126
121;60
121;58
121;59
122;112
122;113
123;77
123;79
123;78
124;80
125;89
125;90
125;88
126;56
126;57
127;34
128;63
129;61
130;88
131;34
132;37
133;95
133;96
134;87
134;86
135;61
136;12
137;25
138;31
139;50
139;48
140;95
140;96
140;97
141;39
141;40
142;128
142;129
143;128
143;129
144;53
144;51
144;52
145;44
146;84
146;82
146;83
147;36
148;110
149;83
150;98
151;119
152;79
153;46
154;122
154;120
154;121
155;103
156;120
156;122
156;121
157;35
158;93
159;42
159;43
159;44
160;131
160;130
161;71
161;72
162;100
163;81
164;76
165;107
166;26
167;7
167;6
168;134
168;132
168;133
169;133
169;134
170;18
171;74
172;26
173;28
173;29
174;137
174;136
175;84
175;82
176;108
177;37
178;77
179;133
179;132
180;26
181;26
182;108
183;94
184;104
184;105
184;106
185;76
186;8
187;115
187;114
188;35
189;111
189;110
190;26
191;131
191;130
192;135
193;137
194;62
195;25
196;42
196;43
197;93
197;92
198;81
199;85
200;39
200;40
201;18
202;41
203;5
204;31
204;30
204;32
205;108
205;107
205;109
206;125
207;41
208;82
208;83
208;84
209;45
209;47
210;25
211;21
211;20
212;63
213;136
213;137
214;37
215;52
215;51
216;111
217;71
217;72
218;93
218;92
219;127
220;76
221;61
221;62
222;21
223;124
223;123
224;34
224;33
225;69
225;67
225;68
226;42
226;43
226;44
227;27
228;35
229;119
230;32
231;48
231;49
231;50
232;73
233;77
234;73
235;20
235;21
236;101
237;93
237;92
238;76
239;127
240;115
241;60
242;112
243;102
243;101
244;86
244;87
244;85
245;101
245;103
246;14
247;16
248;134
248;133
248;132
249;94
250;116
250;117
251;55
252;12
252;11
252;10
253;55
254;118
255;80
256;7
257;57
257;56
258;50
259;135
260;80
261;90
261;88
261;89
262;35
263;135
264;129
265;36
266;50
266;49
267;98
268;57
268;56
269;113
270;128
270;129
271;79
271;78
272;122
272;121
272;120
273;33
273;34
274;99
275;124
276;135
277;131
277;130
278;73
279;91
280;37
281;137
282;63
283;66
283;65
284;98
285;22
285;23
285;24
286;76
287;35
288;51
289;57
290;35
291;126
292;110
293;87
293;86
293;85
294;126
295;78
296;36
297;59
298;47
298;45
298;46
299;81
300;108
301;119
302;27
302;29
303;125
304;12
305;64
306;115
307;88
307;90
308;50
308;48
308;49
309;60
309;58
310;26
311;4
311;5
312;74
312;75
313;76
314;76
315;73
316;63
317;25
318;81
319;124
319;123
320;125
321;5
322;41
323;14
324;40
324;38
325;123
325;124
326;78
326;79
327;120
327;122
327;121
328;28
328;27
329;82
329;83
329;84
330;125
331;114
331;115
332;92
333;61
334;10
335;114
335;115
336;80
337;103
337;102
337;101
338;104
339;132
339;133
340;38
340;40
341;61
342;41
343;104
344;13
345;35
346;26
347;54
347;55
348;78
348;77
349;105
350;71
350;70
350;72
351;45
351;46
351;47
352;50
353;10
353;11
353;12
354;51
354;52
355;18
356;13
357;93
357;92
358;35
359;18
360;104
360;105
360;106
361;21
362;52
362;53
363;65
363;64
363;66
364;47
364;46
364;45
365;36
366;108
366;109
366;107
367;125
368;31
368;30
368;32
369;83
369;82
370;81
371;57
372;76
373;62
373;61
374;35
375;112
375;113
376;71
376;70
377;135
378;48
378;49
379;73
380;85
380;86
380;87
381;9
382;26
383;107
383;108
384;104
384;105
385;92
385;93
386;81
387;94
388;56
389;6
390;136
391;115
392;31
392;32
393;108
393;107
394;33
394;34
395;124
395;123
396;76
397;134
397;132
397;133
398;81
399;116
399;117
399;118
400;77
400;78
400;79
401;36
402;76
403;35
404;62
405;78
406;126
407;99
407;100
408;8
409;125
410;36
411;125
412;7
412;6
413;50
413;49
414;98
415;63
416;135
417;126
418;94
419;73
420;37
421;33
421;34
422;130
422;131
423;101
423;103
424;32
424;31
424;30
425;35
426;14
427;3
428;21
429;118
429;117
429;116
430;107
431;73
432;137
433;92
433;93
434;124
434;123
435;21
435;20
436;80
437;59
438;31
439;106
439;105
439;104
440;115
440;114
441;77
441;78
442;63
443;118
443;117
444;125
445;63
446;45
447;110
448;54
448;55
449;9
450;35
451;51
452;107
452;108
453;127
454;96
454;95
454;97
455;30
455;31
455;32
456;126
457;123
458;113
459;125
460;137
461;126
462;91
463;63
464;19
465;81
466;114
467;100
468;97
469;94
470;116
470;118
470;117
471;126
472;135
473;81
474;79
474;77
474;78
475;6
475;7
476;92
476;93
477;116
477;118
477;117
478;80
479;127
480;127
481;128
481;129
482;36
483;55
484;14
485;104
485;105
485;106
486;120
486;121
487;93
487;92
488;46
488;47
489;68
489;67
489;69
490;15
491;26
492;34
492;33
493;31
493;32
493;30
494;135
495;33
495;34
496;126
497;28
497;27
497;29
498;55
499;97
500;33
501;28
501;29
502;16
502;17
503;125
504;26
505;76
506;58
506;60
507;79
507;77
508;117
508;118
508;116
509;39
509;38
510;3
510;2
511;91
512;106
512;105
513;109
514;26
515;32
515;31
516;35
517;73
518;102
518;103
519;58
519;60
519;59
520;81
521;74
521;75
522;10
523;36
524;80
525;73
526;126
527;22
527;24
527;23
528;74
528;75
529;127
530;20
531;126
532;20
533;50
533;48
534;116
534;118
535;68
535;67
535;69
536;3
536;1
536;2
537;52
538;94
539;104
539;106
540;88
541;20
541;21
542;123
542;124
543;75
543;74
544;66
544;64
544;65
545;71
546;94
547;63
548;27
549;42
550;103
550;102
550;101
551;80
552;127
553;127
554;115
555;15
556;97
556;95
556;96
557;137
557;136
558;41
559;18
560;57
561;60
562;68
562;69
563;110
564;13
565;99
565;100
566;117
566;116
566;118
567;25
568;105
569;103
569;102
570;37
571;34
572;21
572;20
573;123
574;78
574;77
575;8
576;134
576;132
576;133
577;51
577;53
578;127
579;73
580;26
581;80
582;98
583;116
583;117
584;34
584;33
585;130
586;57
587;27
588;25
589;129
589;128
590;110
591;130
592;19
593;18
594;94
595;106
595;105
596;2
596;3
596;1
597;80
598;36
599;83
599;82
600;70
600;71
600;72
601;35
602;75
603;35
604;31
604;30
605;10
606;84
606;83
607;25
608;87
609;76
610;75
610;74
611;80
612;79
613;104
614;86
615;68
615;67
615;69
616;18
617;129
618;118
619;80
620;19
621;97
622;35
623;35
624;55
625;114
625;115
626;29
626;28
627;59
627;60
628;97
629;18
630;113
631;30
632;125
633;125
634;1
634;2
635;12
635;10
635;11
636;117
637;28
637;29
637;27
638;26
639;100
640;49
640;48
641;4
642;114
642;115
643;109
644;65
644;64
644;66
645;129
646;33
646;34
647;103
647;102
648;79
648;78
649;94
650;34
650;33
651;18
652;18
653;25
654;34
654;33
655;50
655;49
655;48
656;102
656;103
657;9
658;86
658;87
658;85
659;63
660;16
660;17
661;53
661;52
662;31
663;119
664;115
664;114
665;37
666;93
666;92
667;125
668;13
669;81
670;114
670;115
671;89
672;70
673;119
674;9
675;9
676;4
676;5
677;132
677;133
678;26
679;129
679;128
680;136
681;113
682;118
682;117
682;116
683;67
683;68
683;69
684;26
685;13
686;74
686;75
687;23
687;24
688;71
689;26
690;78
690;79
691;131
692;115
693;126
694;73
695;48
695;49
695;50
696;63
697;63
698;74
698;75
699;16
700;92
700;93
701;13
702;20
703;132
703;133
703;134
704;80
705;19
706;17
706;16
706;15
707;23
707;24
708;32
709;81
710;65
710;66
711;15
711;16
712;72
712;71
712;70
713;91
714;35
715;37
716;16
717;35
718;128
719;95
720;77
720;79
720;78
721;133
721;132
721;134
722;50
723;81
724;127
725;80
726;92
726;93
727;97
728;85
728;86
729;63
730;34
730;33
731;82
732;47
733;132
733;134
734;84
734;83
734;82
735;61
736;5
736;4
737;33
737;34
738;87
739;98
740;14
741;54
742;4
742;5
743;119
744;52
744;51
744;53
745;55
746;114
746;115
747;97
747;96
747;95
748;81
749;102
750;41
751;36
752;119
753;56
753;57
754;114
754;115
755;107
755;108
756;49
756;48
756;50
757;73
758;40
758;39
759;81
760;110
761;82
761;83
762;69
763;100
764;89
765;116
765;118
766;3
767;77
767;78
768;56
769;63
770;77
770;79
770;78
771;50
771;49
771;48
772;106
772;105
773;104
773;106
773;105
774;66
774;65
775;73
776;62
777;130
777;131
778;102
778;101
778;103
779;59
780;39
781;126
782;35
783;127
784;56
784;57
785;37
786;135
787;25
788;69
789;61
789;62
790;4
790;5
791;95
791;97
791;96
792;64
793;121
793;122
793;120
794;28
795;127
796;124
797;57
797;56
798;15
798;16
799;29
800;59
801;52
801;51
801;53
802;99
803;19
804;53
804;52
805;63
806;115
807;46
807;45
807;47
808;93
809;4
810;100
811;55
812;37
813;7
813;6
814;19
815;36
816;63
817;22
818;45
818;46
819;120
819;121
819;122
820;130
821;129
822;135
823;104
824;28
825;123
826;73
827;90
828;81
829;25
830;125
831;31
