IdHotelu;Nazwa;Adres;StandardHotelu;ZakresWyzywienia;LiczbaPokoi2;LiczbaPokoi3;LiczbaPokoi4;Udogodnienia
1;Hotel_1;Ul. Przykładowa 161, MiastoA;4;półpension;50;23;2;brak
2;Hotel_2;Ul. Przykładowa 150, MiastoC;3;półpension;97;2;6;"wifi;parking"
3;Hotel_3;Ul. Przykładowa 83, MiastoA;4;śniadania;70;22;13;"basen;wifi"
4;Hotel_4;Ul. Przykładowa 2, MiastoC;5;półpension;41;3;13;"basen;wifi"
5;Hotel_5;Ul. Przykładowa 175, MiastoC;3;bez wyżywienia;34;30;10;"basen;wifi"
6;Hotel_6;Ul. Przykładowa 60, MiastoA;5;półpension;99;25;5;"wifi;parking"
7;Hotel_7;Ul. Przykładowa 151, MiastoB;4;półpension;10;5;9;"basen;wifi"
8;Hotel_8;Ul. Przykładowa 39, MiastoA;3;pełne wyżywienie;25;12;10;"basen;wifi"
9;Hotel_9;Ul. Przykładowa 13, MiastoA;5;śniadania;54;25;5;"basen;wifi"
10;Hotel_10;Ul. Przykładowa 198, MiastoC;3;śniadania;66;19;1;"basen;wifi"
