IdWycieczki;IdHotelu
1;2
1;7
1;5
2;3
2;9
3;4
3;3
3;2
4;3
4;5
5;2
6;6
6;7
6;5
7;6
8;5
8;1
9;10
9;7
10;7
10;8
11;8
12;4
12;1
13;3
13;9
14;4
15;10
16;4
16;3
16;9
17;1
18;3
19;1
20;2
20;9
21;1
21;8
22;10
22;4
22;6
23;2
23;1
23;9
24;7
24;2
24;5
25;2
25;10
26;3
26;8
27;8
27;3
28;9
28;7
28;4
29;3
29;7
30;6
30;4
30;7
31;8
32;2
32;8
33;2
33;5
34;9
35;1
36;7
37;6
37;9
37;8
38;3
38;4
38;5
39;1
39;3
40;3
41;4
41;2
42;7
43;1
43;4
43;8
44;9
44;6
45;7
45;10
45;5
46;1
46;3
47;2
47;6
47;8
48;5
49;8
50;9
50;2
50;8
