IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Grecja;Saloniki;1938;tematyczna;
2;Grecja;Saloniki;2472;objazdowa;
3;Kanada;Montreal;1594;city break;
4;Egipt;Kair;1291;tematyczna;
5;Kanada;Toronto;1168;city break;
6;Norwegia;Bergen;664;tematyczna;
7;Francja;Paryż;1293;objazdowa;
8;Japonia;Tokio;381;objazdowa;
9;Chorwacja;Split;1144;objazdowa;
10;Australia;Sydney;795;objazdowa;
11;Grecja;Saloniki;1433;tematyczna;
12;Islandia;Akureyri;1438;city break;
13;Polska;Kraków;794;wypoczynkowa;
14;Polska;Gdańsk;1313;wypoczynkowa;
15;Austria;Wiedeń;1397;tematyczna;
16;Grecja;Ateny;2494;tematyczna;
17;Niemcy;Hamburg;992;objazdowa;
18;Tunezja;Hammamet;351;city break;
19;Turcja;Stambuł;990;wypoczynkowa;
20;Maroko;Marrakesz;322;tematyczna;
21;Niemcy;Berlin;1212;city break;
22;Hiszpania;Walencja;1159;tematyczna;
23;Niemcy;Monachium;1212;city break;
24;Włochy;Mediolan;2111;city break;
25;Portugalia;Porto;2027;objazdowa;
26;Kanada;Montreal;2478;wypoczynkowa;
27;Indie;Delhi;986;city break;
28;Niemcy;Monachium;1106;wypoczynkowa;
29;Turcja;Antalya;1888;objazdowa;
30;Holandia;Amsterdam;1776;wypoczynkowa;
31;Grecja;Ateny;1516;objazdowa;
32;Wielka Brytania;Manchester;752;tematyczna;
33;Austria;Salzburg;2036;objazdowa;
34;Polska;Gdańsk;1969;tematyczna;
35;Bułgaria;Burgas;339;wypoczynkowa;
36;Belgia;Bruksela;1828;tematyczna;
37;Australia;Sydney;354;wypoczynkowa;
38;Szwecja;Sztokholm;2201;city break;
39;Tunezja;Hammamet;1340;objazdowa;
40;Irlandia;Cork;890;wypoczynkowa;
41;Norwegia;Bergen;1802;tematyczna;
42;Austria;Wiedeń;1893;wypoczynkowa;
43;Wielka Brytania;Manchester;511;objazdowa;
44;Indie;Mumbaj;1624;wypoczynkowa;
45;Chorwacja;Dubrownik;1448;city break;
46;Czechy;Ostrawa;1389;city break;
47;Niemcy;Hamburg;1853;tematyczna;
48;Portugalia;Lizbona;1183;wypoczynkowa;
49;Chorwacja;Split;533;objazdowa;
50;Chiny;Pekin;1448;city break;
51;Portugalia;Porto;1721;objazdowa;
52;Holandia;Rotterdam;1246;tematyczna;
53;Szwecja;Gothenburg;304;wypoczynkowa;
54;Dania;Kopenhaga;923;tematyczna;
55;Szwecja;Gothenburg;1470;objazdowa;
56;Wielka Brytania;Manchester;712;objazdowa;
57;USA;Miami;2342;objazdowa;
58;Tunezja;Hammamet;2283;wypoczynkowa;
59;Norwegia;Bergen;2114;tematyczna;
60;Irlandia;Cork;1205;tematyczna;
61;Japonia;Tokio;961;wypoczynkowa;
62;Szwajcaria;Genewa;1568;tematyczna;
