IdAtrakcji;Nazwa;Typ
1;Atrakcja_1;pokaz
2;Atrakcja_2;wycieczka
3;Atrakcja_3;wycieczka
4;Atrakcja_4;wystawa
5;Atrakcja_5;warsztaty
6;Atrakcja_6;inne
7;Atrakcja_7;degustacja
8;Atrakcja_8;degustacja
9;Atrakcja_9;koncert
10;Atrakcja_10;zwiedzanie
11;Atrakcja_11;wycieczka
12;Atrakcja_12;zwiedzanie
13;Atrakcja_13;koncert
14;Atrakcja_14;koncert
15;Atrakcja_15;warsztaty
16;Atrakcja_16;wycieczka
17;Atrakcja_17;wystawa
18;Atrakcja_18;degustacja
19;Atrakcja_19;wystawa
20;Atrakcja_20;wystawa
21;Atrakcja_21;warsztaty
22;Atrakcja_22;koncert
23;Atrakcja_23;zwiedzanie
24;Atrakcja_24;koncert
25;Atrakcja_25;warsztaty
26;Atrakcja_26;wycieczka
27;Atrakcja_27;degustacja
28;Atrakcja_28;koncert
29;Atrakcja_29;wycieczka
30;Atrakcja_30;warsztaty
31;Atrakcja_31;inne
32;Atrakcja_32;warsztaty
33;Atrakcja_33;warsztaty
34;Atrakcja_34;wystawa
35;Atrakcja_35;zwiedzanie
36;Atrakcja_36;zwiedzanie
37;Atrakcja_37;wystawa
38;Atrakcja_38;degustacja
39;Atrakcja_39;wystawa
40;Atrakcja_40;pokaz
41;Atrakcja_41;inne
42;Atrakcja_42;inne
43;Atrakcja_43;inne
44;Atrakcja_44;zwiedzanie
45;Atrakcja_45;pokaz
46;Atrakcja_46;inne
47;Atrakcja_47;koncert
48;Atrakcja_48;wystawa
49;Atrakcja_49;inne
50;Atrakcja_50;koncert
51;Atrakcja_51;degustacja
52;Atrakcja_52;wystawa
53;Atrakcja_53;koncert
54;Atrakcja_54;zwiedzanie
55;Atrakcja_55;zwiedzanie
56;Atrakcja_56;wystawa
57;Atrakcja_57;wystawa
58;Atrakcja_58;pokaz
59;Atrakcja_59;degustacja
60;Atrakcja_60;pokaz
61;Atrakcja_61;wycieczka
62;Atrakcja_62;pokaz
63;Atrakcja_63;wycieczka
64;Atrakcja_64;inne
65;Atrakcja_65;warsztaty
66;Atrakcja_66;zwiedzanie
67;Atrakcja_67;degustacja
68;Atrakcja_68;wycieczka
69;Atrakcja_69;degustacja
70;Atrakcja_70;zwiedzanie
71;Atrakcja_71;wycieczka
72;Atrakcja_72;koncert
73;Atrakcja_73;koncert
74;Atrakcja_74;wycieczka
75;Atrakcja_75;pokaz
76;Atrakcja_76;degustacja
77;Atrakcja_77;koncert
78;Atrakcja_78;wycieczka
79;Atrakcja_79;wystawa
80;Atrakcja_80;pokaz
81;Atrakcja_81;inne
82;Atrakcja_82;pokaz
83;Atrakcja_83;inne
84;Atrakcja_84;wystawa
85;Atrakcja_85;warsztaty
86;Atrakcja_86;degustacja
87;Atrakcja_87;koncert
88;Atrakcja_88;wycieczka
89;Atrakcja_89;degustacja
90;Atrakcja_90;degustacja
91;Atrakcja_91;degustacja
92;Atrakcja_92;inne
93;Atrakcja_93;zwiedzanie
94;Atrakcja_94;warsztaty
95;Atrakcja_95;inne
96;Atrakcja_96;warsztaty
97;Atrakcja_97;koncert
98;Atrakcja_98;zwiedzanie
99;Atrakcja_99;degustacja
100;Atrakcja_100;degustacja
101;Atrakcja_101;pokaz
102;Atrakcja_102;koncert
103;Atrakcja_103;inne
104;Atrakcja_104;koncert
105;Atrakcja_105;koncert
106;Atrakcja_106;inne
107;Atrakcja_107;degustacja
108;Atrakcja_108;warsztaty
109;Atrakcja_109;pokaz
110;Atrakcja_110;wycieczka
111;Atrakcja_111;zwiedzanie
112;Atrakcja_112;wystawa
113;Atrakcja_113;inne
114;Atrakcja_114;degustacja
115;Atrakcja_115;wycieczka
116;Atrakcja_116;wycieczka
117;Atrakcja_117;wystawa
118;Atrakcja_118;zwiedzanie
119;Atrakcja_119;zwiedzanie
120;Atrakcja_120;wystawa
121;Atrakcja_121;warsztaty
122;Atrakcja_122;warsztaty
123;Atrakcja_123;warsztaty
124;Atrakcja_124;warsztaty
125;Atrakcja_125;wycieczka
126;Atrakcja_126;warsztaty
127;Atrakcja_127;koncert
128;Atrakcja_128;wystawa
