IdWycieczki;IdAtrakcji
1;32
1;4
3;111
4;43
4;97
4;45
6;2
6;41
7;64
9;118
9;96
9;79
10;25
10;53
10;69
11;14
11;105
12;64
12;121
13;55
13;29
13;92
14;88
15;84
16;95
16;10
16;72
19;66
20;53
20;19
21;66
21;76
23;118
23;55
23;51
24;29
24;36
24;46
25;5
25;17
26;70
27;118
27;111
27;7
29;49
29;115
30;121
31;82
31;113
32;39
33;8
34;64
34;120
35;24
35;114
36;63
36;55
37;66
37;68
38;107
38;50
38;15
40;105
40;90
42;115
42;56
42;27
43;48
43;80
43;76
44;63
45;92
46;85
46;90
46;58
47;53
47;71
48;102
50;124
51;116
51;67
52;121
52;49
52;26
54;104
55;44
55;48
55;97
56;49
57;49
57;35
57;112
58;125
59;85
61;122
61;54
61;56
62;121
62;63
63;72
63;123
63;62
64;94
64;127
64;13
65;48
65;85
65;99
66;114
67;33
67;62
67;103
68;128
69;70
70;27
70;119
71;38
71;26
72;89
75;83
75;97
75;106
77;26
77;127
77;75
78;60
78;61
78;57
79;124
80;41
80;57
80;91
81;58
81;53
81;47
82;96
82;21
82;9
83;19
83;101
83;70
84;2
84;9
86;90
86;49
86;88
87;34
89;9
89;106
90;80
90;75
91;31
91;77
94;38
94;13
94;4
96;122
96;85
96;99
97;4
97;56
100;68
101;8
101;36
101;24
102;94
102;72
102;5
103;60
103;44
103;28
104;105
106;17
108;98
109;112
109;108
109;34
110;58
110;76
110;15
111;95
112;114
112;89
112;7
113;14
113;50
115;117
116;121
116;59
117;5
117;4
119;86
119;51
119;81
120;121
120;99
122;25
122;81
122;98
123;66
123;104
123;52
124;65
124;4
125;59
125;71
125;6
128;15
128;2
128;95
129;104
130;72
130;83
132;61
132;113
132;75
133;12
133;9
133;16
134;90
134;109
135;28
135;44
136;96
138;22
139;78
139;99
139;45
141;5
141;118
142;20
142;33
144;71
144;55
144;80
146;49
146;80
146;110
147;64
148;69
149;17
150;40
150;20
150;94
151;103
153;37
154;30
154;17
155;25
157;119
157;125
157;48
158;85
158;49
158;47
159;6
160;67
161;9
161;56
162;123
162;107
162;117
164;57
166;43
166;112
167;121
167;56
169;113
169;50
170;74
171;1
172;101
172;88
172;61
174;66
174;100
175;81
175;113
175;31
176;82
176;89
176;91
177;100
177;76
179;53
179;122
179;72
180;49
181;10
181;77
181;78
183;94
183;77
183;11
184;128
184;14
184;4
185;95
185;99
185;43
186;83
186;22
186;21
187;76
187;119
188;1
188;70
189;36
189;34
189;112
190;128
190;108
191;80
191;104
192;60
192;75
192;70
193;67
194;43
194;87
195;28
195;95
195;12
196;111
197;56
197;106
197;112
198;2
198;111
199;49
199;45
199;98
202;77
202;71
202;76
203;1
203;51
203;57
206;36
207;47
207;101
207;44
210;13
214;8
214;69
216;110
217;57
217;101
223;74
223;65
224;52
226;7
226;18
226;97
227;75
227;77
228;99
228;125
228;102
229;71
230;104
230;50
232;115
232;122
232;25
234;24
234;128
234;43
237;29
237;57
237;18
239;122
240;97
244;35
244;43
244;69
245;57
246;13
248;17
248;52
248;19
250;55
250;90
250;85
252;34
254;123
255;34
255;123
255;101
256;116
256;91
257;21
258;34
259;17
260;57
260;18
262;95
262;64
262;25
263;57
264;106
264;34
264;20
265;98
266;92
266;121
266;111
267;83
267;20
268;22
268;9
270;24
270;80
272;11
273;46
273;106
273;16
274;30
274;114
275;3
275;121
275;4
276;42
276;106
276;112
277;32
277;112
279;29
280;121
280;42
281;33
283;128
283;80
284;6
284;69
285;36
285;27
286;101
287;44
290;119
291;4
291;87
291;110
292;39
293;97
293;25
293;35
294;21
294;17
294;62
295;78
297;102
298;57
298;40
298;73
299;24
299;107
299;16
300;9
300;54
300;114
301;51
301;110
302;87
305;36
305;37
305;127
306;37
306;17
307;66
307;74
307;80
308;99
308;15
308;41
309;64
309;128
309;26
311;67
313;89
313;2
314;12
314;3
315;95
315;121
317;16
317;20
318;6
318;70
319;67
319;10
319;71
320;43
321;111
322;72
322;126
322;66
323;38
323;72
324;78
324;56
324;75
325;24
325;57
325;21
326;59
326;26
326;118
327;39
327;46
327;117
329;89
329;121
329;1
330;22
330;7
331;25
332;11
332;34
334;82
335;10
336;73
336;16
337;47
337;1
339;45
341;62
341;98
342;41
342;56
342;68
343;58
343;60
343;89
344;121
344;71
345;20
345;72
345;13
346;83
346;26
347;117
348;39
348;111
348;89
349;23
349;117
349;33
350;17
350;51
350;61
351;7
351;127
351;53
352;120
353;69
353;43
353;6
354;82
354;107
354;39
355;81
355;85
356;22
356;29
357;56
358;80
359;94
359;47
362;112
363;126
363;118
365;86
367;117
367;26
367;119
368;74
368;105
368;120
369;104
370;43
370;95
370;58
371;42
371;85
371;68
372;67
372;76
372;47
373;43
373;39
373;118
374;5
374;124
375;113
377;49
378;39
378;35
378;65
379;5
380;38
380;20
380;21
381;36
381;101
383;127
383;6
384;101
384;118
385;44
385;29
385;31
389;13
389;43
389;95
390;117
390;48
391;39
395;75
395;118
395;37
396;75
397;39
397;61
399;122
400;40
400;125
400;32
402;27
402;8
405;69
405;16
407;109
407;48
409;112
409;43
409;64
410;33
410;93
412;123
412;53
413;32
413;104
413;43
414;59
414;110
415;19
415;32
415;90
416;31
416;88
417;9
417;51
417;123
418;85
419;53
420;98
420;72
420;94
421;15
421;36
423;111
423;43
424;121
424;69
425;13
425;107
425;91
427;42
427;58
427;24
429;32
430;91
430;49
431;89
431;77
431;123
432;107
432;67
433;116
434;11
434;105
434;62
435;66
436;80
438;123
438;33
438;43
440;114
441;13
441;39
442;41
442;13
443;22
444;101
444;34
444;124
445;95
445;122
446;89
446;98
446;72
447;116
448;65
448;18
448;69
449;39
449;124
449;23
450;86
450;77
452;111
453;102
453;93
453;81
454;106
454;123
455;79
455;29
456;50
456;37
457;97
457;34
457;56
460;82
460;15
461;27
463;78
464;10
466;2
466;119
467;99
468;39
468;88
468;9
469;30
469;71
469;23
471;80
472;40
472;71
473;89
475;85
475;14
475;83
477;90
478;78
478;88
480;25
480;6
480;39
481;12
481;81
482;24
482;15
483;18
483;17
483;121
485;69
486;90
486;97
487;74
487;18
487;7
488;64
489;123
489;67
491;91
491;127
493;113
493;30
493;85
494;31
494;32
494;101
496;105
496;86
498;13
498;104
498;14
500;61
500;80
501;104
501;86
501;27
502;79
502;16
502;51
503;112
503;123
503;89
504;24
504;11
504;22
505;8
505;114
505;98
506;97
506;10
507;75
508;1
508;103
508;87
509;96
510;76
511;43
511;85
514;74
514;5
514;52
515;16
515;77
515;40
516;55
516;122
516;19
517;19
517;50
520;114
520;100
521;108
522;51
523;110
523;89
523;78
524;59
524;41
526;3
527;41
527;100
528;124
528;84
528;30
529;8
530;78
