IdWycieczki;IdHotelu
1;181
1;180
2;124
2;125
3;203
3;202
4;107
4;109
4;110
5;196
5;195
6;130
6;129
7;180
7;181
8;47
8;44
9;52
9;51
9;50
10;203
11;48
12;112
13;130
13;129
14;51
14;50
14;52
15;136
16;118
17;185
18;192
19;100
20;54
21;49
22;58
22;60
22;59
23;196
24;139
25;1
26;160
26;161
26;162
27;147
28;196
29;212
30;2
30;1
31;9
31;10
31;7
32;164
32;165
33;85
34;144
34;141
35;85
35;86
36;129
36;130
37;125
37;124
38;147
38;148
39;223
39;225
39;226
40;15
40;12
41;117
41;118
42;40
43;206
43;207
43;210
44;28
45;201
45;202
46;18
47;72
47;70
48;10
48;9
49;56
50;228
51;51
51;52
51;50
52;167
52;166
53;91
53;93
53;92
54;156
55;124
56;195
57;76
57;75
58;118
59;131
59;132
59;133
60;162
60;161
61;25
62;184
62;182
62;185
63;217
63;216
64;89
64;90
65;3
65;5
65;6
66;89
67;44
68;8
68;10
68;7
69;89
70;70
70;71
71;183
71;184
71;182
72;165
72;163
72;164
73;109
73;107
73;108
74;217
74;216
75;53
75;56
76;40
76;41
76;43
77;130
78;45
79;116
80;180
81;41
82;154
82;152
83;102
84;169
85;12
85;15
85;14
86;15
86;13
86;14
87;121
87;120
87;119
88;217
89;113
89;114
90;108
90;110
91;90
91;89
92;31
92;27
93;174
94;184
94;182
94;185
95;26
96;115
97;212
98;55
99;218
99;219
100;55
100;54
101;72
101;70
101;71
102;109
102;107
102;108
103;147
103;148
104;18
104;17
104;19
105;201
105;203
105;202
106;206
106;208
106;207
107;165
107;163
107;166
108;205
108;204
109;49
110;91
110;93
111;38
112;67
113;147
113;148
114;136
115;59
116;219
116;218
117;124
117;125
118;155
119;223
119;225
119;224
120;217
120;216
121;1
122;107
122;109
122;110
123;97
123;96
123;99
124;195
125;181
126;192
127;91
127;94
127;95
128;150
129;179
129;175
129;176
130;82
131;158
131;157
132;1
133;155
133;151
133;154
134;144
134;141
135;8
135;10
135;7
136;133
137;84
137;86
138;180
138;181
139;59
140;180
140;181
141;101
142;134
143;178
144;30
145;15
145;13
145;14
146;145
146;146
147;195
147;196
148;109
148;107
149;82
150;145
151;225
151;224
152;210
153;191
153;192
154;194
155;204
155;205
156;199
156;200
156;197
157;3
157;6
158;91
159;166
159;163
160;109
160;107
161;198
162;158
162;159
163;36
163;33
163;34
164;167
164;163
165;198
166;49
166;48
167;214
167;213
168;117
168;118
169;25
170;83
170;82
170;81
171;86
171;85
172;155
172;152
173;101
173;102
173;103
174;157
174;159
175;92
175;91
176;211
177;106
178;189
179;131
179;133
180;135
181;148
181;147
182;101
183;65
183;62
184;113
184;114
185;107
186;147
187;64
188;75
188;77
188;74
189;161
189;162
189;160
190;145
191;109
191;108
191;111
192;16
193;49
193;48
194;60
194;59
195;90
195;89
196;160
197;79
198;217
198;216
199;216
200;92
200;94
200;95
201;86
201;84
201;85
202;143
202;141
203;71
204;183
204;182
205;141
206;165
206;167
206;163
207;200
207;197
207;199
208;132
208;131
208;133
209;87
209;88
210;203
210;202
210;201
211;174
211;173
211;170
212;201
212;203
212;202
213;66
213;67
213;68
214;155
214;151
215;86
216;218
217;122
217;123
218;168
219;137
219;139
220;129
220;130
221;181
222;52
223;7
223;11
224;221
225;220
225;222
226;33
226;35
227;127
227;126
227;128
228;50
229;57
230;227
230;229
231;141
231;144
232;180
232;181
233;76
233;77
233;74
234;133
234;131
235;221
235;220
236;51
237;52
237;51
238;180
239;158
240;175
240;178
241;129
241;130
242;15
243;193
243;192
243;194
244;67
244;69
244;66
245;184
246;51
246;50
247;219
248;223
248;225
248;224
249;228
250;110
251;49
252;84
252;86
253;153
253;152
253;154
254;140
255;145
256;78
256;80
256;79
257;36
257;32
258;83
258;81
259;6
259;5
259;4
260;59
261;181
261;180
262;207
262;210
263;81
263;82
264;144
265;88
265;87
266;49
266;48
267;40
268;112
268;114
269;227
270;77
270;76
271;91
271;95
272;182
272;184
272;185
273;120
274;153
275;214
275;215
275;213
276;129
277;109
278;42
279;205
279;204
280;63
280;64
281;117
281;118
282;86
282;84
283;55
283;53
283;54
284;69
284;66
284;67
285;197
285;199
285;198
286;58
287;89
288;125
289;133
290;125
291;41
291;43
292;173
292;174
293;151
293;154
293;155
294;130
295;214
295;213
296;191
296;192
296;193
297;104
297;105
298;187
298;189
299;173
299;170
300;145
300;146
301;171
302;26
303;28
304;220
305;156
305;157
306;196
306;195
307;97
307;98
307;100
308;17
308;16
309;96
309;100
309;99
310;195
311;135
311;134
312;8
312;11
312;9
313;103
314;89
315;226
316;135
316;134
317;148
318;69
319;226
319;224
320;217
321;70
321;72
321;71
322;89
323;165
324;102
324;101
325;190
325;186
325;188
326;216
327;131
328;203
329;61
329;62
329;64
330;169
331;205
331;204
332;226
333;218
334;124
334;125
335;150
336;74
336;75
337;229
337;227
337;228
338;113
338;112
338;114
339;115
339;116
340;165
340;166
340;167
341;45
342;130
342;129
343;66
344;92
345;101
345;103
345;102
346;67
347;211
347;212
348;184
349;146
350;211
350;212
351;132
352;71
352;72
353;105
353;106
353;104
354;87
355;137
356;181
357;198
358;56
358;55
358;53
359;207
359;210
359;209
360;18
360;16
361;116
361;115
362;192
362;193
362;194
363;148
363;147
364;89
364;90
365;104
365;106
366;52
366;51
367;3
368;126
368;127
369;129
369;130
370;129
371;124
372;114
373;48
373;49
374;136
374;140
375;205
376;206
377;6
377;5
377;4
378;81
378;82
378;83
379;25
380;78
380;79
381;205
381;204
382;131
383;203
383;202
384;56
384;54
385;141
386;206
386;210
387;194
387;192
388;152
388;155
389;108
390;18
390;16
390;19
391;194
392;134
392;135
393;172
393;174
394;175
394;179
395;220
395;221
396;79
396;80
396;78
397;111
397;110
398;83
399;176
399;177
399;175
400;24
400;22
401;67
401;69
402;51
402;50
402;52
403;98
403;100
403;96
404;132
404;131
405;175
405;178
405;177
406;120
407;88
408;90
408;89
409;16
410;91
410;93
411;32
411;36
412;24
412;22
413;155
413;152
413;151
414;68
415;34
416;177
417;40
417;43
417;42
418;95
419;116
420;87
421;72
422;180
423;206
423;210
424;58
424;60
425;143
426;139
426;136
427;102
427;103
428;130
429;111
430;66
430;69
430;67
431;190
431;189
431;188
432;121
432;123
432;119
433;226
433;224
434;89
435;124
436;145
437;13
437;12
437;15
438;52
439;180
439;181
440;176
440;178
441;153
442;137
443;157
444;103
444;101
445;11
445;8
446;229
446;228
447;191
448;60
448;58
448;59
449;181
450;62
450;63
450;61
451;205
452;130
452;129
453;220
454;136
454;137
454;140
455;196
456;132
457;72
457;70
457;71
458;130
458;129
459;68
459;67
460;108
460;110
461;132
461;131
462;212
462;211
463;169
464;12
464;15
465;207
466;71
466;70
467;206
467;210
467;208
468;10
469;90
470;165
470;167
470;163
471;112
471;113
471;114
472;225
472;223
472;224
473;212
473;211
474;156
474;158
474;157
475;125
475;124
476;75
477;61
478;219
478;218
479;170
479;172
479;173
480;60
480;58
481;69
482;26
483;1
483;2
484;41
485;195
485;196
486;180
486;181
487;125
488;227
488;229
488;228
489;152
490;204
491;42
491;43
492;135
492;134
493;105
493;106
494;58
494;60
494;59
495;176
496;193
496;194
497;132
498;114
498;113
499;195
500;210
501;113
501;112
502;87
503;183
504;99
504;97
504;100
505;14
505;12
505;13
506;67
506;68
506;66
507;95
507;94
508;181
508;180
509;214
509;215
509;213
510;160
511;58
512;212
513;204
513;205
514;190
514;189
514;186
515;207
515;209
515;206
516;227
516;229
516;228
517;212
517;211
518;150
518;149
519;112
520;39
520;37
521;139
521;137
521;136
522;193
522;191
522;192
523;168
524;160
524;161
525;156
525;159
525;158
526;195
526;196
527;211
527;212
528;223
529;138
530;131
530;133
530;132
531;7
532;155
532;153
532;151
533;196
534;134
535;215
535;214
536;213
536;214
536;215
537;216
537;217
538;71
538;72
539;97
539;99
539;98
540;26
541;177
542;202
543;151
543;154
544;88
545;117
545;118
546;29
546;30
546;28
547;52
547;50
548;65
549;60
549;59
549;58
550;226
551;65
551;64
551;62
552;212
552;211
553;57
553;56
553;54
554;97
554;98
554;100
555;161
555;160
556;61
557;55
557;57
558;31
559;207
559;210
560;51
560;50
561;130
562;105
562;106
562;104
563;131
564;196
565;79
565;80
566;2
567;149
567;150
568;178
568;176
569;181
569;180
570;51
570;52
571;58
572;66
572;69
573;125
574;172
574;174
574;171
575;106
575;104
575;105
576;136
576;138
577;128
577;126
577;127
578;19
578;17
578;16
579;70
580;135
580;134
581;125
581;124
582;211
582;212
583;44
583;45
583;46
584;127
585;214
586;40
587;212
588;43
588;42
589;89
590;195
591;118
592;2
593;91
593;93
593;94
594;157
594;158
595;175
595;177
595;178
596;147
596;148
597;43
598;204
598;205
599;128
599;127
600;116
600;115
601;122
602;156
602;158
602;159
603;114
603;113
603;112
604;53
605;86
605;85
606;173
606;170
607;135
608;214
608;213
608;215
609;213
609;215
609;214
610;192
611;29
612;162
612;160
613;227
613;229
614;83
614;82
615;32
616;102
616;103
616;101
617;104
618;118
619;183
619;182
620;21
620;22
621;168
621;169
622;195
623;48
623;49
624;177
625;172
626;74
627;61
627;62
627;63
628;40
628;41
628;42
629;204
630;132
631;12
631;13
631;15
632;222
632;221
633;95
634;214
635;125
636;50
637;135
638;166
639;196
640;62
640;64
640;63
641;218
642;102
642;103
643;57
643;56
644;48
644;49
645;217
645;216
646;184
647;218
647;219
648;37
648;39
649;36
649;35
650;159
651;179
651;176
652;2
652;1
653;134
653;135
654;71
654;72
654;70
655;142
655;141
656;123
656;120
656;121
657;68
657;67
657;66
658;126
658;128
658;127
659;68
659;69
659;66
660;60
661;16
661;19
662;142
662;144
662;141
663;48
663;49
664;146
664;145
665;130
665;129
666;127
666;126
667;135
668;131
668;132
669;177
670;146
670;145
671;118
672;35
673;216
673;217
674;196
674;195
675;135
675;134
676;37
676;38
677;162
677;160
677;161
678;67
678;66
678;68
679;68
679;69
680;97
680;96
680;98
681;191
682;57
682;56
682;55
683;104
683;106
683;105
684;162
684;161
684;160
685;32
685;34
685;35
686;190
687;58
688;209
688;206
688;208
689;210
690;2
690;1
691;18
691;17
691;19
692;195
692;196
693;54
694;51
694;52
695;169
695;168
696;90
696;89
697;5
698;192
698;193
699;180
699;181
700;116
700;115
701;217
702;62
703;174
703;172
703;173
704;132
704;133
705;159
705;156
706;62
707;33
707;32
707;36
708;33
709;49
710;65
711;90
712;171
712;170
713;12
714;145
715;114
716;30
717;94
718;58
719;197
720;194
720;191
720;192
721;76
721;77
722;154
722;155
722;151
723;208
723;209
723;206
724;24
724;21
724;22
725;136
725;140
725;139
726;194
726;193
726;192
727;147
727;148
728;123
728;122
728;120
729;198
729;200
729;199
730;13
730;14
731;13
731;14
731;15
732;5
732;6
732;3
733;222
733;220
733;221
734;52
734;51
735;216
736;228
736;229
737;190
737;188
738;196
738;195
739;117
740;51
740;52
741;24
741;23
741;20
742;126
742;128
743;45
743;44
744;122
744;119
744;121
745;50
745;52
745;51
746;132
746;131
746;133
747;219
747;218
748;193
749;211
749;212
750;124
750;125
751;90
752;113
753;112
753;113
753;114
754;126
754;127
755;30
755;28
755;27
756;153
756;154
757;21
758;42
759;221
759;222
759;220
760;135
760;134
761;39
761;38
762;31
763;44
763;45
764;60
764;58
765;136
766;116
767;28
767;30
767;31
768;123
768;120
769;150
769;149
770;67
770;66
770;68
771;73
771;77
771;75
772;28
772;30
773;66
773;68
773;69
774;217
775;160
775;161
775;162
776;131
776;133
777;220
777;221
778;90
779;140
779;139
780;214
780;215
781;134
782;152
782;153
782;151
783;162
784;145
785;113
785;114
785;112
786;62
786;64
787;142
787;144
787;143
788;88
789;222
789;220
789;221
790;143
790;142
790;141
791;111
792;4
792;6
793;62
793;65
794;145
795;166
795;165
796;26
796;25
797;98
797;100
797;99
798;6
798;4
799;198
799;200
800;93
801;97
801;98
802;192
802;193
803;160
804;136
804;139
805;170
805;173
805;174
806;81
806;83
807;72
808;197
808;199
809;103
809;101
810;192
810;191
811;180
812;90
812;89
813;125
814;78
815;138
815;137
816;182
816;183
816;184
817;142
817;141
818;118
819;169
820;148
820;147
821;195
822;2
823;132
823;131
824;102
824;103
824;101
825;114
826;133
826;131
826;132
827;90
827;89
828;175
828;179
829;178
830;116
830;115
831;124
832;107
833;218
833;219
834;173
834;171
834;174
835;106
835;104
835;105
836;78
836;79
837;212
837;211
838;66
838;67
838;69
839;214
840;103
840;102
841;75
842;225
842;224
843;48
844;118
845;107
846;4
846;3
847;160
847;162
847;161
848;116
849;201
850;54
850;57
851;213
852;205
853;103
854;29
854;31
855;56
855;54
855;53
856;104
856;106
856;105
857;92
857;95
858;169
858;168
859;37
860;95
860;93
861;112
861;113
862;194
863;87
864;155
864;151
865;5
866;169
867;100
867;99
868;75
869;7
870;39
870;37
871;70
871;71
872;113
872;112
873;45
873;46
873;47
874;88
874;87
875;202
876;218
877;216
877;217
878;223
879;177
879;175
880;56
880;55
881;204
882;125
883;148
883;147
884;140
884;136
885;49
886;210
886;207
886;208
887;59
887;58
888;180
888;181
889;135
889;134
890;42
890;41
891;51
892;167
893;7
893;9
894;209
894;206
894;207
895;141
895;144
896;136
896;139
896;137
897;92
898;219
898;218
899;117
900;70
901;203
901;201
902;85
902;86
902;84
903;71
903;72
903;70
904;38
904;37
905;105
906;189
906;187
906;190
907;87
907;88
908;97
909;177
910;87
911;118
911;117
912;227
912;229
913;63
913;64
914;41
914;43
915;76
915;73
916;127
916;126
916;128
917;56
917;57
917;54
918;81
918;83
919;71
919;72
920;222
920;220
921;192
921;191
921;194
922;19
923;45
923;46
924;212
925;151
925;154
925;153
926;154
927;11
927;9
928;197
928;199
929;74
929;76
929;75
930;32
930;35
931;75
932;118
933;84
933;85
934;81
935;136
936;175
936;179
937;89
937;90
938;2
938;1
939;181
940;125
940;124
941;95
941;91
941;92
942;211
942;212
943;116
943;115
944;55
944;57
944;53
945;24
945;21
946;118
947;103
947;102
947;101
948;182
948;183
949;59
949;60
950;117
951;101
951;102
951;103
952;38
952;37
952;39
953;141
953;144
954;58
954;60
955;194
956;68
957;48
958;149
959;195
960;205
961;102
961;101
961;103
962;190
962;186
963;195
963;196
964;101
964;103
965;211
