IdTerminu;DataWyjazdu;DlugoscPobytu;IloscMiejsc;IdWycieczki
1;2026-10-09;3;37;1
2;2026-02-19;21;49;1
3;2026-10-21;10;48;1
4;2026-07-05;18;44;2
5;2026-08-23;14;41;2
6;2026-08-05;21;37;2
7;2026-03-31;7;39;3
8;2026-04-07;3;19;3
9;2026-03-06;14;6;3
10;2026-01-17;14;29;4
11;2026-07-04;10;36;4
12;2026-03-01;3;13;4
13;2026-07-11;18;35;5
14;2026-04-02;18;23;5
15;2026-08-30;18;19;5
16;2026-03-29;3;31;6
17;2026-09-04;3;19;6
18;2026-02-14;14;34;6
19;2026-01-26;18;24;7
20;2026-10-30;3;34;7
21;2026-09-23;14;43;7
22;2026-03-28;18;36;8
23;2026-11-05;10;24;8
24;2026-04-05;14;6;8
25;2026-05-23;10;26;9
26;2026-03-10;18;50;9
27;2026-08-20;3;38;9
28;2026-03-04;3;38;10
29;2026-06-11;3;31;10
30;2026-05-17;3;10;10
31;2025-12-15;10;40;11
32;2026-02-13;18;18;11
33;2026-01-11;5;41;11
34;2026-10-07;3;7;12
35;2026-08-10;18;26;12
36;2026-03-15;5;42;12
37;2026-10-02;10;39;13
38;2026-05-21;18;28;13
39;2026-06-23;18;34;13
40;2026-03-20;7;37;14
41;2026-06-16;3;23;14
42;2026-08-29;21;5;14
43;2026-06-30;21;26;15
44;2026-07-21;5;48;15
45;2026-02-16;5;17;15
46;2026-07-10;3;50;16
47;2026-06-13;18;17;16
48;2026-11-10;3;7;16
49;2026-05-13;14;9;17
50;2026-07-05;3;48;17
51;2026-09-28;21;48;17
52;2026-07-25;5;36;18
53;2026-01-19;3;30;18
54;2026-06-13;7;9;18
55;2026-01-19;21;14;19
56;2026-03-09;18;47;19
57;2026-01-23;21;17;19
58;2026-11-02;5;19;20
59;2026-05-24;21;44;20
60;2025-12-25;14;8;20
61;2026-03-06;7;30;21
62;2026-08-24;21;48;21
63;2026-03-12;5;47;21
64;2026-10-17;3;44;22
65;2026-10-29;14;36;22
66;2026-06-30;10;20;22
67;2026-06-29;5;39;23
68;2026-06-28;18;12;23
69;2026-04-09;21;7;23
70;2026-02-09;5;30;24
71;2026-03-31;14;9;24
72;2026-07-15;21;37;24
73;2026-01-05;21;7;25
74;2026-05-26;21;36;25
75;2026-11-21;21;40;25
76;2026-05-10;21;14;26
77;2026-10-04;18;41;26
78;2026-08-16;14;47;26
79;2026-02-10;18;27;27
80;2026-04-14;3;36;27
81;2026-01-27;21;27;27
82;2026-05-29;21;14;28
83;2025-12-14;10;45;28
84;2026-07-01;3;42;28
85;2026-02-01;3;41;29
86;2026-02-23;5;37;29
87;2026-10-19;3;38;29
88;2026-11-23;3;35;30
89;2026-01-03;3;19;30
90;2026-10-08;5;11;30
91;2026-07-21;21;25;31
92;2026-10-12;10;14;31
93;2026-02-08;10;27;31
94;2026-10-11;7;11;32
95;2026-11-17;10;10;32
96;2026-09-06;18;47;32
97;2026-08-08;3;36;33
98;2026-01-27;21;12;33
99;2026-09-01;10;44;33
100;2026-03-18;21;37;34
101;2026-09-10;18;26;34
102;2026-10-29;7;18;34
103;2026-04-01;5;35;35
104;2026-04-29;5;21;35
105;2026-01-30;7;32;35
106;2026-01-23;14;16;36
107;2026-05-11;3;8;36
108;2026-07-11;21;24;36
109;2026-08-01;3;50;37
110;2025-12-17;7;17;37
111;2026-10-01;3;36;37
112;2025-12-08;21;31;38
113;2026-10-04;5;25;38
114;2026-09-24;10;23;38
115;2026-01-22;10;41;39
116;2026-06-30;14;45;39
117;2026-09-18;7;15;39
118;2026-06-30;14;6;40
119;2026-04-09;21;42;40
120;2025-12-11;3;47;40
121;2026-06-05;21;46;41
122;2026-01-14;21;13;41
123;2026-11-23;14;29;41
124;2026-01-01;18;35;42
125;2026-11-03;21;25;42
126;2026-11-08;10;17;42
127;2026-11-20;18;15;43
128;2026-08-12;18;27;43
129;2026-08-03;5;33;43
130;2026-01-28;21;44;44
131;2026-01-08;18;9;44
132;2026-05-01;7;13;44
133;2026-06-05;5;34;45
134;2026-06-16;5;37;45
135;2025-12-20;5;9;45
136;2026-03-20;7;48;46
137;2026-02-01;5;6;46
138;2026-09-08;21;23;46
139;2026-10-26;5;48;47
140;2026-02-04;14;16;47
141;2026-08-04;3;46;47
142;2026-04-13;3;17;48
143;2026-02-23;10;18;48
144;2026-02-21;3;13;48
145;2026-05-05;3;16;49
146;2026-02-02;7;36;49
147;2026-07-07;21;33;49
148;2026-07-03;21;31;50
149;2026-10-21;18;35;50
150;2026-03-10;14;42;50
151;2026-05-15;18;42;51
152;2025-11-30;3;33;51
153;2026-05-23;7;15;51
154;2026-03-23;21;5;52
155;2026-09-11;14;30;52
156;2026-01-27;10;20;52
157;2026-02-08;5;23;53
158;2026-11-01;5;32;53
159;2026-06-26;7;31;53
160;2026-07-15;3;14;54
161;2026-08-31;3;19;54
162;2026-06-17;10;37;54
163;2026-06-19;21;45;55
164;2026-04-27;21;8;55
165;2025-12-29;7;31;55
166;2026-01-16;10;23;56
167;2026-03-09;10;36;56
168;2026-03-02;21;28;56
169;2026-09-10;21;32;57
170;2026-08-07;14;31;57
171;2026-01-03;10;33;57
172;2026-07-03;3;37;58
173;2025-12-04;3;19;58
174;2026-03-26;3;15;58
175;2026-01-06;7;25;59
176;2026-05-12;14;35;59
177;2025-12-18;7;36;59
178;2026-05-20;14;40;60
179;2026-11-08;3;28;60
180;2026-04-24;21;12;60
181;2026-05-01;14;15;61
182;2026-05-15;3;36;61
183;2026-09-24;5;24;61
184;2026-03-28;3;46;62
185;2026-02-08;18;47;62
186;2026-08-10;5;12;62
187;2026-07-25;21;36;63
188;2026-01-31;10;9;63
189;2025-12-26;3;44;63
190;2026-01-18;21;13;64
191;2026-04-04;14;25;64
192;2026-03-14;21;29;64
193;2026-08-26;14;25;65
194;2026-02-06;18;40;65
195;2026-05-04;18;17;65
196;2026-06-01;3;29;66
197;2026-04-05;18;12;66
198;2025-12-10;14;29;66
199;2026-11-06;7;31;67
200;2026-08-30;10;43;67
201;2026-05-19;7;49;67
202;2026-07-18;21;17;68
