IdWycieczki;Kraj;Miasto;Cena;Typ;IdPilota
1;Kanada;Montreal;1013;tematyczna;15
2;Szwecja;Gothenburg;1623;city break;76
3;Chiny;Szanghaj;1062;city break;82
4;Austria;Wiedeń;626;objazdowa;77
5;Japonia;Osaka;2078;wypoczynkowa;49
6;Norwegia;Bergen;1968;city break;65
7;Kanada;Montreal;2374;objazdowa;42
8;Wielka Brytania;Edynburg;2200;objazdowa;79
9;Grecja;Saloniki;2347;objazdowa;13
10;Chiny;Szanghaj;328;wypoczynkowa;81
11;Grecja;Ateny;761;wypoczynkowa;23
12;Austria;Salzburg;830;objazdowa;45
13;Norwegia;Bergen;2053;city break;22
14;Grecja;Saloniki;2225;wypoczynkowa;68
15;Turcja;Stambuł;2407;wypoczynkowa;2
16;Czechy;Ostrawa;2408;wypoczynkowa;54
17;Australia;Sydney;800;wypoczynkowa;49
18;Japonia;Tokio;475;objazdowa;10
19;Belgia;Antwerpia;2395;city break;63
20;Portugalia;Lizbona;829;tematyczna;6
21;Grecja;Ateny;2360;objazdowa;32
22;Portugalia;Porto;1529;objazdowa;47
23;Japonia;Osaka;572;wypoczynkowa;80
24;Turcja;Stambuł;371;city break;86
25;Włochy;Rzym;989;tematyczna;62
26;Egipt;Hurghada;673;city break;34
27;Maroko;Casablanca;2236;tematyczna;18
28;Japonia;Osaka;709;tematyczna;97
29;Irlandia;Dublin;2310;city break;52
30;Włochy;Rzym;610;objazdowa;21
31;Włochy;Wenecja;2153;objazdowa;38
32;USA;Nowy Jork;2201;tematyczna;81
33;Niemcy;Hamburg;534;wypoczynkowa;74
34;Turcja;Antalya;1173;objazdowa;83
35;Niemcy;Hamburg;1280;objazdowa;91
36;Norwegia;Bergen;699;tematyczna;22
37;Szwecja;Gothenburg;848;wypoczynkowa;37
38;Maroko;Casablanca;1908;tematyczna;40
39;Polska;Kraków;680;tematyczna;57
40;Francja;Paryż;2219;city break;15
41;Czechy;Ostrawa;1088;city break;19
42;Wielka Brytania;Manchester;1364;city break;59
43;Indie;Delhi;388;wypoczynkowa;43
44;Hiszpania;Madryt;887;tematyczna;49
45;Chiny;Szanghaj;518;city break;47
46;Francja;Nicea;361;city break;82
47;Bułgaria;Sofia;2413;tematyczna;13
48;Włochy;Wenecja;1672;objazdowa;89
49;Portugalia;Lizbona;1539;wypoczynkowa;24
50;Polska;Gdańsk;1789;objazdowa;21
51;Grecja;Saloniki;1964;wypoczynkowa;79
52;USA;Nowy Jork;1345;city break;9
53;Belgia;Bruksela;1806;wypoczynkowa;34
54;Egipt;Kair;1919;city break;37
